input list	entrez ID	Pearson correlation with query gene
LYN	17096	-0.347
LRRK2	66725	-0.256
KMO	98256	0.0762
ATP6V0A1	11975	0.2325
CASP1	12362	0.218
ERO1LB	67475	-0.1865
HAAO	107766	-0.4032
ALDH2	11669	-0.0308
PRKCE	18754	0.0545
ATF6	226641	0.1625
SNN	20621	-0.0651
ABCA1	11303	-0.206
MAN1A	17155	-0.1358
ANXA1	16952	-0.1026
BIRC3	11796	-0.0285
TDRD7	100121	-0.0443
PARP1	11545	0.1519
EIF2AK3	13666	-0.142
SLC25A37	67712	-0.0276
UQCRB	67530	0.383
SLC25A53	67062	0.0593
PML	18854	0.0273
SYVN1	74126	-0.0257
EIF2AK4	27103	0.1598
MGRN1	17237	-0.2967
MAP3K5	26408	-0.1882
MAP3K1	26401	-0.329
FGR	14191	-0.2005
CYP27A1	104086	0.0921
GPD2	14571	-0.114
IMMP2L	93757	0.017
HERC4	67345	-0.175
UBE2L6	56791	-0.0157
UBE2W	66799	0.1994
ABCB10	56199	0.0276
TFAM	21780	0.2142
CKAP4	216197	-0.1366
RFWD2	26374	0.146
PIAS3	229615	-0.2624
SFXN4	94281	0.0083
HSP90B1	22027	0.2514
ACADL	11363	-0.0155
STT3B	68292	-0.0178
MTHFSL	na	NA
CRAT	12908	-0.079
MRS2	380836	0.3801
UBA6	231380	0.3073
BCL2A1D	12044	0.3114
CUL1	26965	0.4853
MLXIP	208104	-0.3862
HSPA5	14828	0.2094
XBP1	22433	0.1613
DLD	13382	0.4601
NDUFS5	595136	0.3136
PSME4	103554	0.2965
ACSL1	14081	0.0565
XIAP	11798	0.1197
PCK2	74551	-0.0779
PDIA4	12304	-0.0165
BCL2A1C	12044	0.3114
EIF2AK2	19106	0.2494
CPT1A	12894	-0.1483
CSDE1	229663	0.0733
TXNDC5	105245	-0.0193
ACOX3	80911	-0.2518
ATP6V0B	114143	-0.1864
SH3GLB1	54673	-0.1794
PRIMPOL	na	NA
CALR	12317	0.0329
NLN	75805	0.3587
FBXL4	269514	-0.1169
DNM1L	74006	0.3744
PDIA6	71853	0.306
MCL1	17210	-0.1505
ALDH3B1	67689	-0.2224
MRPL1	94061	0.4884
FBXO4	106052	-0.0653
TFB2M	15278	0.2464
SLC25A19	67283	0.2763
MARS2	212679	0.2062
RIDA	na	NA
RRBP1	81910	0.2684
CALM2	12313	0.3343
ITCH	16396	-0.1386
RNF7	19823	0.5632
RCHY1	68098	-0.3717
ATP5L	27425	0.1791
ATXN3	110616	0.2363
ACSS1	68738	0.0058
DDX3X	13205	0.0746
GRPEL2	17714	0.1546
COX2	na	NA
PI4KB	107650	-0.033
PIAS1	56469	0.0408
SLC25A36	192287	-0.0331
FBXW8	231672	0.3293
ERLEC1	66753	0.2189
ACAD9	229211	0.4227
MFN1	67414	0.3885
