entrez	target gene	target probe	source probe	Score
26926	Aifm1	1418127_a_at	1418127_a_at	1.000000
245688	Rbbp7	1456227_x_at	1418127_a_at	0.689536
52665	Echdc1	1419552_at	1418127_a_at	0.686546
52696	Zwint	1427539_a_at	1418127_a_at	0.685493
11534	Adk	1438292_x_at	1418127_a_at	0.685091
70237	Bhlhb9	1428512_at	1418127_a_at	0.669511
69716	Trip13	1429295_s_at	1418127_a_at	0.666783
67005	Polr3k	1439266_a_at	1418127_a_at	0.658629
28030	Gfm1	1416570_s_at	1418127_a_at	0.654990
19181	Psmc2	1435859_x_at	1418127_a_at	0.653457
66235	Eif1ax	1419736_a_at	1418127_a_at	0.650987
67089	Psmc6	1417770_s_at	1418127_a_at	0.649999
381306	BC055324	1434365_a_at	1418127_a_at	0.647308
66413	Psmd6	1423696_a_at	1418127_a_at	0.644549
67870	Enoph1	1437327_x_at	1418127_a_at	0.642897
67059	Ola1	1460391_at	1418127_a_at	0.642378
69882	Vwa9	1426347_at	1418127_a_at	0.641783
71514	Sfpq	1423796_at	1418127_a_at	0.637039
621705	Gm6253	1424300_at	1418127_a_at	0.635657
67242	Gemin6	1424300_at	1418127_a_at	0.635657
66390	Slmo2	1448543_at	1418127_a_at	0.635046
66736	Emc2	1416668_at	1418127_a_at	0.633238
114641	Rpl31	1420381_a_at	1418127_a_at	0.630984
665562	Rpl31-ps12	1420381_a_at	1418127_a_at	0.630984
68981	Snrpa1	1417351_a_at	1418127_a_at	0.630067
27401	Skp2	1437033_a_at	1418127_a_at	0.629385
14056	Ezh2	1416544_at	1418127_a_at	0.627629
72486	Rnf219	1428498_at	1418127_a_at	0.627184
50911	Exosc9	1418462_at	1418127_a_at	0.627088
98828	Cdc123	1416763_at	1418127_a_at	0.625043
69736	Nup37	1423969_at	1418127_a_at	0.624260
67239	Rpf2	1421945_a_at	1418127_a_at	0.624004
107435	Hat1	1428061_at	1418127_a_at	0.621553
18701	Pigf	1448896_at	1418127_a_at	0.621433
72198	Skiv2l2	1426718_at	1418127_a_at	0.620784
109154	Mlec	1436509_at	1418127_a_at	0.620575
56307	Metap2	1434120_a_at	1418127_a_at	0.618940
52653	Nudcd2	1449140_at	1418127_a_at	0.618643
100043636	AI662270	1434068_s_at	1418127_a_at	0.618276
445007	Nup85	1437520_a_at	1418127_a_at	0.617617
66131	Tipin	1426612_at	1418127_a_at	0.617546
74197	Gtf2e1	1428124_at	1418127_a_at	0.617497
50995	Uba2	1448283_a_at	1418127_a_at	0.617265
67153	Rnaseh2b	1453001_at	1418127_a_at	0.616631
57316	C1d	1416886_at	1418127_a_at	0.616065
66317	Wdr61	1448102_a_at	1418127_a_at	0.614390
433064	Gm17748	1424136_a_at	1418127_a_at	0.614111
66101	Ppih	1424136_a_at	1418127_a_at	0.614111
66231	Thoc7	1448461_a_at	1418127_a_at	0.613412
77286	Nkrf	1434398_at	1418127_a_at	0.613350
17766	Nudt1	1449349_at	1418127_a_at	0.613230
104721	Ddx1	1440816_x_at	1418127_a_at	0.612966
110074	Dut	1419270_a_at	1418127_a_at	0.611122
56452	Orc6	1417037_at	1418127_a_at	0.610449
66132	1110008L16Rik	1428775_at	1418127_a_at	0.610338
13063	Cycs	1422484_at	1418127_a_at	0.608844
66997	Psmd12	1448492_a_at	1418127_a_at	0.608578
108156	Mthfd1	1436704_x_at	1418127_a_at	0.607299
628161	Gm6851	1428658_at	1418127_a_at	0.606375
640549	Gm7301	1428658_at	1418127_a_at	0.606375
