input list	entrez ID	Pearson correlation with query gene
IKBKE	56489	-0.1224
BDH1	71911	0.4132
SOCS3	12702	-0.1673
ACSS2	60525	-0.0537
PDK1	228026	0.1163
LPIN1	14245	-0.0038
DNAJC15	66148	0.267
PFKM	18642	0.204
TRIM32	69807	0.2656
SOCS1	12703	-0.0025
CAPN2	12334	0.0176
GSTK1	76263	0.0633
SLC11A2	18174	0.1949
GALM	319625	0.3076
ABCB9	56325	0.0656
ABCA2	11305	-0.0127
KLHL9	242521	0.1031
LDHB	16832	0.2263
LDHA	16828	0.4124
IDH2	269951	0.286
SEC24D	69608	0.0783
HIGD2A	67044	0.0959
TSPO	12257	-0.0152
SLC25A23	66972	-0.1577
MRPL52	68836	0.3113
ATP5J	11957	0.435
PRKCSH	19089	0.3274
SYNJ2	20975	0.1987
ACAA2	52538	0.2156
GLRX5	73046	0.382
ACADS	11409	0.119
ASL	109900	0.2742
RAB32	67844	0.1846
SUOX	211389	0.1521
ALDH18A1	56454	0.3983
NME4	56520	0.169
SLC25A13	50799	0.3836
SLC25A4	11739	0.4733
1600014C10RIK	72244	-1e-04
MDH2	17448	0.5213
HK1	15275	0.1656
P2RX7	18439	0.1154
NME2	18103	0.3347
PDHA1	18597	0.2345
ARL6IP5	65106	6e-04
SRGAP2	14270	0.1912
ATP5D	66043	0.2858
PSMB8	16913	0.2368
MRPS6	121022	0.4138
ABCG1	11307	-0.2376
SHMT2	108037	0.4104
PPA1	67895	0.4405
ABCC5	27416	0.0263
SPNS1	73658	0.0566
ABCG2	26357	0.1712
ATP5G2	67942	0.2405
NDUFA8	68375	0.398
MOGS	57377	0.5258
CAPN1	12333	0.0279
ANAPC11	66156	0.1586
COX7A2L	20463	-0.1135
MYC	17869	0.179
PSMB3	26446	0.3868
BCL2L1	12048	0.1854
ATP6V0A2	21871	0.1988
MAN1C1	230815	-0.1767
PSME1	19186	0.1341
NDUFA1	54405	0.2961
PSMB9	16912	0.1083
TYMS	22171	0.4861
PSMB10	19171	0.0786
ATP6V1D	73834	0.0304
NDUFA10	67273	0.3986
MRPL12	56282	0.5037
TAP2	21355	0.0362
HSD17B10	15108	0.4615
FDPS	110196	0.3566
LDHD	52815	-0.1021
UQCRC1	22273	0.403
PEBP1	23980	0.473
SMDT1	69029	0.219
ENO1	13806	0.3344
UQCR11	66594	0.3351
DNAJC3	100037258	0.3109
HSPA1A	193740	-0.0866
GLRX2	69367	0.4718
COX10	70383	0.2279
GLRX	93692	0.1346
OPRD1	18386	-0.0725
AKAP1	11640	0.2478
QTRT1	60507	0.1792
NDUFS6	407785	0.4669
UBE2E2	218793	0.2617
SMURF1	75788	-0.1637
NDUFA4	17992	0.3947
SLC25A40	319653	0.2218
ATP5J2	57423	0.2752
COX8A	12868	0.1344
NDUFA4L2	407790	-0.0976
SSR2	66256	0.538
