entrez	target gene	target probe	source probe	Score
26926	Aifm1	1418127_a_at	1418127_a_at	1.000000
50995	Uba2	1448283_a_at	1418127_a_at	0.739116
70572	Ipo5	1426946_at	1418127_a_at	0.730326
14194	Fh1	1424828_a_at	1418127_a_at	0.724487
245688	Rbbp7	1415775_at	1418127_a_at	0.714596
107435	Hat1	1428061_at	1418127_a_at	0.706035
69736	Nup37	1423969_at	1418127_a_at	0.705199
72662	Dis3	1426609_at	1418127_a_at	0.704086
23874	Farsb	1423709_s_at	1418127_a_at	0.703720
51797	Ctps	1416563_at	1418127_a_at	0.702181
70699	Nup205	1454743_at	1418127_a_at	0.702043
170762	Nup155	1418727_at	1418127_a_at	0.700245
17535	Mre11a	1416748_a_at	1418127_a_at	0.698722
12530	Cdc25a	1417132_at	1418127_a_at	0.695163
104721	Ddx1	1415915_at	1418127_a_at	0.692940
56505	Ruvbl1	1416585_at	1418127_a_at	0.691745
28030	Gfm1	1416570_s_at	1418127_a_at	0.690158
50496	E2f6	1448835_at	1418127_a_at	0.690053
234865	Nup133	1423787_at	1418127_a_at	0.687519
110750	Cse1l	1448809_at	1418127_a_at	0.687506
621705	Gm6253	1424300_at	1418127_a_at	0.685315
67242	Gemin6	1424300_at	1418127_a_at	0.685315
13684	Eif4e	1423220_at	1418127_a_at	0.684214
54364	Rpp30	1423373_at	1418127_a_at	0.683019
56088	Psmg1	1448307_at	1418127_a_at	0.679720
108156	Mthfd1	1415917_at	1418127_a_at	0.679353
15115	Hars	1438510_a_at	1418127_a_at	0.678423
67895	Ppa1	1416939_at	1418127_a_at	0.678155
50497	Hspa14	1448586_at	1418127_a_at	0.677773
107047	Psmg2	1448212_at	1418127_a_at	0.675732
231327	Ppat	1428543_at	1418127_a_at	0.675626
71743	Coasy	1428543_at	1418127_a_at	0.675626
67834	Idh3a	1432016_a_at	1418127_a_at	0.675503
233876	Hirip3	1434936_at	1418127_a_at	0.675247
72117	Naa50	1428409_at	1418127_a_at	0.674984
67054	Paics	1423565_at	1418127_a_at	0.674523
21454	Tcp1	1448122_at	1418127_a_at	0.673830
66493	Mrpl51	1416877_a_at	1418127_a_at	0.673489
30058	Timm8a1	1416345_at	1418127_a_at	0.673327
66592	Stoml2	1448774_at	1418127_a_at	0.672652
52637	Cisd1	1416850_s_at	1418127_a_at	0.671807
59025	Usp14	1416208_at	1418127_a_at	0.670678
66671	Ccnh	1456293_s_at	1418127_a_at	0.670602
56456	Actl6a	1416569_at	1418127_a_at	0.669716
17089	Lyar	1417511_at	1418127_a_at	0.669547
56452	Orc6	1417037_at	1418127_a_at	0.669374
21781	Tfdp1	1423241_a_at	1418127_a_at	0.669324
69617	Pitrm1	1426453_at	1418127_a_at	0.668881
225745	Haus1	1424955_at	1418127_a_at	0.668828
73674	Wdr75	1451649_a_at	1418127_a_at	0.667849
67681	Mrpl18	1448373_at	1418127_a_at	0.667339
28185	Tomm70a	1426675_at	1418127_a_at	0.666384
66953	Cdca7	1428069_at	1418127_a_at	0.666162
226139	Cox15	1426693_x_at	1418127_a_at	0.665814
67239	Rpf2	1421945_a_at	1418127_a_at	0.665195
72692	Hnrnpll	1427144_at	1418127_a_at	0.664937
11564	Adsl	1418372_at	1418127_a_at	0.663644
67153	Rnaseh2b	1453001_at	1418127_a_at	0.663597
239739	Lamp3	1417057_a_at	1418127_a_at	0.663311
67738	Ppid	1417057_a_at	1418127_a_at	0.663311
14375	Xrcc6	1417437_at	1418127_a_at	0.662369
22256	Ung	1425753_a_at	1418127_a_at	0.661589
12850	Coq7	1416665_at	1418127_a_at	0.661386
18972	Pold2	1448277_at	1418127_a_at	0.661143
66235	Eif1ax	1419736_a_at	1418127_a_at	0.661067
72198	Skiv2l2	1426718_at	1418127_a_at	0.660886
237823	Pfas	1455496_at	1418127_a_at	0.660588
68981	Snrpa1	1417351_a_at	1418127_a_at	0.660256
53375	Mtx2	1430500_s_at	1418127_a_at	0.659943
19075	Prim1	1418369_at	1418127_a_at	0.659419
51869	Rif1	1429491_s_at	1418127_a_at	0.659215
18813	Pa2g4	1420142_s_at	1418127_a_at	0.658735
106344	Rfc4	1424321_at	1418127_a_at	0.658103
53893	Nudt5	1448651_at	1418127_a_at	0.658025
68278	Ddx39	1455814_x_at	1418127_a_at	0.657530
13557	E2f3	1434564_at	1418127_a_at	0.657334
72050	Kdelc1	1436443_a_at	1418127_a_at	0.656723
52653	Nudcd2	1418566_s_at	1418127_a_at	0.656370
16647	Kpna2	1415860_at	1418127_a_at	0.656011
20133	Rrm1	1415878_at	1418127_a_at	0.655254
75619	Fastkd2	1452172_at	1418127_a_at	0.654871
66131	Tipin	1426612_at	1418127_a_at	0.654759
19181	Psmc2	1435859_x_at	1418127_a_at	0.654551
67144	Lrrc40	1448720_at	1418127_a_at	0.654272
19384	Ran	1433569_x_at	1418127_a_at	0.653279
19428	Rasl2-9	1433569_x_at	1418127_a_at	0.653279
72722	Fam98a	1416445_at	1418127_a_at	0.652776
217031	Tada2a	1452310_at	1418127_a_at	0.652700
22247	Umps	1434859_at	1418127_a_at	0.652333
66317	Wdr61	1448102_a_at	1418127_a_at	0.651920
216987	Utp6	1424500_at	1418127_a_at	0.651747
14450	Gart	1424436_at	1418127_a_at	0.651296
67429	Nudcd1	1433547_s_at	1418127_a_at	0.650570
103573	Xpo1	1418443_at	1418127_a_at	0.650548
17217	Mcm4	1416214_at	1418127_a_at	0.650478
13494	Drg1	1434688_x_at	1418127_a_at	0.650392
20901	Strap	1419912_s_at	1418127_a_at	0.650328
70316	Ndufab1	1447919_x_at	1418127_a_at	0.650059
107572	Mchm2	1434079_s_at	1418127_a_at	0.649301
17216	Mcm2	1434079_s_at	1418127_a_at	0.649301
20833	Ssrp1	1426789_s_at	1418127_a_at	0.648023
20383	Srsf3	1454993_a_at	1418127_a_at	0.647921
76947	Ndufaf6	1429213_at	1418127_a_at	0.646835
20873	Plk4	1419838_s_at	1418127_a_at	0.646734
17219	Mcm6	1438852_x_at	1418127_a_at	0.646350
14211	Smc2	1448635_at	1418127_a_at	0.646000
103468	Nup107	1426751_s_at	1418127_a_at	0.645824
11534	Adk	1438292_x_at	1418127_a_at	0.645768
75062	Sf3a3	1423811_at	1418127_a_at	0.645656
12261	C1qbp	1455821_x_at	1418127_a_at	0.645607
234736	Rfwd3	1423882_at	1418127_a_at	0.645342
59015	Nup160	1418530_at	1418127_a_at	0.645331
56075	Pdss1	1431893_a_at	1418127_a_at	0.645000
74197	Gtf2e1	1428124_at	1418127_a_at	0.644940
56307	Metap2	1434120_a_at	1418127_a_at	0.644911
235339	Dlat	1426264_at	1418127_a_at	0.644868
66390	Slmo2	1448543_at	1418127_a_at	0.644824
21917	Tmpo	1428976_at	1418127_a_at	0.644781
17766	Nudt1	1449349_at	1418127_a_at	0.643966
59029	Psmd14	1421751_a_at	1418127_a_at	0.643561
15574	Hus1	1418308_at	1418127_a_at	0.643332
56275	Rbm14	1456566_x_at	1418127_a_at	0.643130
19179	Psmc1	1416005_at	1418127_a_at	0.642821
12545	Cdc7	1426002_a_at	1418127_a_at	0.642196
13665	Eif2s1	1452662_a_at	1418127_a_at	0.641951
14885	Gtf2h4	1437163_x_at	1418127_a_at	0.641851
17218	Mcm5	1436808_x_at	1418127_a_at	0.641742
64655	Mrps22	1416595_at	1418127_a_at	0.641422
