"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10467508,2.77e-13,1.11e-17,20.3851865,29.859461,4.95870606,"BLNK","B cell linker"
10350341,9.55e-13,7.66e-17,-18.8565993,28.104855,-3.2857331,"MIR181B-1","microRNA 181b-1"
10407390,1.79e-12,2.15e-16,-18.0797596,27.153152,-2.20519038,"PTBP1","polypyrimidine tract binding protein 1"
10399973,1.82e-12,2.92e-16,17.8562654,26.871352,1.58227736,"HDAC9","histone deacetylase 9"
10386388,2.62e-12,5.25e-16,-17.4325738,26.326937,-1.35235375,"SNAP47","synaptosomal-associated protein, 47"
10601416,4.1e-12,9.88e-16,-16.9848161,25.736666,-3.34401953,"P2RY10","purinergic receptor P2Y, G-protein coupled 10"
10403060,5.12e-12,1.64e-15,16.6313058,25.259434,2.5194579,"IGHV1-53","immunoglobulin heavy variable 1-53"
10364696,7.6e-12,2.86e-15,-16.2546575,24.739732,-1.74484698,"ATP5D","ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
10385776,7.81e-12,3.45e-15,-16.1287815,24.563402,-4.39334116,"TCF7","transcription factor 7, T cell specific"
10403018,1.33e-11,6.87e-15,15.6709989,23.910659,3.48563745,"IGHG3","Immunoglobulin heavy constant gamma 3"
10394471,1.33e-11,6.94e-15,15.6644021,23.901119,1.68846505,"SDC1","syndecan 1"
10550237,4.09e-11,2.3e-14,-14.8967033,22.764072,-1.21390001,"NAPA","N-ethylmaleimide sensitive fusion protein attachment protein alpha"
10589004,9.84e-11,5.92e-14,-14.3105624,21.858721,-1.224783,"QARS","glutaminyl-tRNA synthetase"
10479981,1.17e-10,7.52e-14,-14.165373,21.629273,-3.57878252,"GATA3","GATA binding protein 3"
10576034,1.68e-10,1.24e-13,13.8660368,21.149531,2.95699068,"IRF8","interferon regulatory factor 8"
10481147,1.68e-10,1.28e-13,-13.8465899,21.118048,-0.97619993,"SURF4","surfeit gene 4"
10518927,2.21e-10,1.78e-13,-13.6531009,20.802678,-1.507677,"KCNAB2","potassium voltage-gated channel, shaker-related subfamily, beta member 2"
10460517,2.59e-10,2.23e-13,-13.5196803,20.58294,-0.97981361,"BRMS1","breast cancer metastasis-suppressor 1"
10405287,2.59e-10,2.28e-13,-13.5062943,20.560791,-1.30128039,"HIGD2A","HIG1 domain family, member 2A"
10375360,3.1e-10,2.86e-13,13.3748106,20.342218,5.34501996,"EBF1","early B cell factor 1"
10405935,3.96e-10,3.81e-13,-13.2099108,20.065483,-0.69644645,"GM5779","ribosomal protein, large, P0 pseudogene"
10415282,4.44e-10,4.46e-13,-13.1210853,19.915198,-1.34138463,"PSME1","proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"
10463355,4.54e-10,4.74e-13,-13.0862242,19.855982,-1.59406024,"SCD2","stearoyl-Coenzyme A desaturase 2"
10364744,5.02e-10,5.43e-13,-13.0083631,19.723244,-1.26067563,"NDUFS7","NADH dehydrogenase (ubiquinone) Fe-S protein 7"
10407940,5.56e-10,6.25e-13,-12.9292838,19.587746,-6.78727782,"TRGV2","T cell receptor gamma variable 2"
10403821,5.6e-10,6.51e-13,-12.9060498,19.547804,-6.64354593,"TCRG-V6","T cell receptor gamma, variable 6"
10442435,6.03e-10,7.25e-13,-12.8454793,19.443396,-1.18386887,"RNPS1","ribonucleic acid binding protein S1"
10444761,6.2e-10,7.71e-13,-12.8111663,19.384068,-0.84545907,"DDX39B","DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B"
10521174,7.06e-10,9.07e-13,-12.7206611,19.22695,-0.90682072,"RNF4","ring finger protein 4"
10419691,7.34e-10,1e-12,-12.6650324,19.12992,-0.98922292,"METTL3","methyltransferase like 3"
