"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10390707,1.2e-09,4.83e-14,-25.244212,21.53505,-3.6539719,"TOP2A","topoisomerase (DNA) II alpha"
10462796,1.25e-08,2.28e-12,-19.554329,18.31446,-3.2004647,"KIF11","kinesin family member 11"
10463355,1.25e-08,2.36e-12,-19.510302,18.28485,-2.0639634,"SCD2","stearoyl-Coenzyme A desaturase 2"
10497831,1.25e-08,2.37e-12,-19.506899,18.28256,-3.5622043,"CCNA2","cyclin A2"
10487480,1.25e-08,2.51e-12,-19.434146,18.23344,-2.6815306,"BUB1","BUB1, mitotic checkpoint serine"
10408200,1.8e-08,5.29e-12,-18.48701,17.57235,-2.6975692,"HIST1H4F","histone cluster 1, H4f"
10403955,1.8e-08,5.92e-12,-18.347247,17.47129,-1.6866255,"HIST1H2AL","histone cluster 1, H2al"
10408077,2.07e-08,1.16e-11,-17.533769,16.86402,-2.1256406,"HIST1H2AK","histone cluster 1, H2ak"
10403948,2.07e-08,1.25e-11,-17.451579,16.8008,-2.3244138,"HIST1H2BR","histone cluster 1 H2br"
10477187,2.17e-08,1.39e-11,-17.323176,16.70133,-2.7824129,"TPX2","TPX2, microtubule-associated"
10594774,3.71e-08,2.87e-11,-16.49667,16.0398,-2.5467649,"CCNB2","cyclin B2"
10404069,3.89e-08,3.33e-11,-16.329679,15.90151,-2.347253,"HIST1H1A","histone cluster 1, H1a"
10408081,3.89e-08,3.5e-11,-16.273099,15.85429,-3.0971681,"HIST1H1B","histone cluster 1, H1b"
10454709,3.89e-08,3.59e-11,-16.244988,15.83076,-1.8683074,"KIF20A","kinesin family member 20A"
10562637,4e-08,3.85e-11,-16.169638,15.76746,-2.5697519,"CCNB1","cyclin B1"
10448506,4.6e-08,4.98e-11,-15.887992,15.52788,-1.9949347,"CCNF","cyclin F"
10556266,6.37e-08,7.62e-11,-15.435597,15.13294,-1.951518,"WEE1","WEE 1 homolog 1 (S. pombe)"
10403941,6.37e-08,7.67e-11,-15.428608,15.12674,-2.2743994,"HIST1H3A","histone cluster 1, H3a"
10515431,6.81e-08,9.54e-11,-15.200219,14.92238,-2.0573308,"KIF2C","kinesin family member 2C"
10425049,7.63e-08,1.22e-10,-14.945314,14.6903,-2.4120055,"APOL9A","apolipoprotein L 9a"
10399087,7.63e-08,1.22e-10,-14.94265,14.68786,-2.6762084,"NCAPG2","non-SMC condensin II complex, subunit G2"
10525591,8.11e-08,1.35e-10,-14.844002,14.59687,-2.0339925,"KNTC1","kinetochore associated 1"
10408074,8.11e-08,1.44e-10,-14.780284,14.53776,-1.9483675,"HIST1H4M","histone cluster 1, H4m"
10485963,8.11e-08,1.48e-10,-14.74846,14.50813,-2.0065585,"ARHGAP11A","Rho GTPase activating protein 11A"
10557156,9.99e-08,1.96e-10,-14.465288,14.24146,-1.9024716,"PLK1","polo-like kinase 1"
10404061,1.13e-07,2.33e-10,-14.297755,14.08106,-2.2115439,"HIST1H2BB","histone cluster 1, H2bb"
10601011,2e-07,4.33e-10,-13.696826,13.48912,-2.074811,"KIF4","kinesin family member 4"
10474769,2.1e-07,4.72e-10,-13.616244,13.4077,-2.4212342,"BUB1B","BUB1B, mitotic checkpoint serine"
10352767,2.63e-07,6.32e-10,-13.341365,13.12624,-1.7991952,"NEK2","NIMA (never in mitosis gene a)-related expressed kinase 2"
10518350,2.88e-07,7.04e-10,-13.241912,13.02296,-1.981187,"HMGB2","high mobility group box 2"
10422412,2.94e-07,7.31e-10,-13.207648,12.98719,-2.0030974,"SLC15A1","solute carrier family 15 (oligopeptide transporter), member 1"
10586448,3.63e-07,9.33e-10,-12.984689,12.75217,-2.6748386,"2810417H13RIK","RIKEN cDNA 2810417H13 gene"
10359890,3.63e-07,9.47e-10,-12.971476,12.73812,-2.208625,"NUF2","NUF2, NDC80 kinetochore complex component"
10394978,3.66e-07,9.78e-10,-12.942157,12.70688,-2.0536644,"RRM2","ribonucleotide reductase M2"
10474984,3.74e-07,1.02e-09,-12.902919,12.66497,-1.8764398,"NUSAP1","nucleolar and spindle associated protein 1"
10554445,4.11e-07,1.15e-09,-12.793657,12.54759,-2.179834,"PRC1","protein regulator of cytokinesis 1"
10371591,4.18e-07,1.19e-09,-12.76466,12.51627,-1.5502694,"PARPBP","PARP1 binding protein"
10568714,4.3e-07,1.24e-09,-12.726376,12.47482,-2.5972662,"MKI67","antigen identified by monoclonal antibody Ki 67"
10469322,4.47e-07,1.31e-09,-12.679486,12.42388,-1.2707775,"VIM","vimentin"
10479811,5.79e-07,1.72e-09,-12.439489,12.16023,-1.4489757,"MCM10","minichromosome maintenance 10 replication initiation factor"
10487340,6.48e-07,1.95e-09,-12.330416,12.03878,-1.6161654,"NCAPH","non-SMC condensin I complex, subunit H"
10521731,6.98e-07,2.13e-09,-12.253972,11.95304,-2.4935348,"NCAPG","non-SMC condensin I complex, subunit G"
10576883,8.05e-07,2.55e-09,-12.098318,11.77686,-1.949759,"SHCBP1","Shc SH2-domain binding protein 1"
10497520,8.6e-07,2.76e-09,-12.030935,11.69992,-1.6456511,"ECT2","ect2 oncogene"
10450519,8.7e-07,2.86e-09,-12.001577,11.66627,-1.422261,"TCF19","transcription factor 19"
10419323,8.7e-07,2.86e-09,-12.000021,11.66449,-1.4260402,"DLGAP5","discs, large (Drosophila) homolog-associated protein 5"
10541729,1.01e-06,3.36e-09,-11.864237,11.50782,-1.4169285,"CDCA3","cell division cycle associated 3"
10547943,1.02e-06,3.45e-09,-11.842703,11.48282,-1.7169277,"NCAPD2","non-SMC condensin I complex, subunit D2"
10504470,1.05e-06,3.59e-09,-11.809742,11.44447,-1.3602493,"MELK","maternal embryonic leucine zipper kinase"
10391811,1.11e-06,3.82e-09,-11.757063,11.38297,-1.7488313,"KIF18B","kinesin family member 18B"
10521090,1.16e-06,4.04e-09,-11.70926,11.32694,-1.636422,"TACC3","transforming, acidic coiled-coil containing protein 3"
10500333,1.18e-06,4.16e-09,-11.685386,11.29888,-1.3844641,"HIST2H4","histone cluster 2, H4"
10404063,1.19e-06,4.26e-09,-11.666209,11.2763,-2.7852229,"HIST1H2AB","histone cluster 1, H2ab"
10455813,1.52e-06,5.5e-09,-11.455699,11.02614,-1.3506772,"LMNB1","lamin B1"
10584710,1.59e-06,5.8e-09,-11.411568,10.97316,-1.4217447,"H2AFX","H2A histone family, member X"
10509168,1.62e-06,5.97e-09,-11.389085,10.9461,-1.4001024,"E2F2","E2F transcription factor 2"
10591781,1.66e-06,6.19e-09,-11.358859,10.90964,-1.7881838,"ANLN","anillin, actin binding protein"
10377405,1.71e-06,6.44e-09,-11.327465,10.87168,-1.6323537,"AURKB","aurora kinase B"
10352048,1.75e-06,6.67e-09,-11.298921,10.83708,-1.3155364,"EXO1","exonuclease 1"
10361110,1.77e-06,6.82e-09,-11.280607,10.81484,-2.0319452,"DTL","denticleless E3 ubiquitin protein ligase"
10420877,1.88e-06,7.34e-09,-11.221628,10.74299,-1.5170949,"ESCO2","establishment of sister chromatid cohesion N-acetyltransferase 2"
10563780,2.14e-06,8.42e-09,-11.110635,10.60685,-1.8553369,"E2F8","E2F transcription factor 8"
10384373,2.4e-06,9.54e-09,-11.011311,10.48398,-1.9491654,"FIGNL1","fidgetin-like 1"
10368675,2.63e-06,1.05e-08,-10.933013,10.38643,-1.6324204,"MARCKS","myristoylated alanine rich protein kinase C substrate"
10508151,2.72e-06,1.1e-08,-10.8975,10.34197,-1.4286738,"CLSPN","claspin"
10438378,3.39e-06,1.39e-08,-10.717957,10.11525,-1.2430785,"CDC45","cell division cycle 45"
10367734,3.48e-06,1.44e-08,10.688709,10.078,1.3461659,"UST","uronyl-2-sulfotransferase"
10389606,3.51e-06,1.46e-08,-10.676111,10.06193,-1.2674265,"PRR11","proline rich 11"
10474875,3.76e-06,1.6e-08,-10.606996,9.97346,-2.1605822,"CASC5","cancer susceptibility candidate 5"
10508986,3.87e-06,1.66e-08,-10.578989,9.93747,-2.3032172,"STMN1","stathmin 1"
10590494,3.94e-06,1.71e-08,-10.556941,9.90908,-1.8460945,"KIF15","kinesin family member 15"
10446074,3.96e-06,1.75e-08,-10.540369,9.8877,-2.2451661,"UHRF1","ubiquitin-like, containing PHD and RING finger domains, 1"
10410560,5.28e-06,2.35e-08,-10.314024,9.59283,-1.5282675,"TRIP13","thyroid hormone receptor interactor 13"
10471655,5.79e-06,2.6e-08,-10.237341,9.49168,-1.0506665,"GSN","gelsolin"
10429140,5.81e-06,2.63e-08,-10.228768,9.48033,-1.1389982,"NDRG1","N-myc downstream regulated gene 1"
10516246,5.87e-06,2.7e-08,-10.209675,9.45503,-1.6344919,"CDCA8","cell division cycle associated 8"
10568150,5.87e-06,2.71e-08,-10.208318,9.45323,-1.2154454,"KIF22","kinesin family member 22"
10379127,5.92e-06,2.76e-08,-10.194626,9.43506,-1.7095343,"SPAG5","sperm associated antigen 5"
10512949,7.38e-06,3.47e-08,-10.024403,9.2074,-1.3506264,"ABCA1","ATP-binding cassette, sub-family A (ABC1), member 1"
10436106,7.58e-06,3.59e-08,-9.998864,9.17297,-1.6235738,"C330027C09RIK","RIKEN cDNA C330027C09 gene"
10509163,7.6e-06,3.63e-08,-9.990229,9.16131,-1.5410401,"ID3","inhibitor of DNA binding 3"
10573261,7.73e-06,3.72e-08,-9.971708,9.13628,-1.6250802,"ASF1B","anti-silencing function 1B histone chaperone"
10554325,8e-06,3.89e-08,-9.940398,9.09387,-1.5332928,"TICRR","TOPBP1-interacting checkpoint and replication regulator"
10421029,9.13e-06,4.47e-08,-9.838281,8.95478,-1.3040628,"CDCA2","cell division cycle associated 2"
10515090,9.54e-06,4.71e-08,-9.800253,8.90268,-1.202355,"CDKN2C","cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
10355329,1.01e-05,5.01e-08,-9.755259,8.84082,-1.3058813,"BARD1","BRCA1 associated RING domain 1"
10550102,1.06e-05,5.33e-08,-9.710233,8.77869,-1.4283301,"LIG1","ligase I, DNA, ATP-dependent"
10348537,1.06e-05,5.36e-08,-9.706705,8.77381,-0.8532687,"RAMP1","receptor (calcitonin) activity modifying protein 1"
10465861,1.06e-05,5.43e-08,-9.697128,8.76056,-1.279012,"INCENP","inner centromere protein"
10404024,1.06e-05,5.43e-08,-9.697077,8.76049,-1.5744327,"HIST1H4H","histone cluster 1, H4h"
10480432,1.06e-05,5.49e-08,-9.689971,8.75065,-1.3615903,"MASTL","microtubule associated serine"
10467637,1.06e-05,5.56e-08,-9.679923,8.73673,-1.3219213,"ARHGAP19","Rho GTPase activating protein 19"
10555695,1.07e-05,5.67e-08,-9.666188,8.71768,-1.5846536,"RRM1","ribonucleotide reductase M1"
10462866,1.12e-05,5.99e-08,-9.626478,8.66249,-1.7300723,"CEP55","centrosomal protein 55"
10391207,1.21e-05,6.5e-08,-9.568942,8.58219,-1.2950299,"DHX58","DEXH (Asp-Glu-X-His) box polypeptide 58"
10505326,1.33e-05,7.22e-08,-9.493844,8.4768,-1.0276836,"RGS3","regulator of G-protein signaling 3"
10542079,1.65e-05,9e-08,-9.338194,8.25623,-1.6933746,"FOXM1","forkhead box M1"
10507112,1.74e-05,9.56e-08,-9.295965,8.19589,-1.6782149,"STIL","Scl"
10369815,1.76e-05,9.77e-08,-9.280795,8.17416,-1.8312374,"CDK1","cyclin-dependent kinase 1"
10524790,1.76e-05,9.79e-08,-9.279545,8.17237,-1.2628729,"CIT","citron"
10410435,1.8e-05,1.02e-07,-9.248279,8.12749,-0.8393624,"PAPD7","PAP associated domain containing 7"
10499639,1.8e-05,1.03e-07,-9.247215,8.12597,-1.4375014,"CKS1B","CDC28 protein kinase 1b"
10393559,1.8e-05,1.03e-07,-9.246456,8.12487,-1.2824989,"TIMP2","tissue inhibitor of metalloproteinase 2"
10521136,1.81e-05,1.04e-07,-9.240282,8.116,-1.394969,"WHSC1","Wolf-Hirschhorn syndrome candidate 1 (human)"
10534253,1.97e-05,1.14e-07,-9.175769,8.02297,-1.2722346,"GTF2IRD1","general transcription factor II I repeat domain-containing 1"
10524169,1.98e-05,1.15e-07,-9.167036,8.01033,-2.0255127,"POLE","polymerase (DNA directed), epsilon"
10594251,1.98e-05,1.16e-07,-9.162978,8.00446,-1.5858188,"KIF23","kinesin family member 23"
10494407,2.1e-05,1.24e-07,-9.116993,7.93777,-1.4030784,"HIST2H2BB","histone cluster 2, H2bb"
10474902,2.35e-05,1.39e-07,-9.035373,7.81875,-1.5505967,"RAD51","RAD51 recombinase"
10592201,2.46e-05,1.47e-07,-8.998609,7.76487,-2.0806659,"CHEK1","checkpoint kinase 1"
10406968,2.57e-05,1.54e-07,-8.965681,7.71648,-1.2175357,"CENPK","centromere protein K"
10458090,2.86e-05,1.73e-07,-8.887335,7.60078,-0.8151981,"REEP5","receptor accessory protein 5"
10456005,2.86e-05,1.75e-07,-8.882564,7.59371,-0.9689606,"CD74","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
10382998,3.14e-05,1.93e-07,-8.815858,7.49456,-1.432634,"BIRC5","baculoviral IAP repeat-containing 5"
10473384,3.25e-05,2.01e-07,-8.78701,7.45151,-1.0312708,"SLC43A3","solute carrier family 43, member 3"
10381072,3.25e-05,2.02e-07,-8.784259,7.4474,-1.4825287,"CDC6","cell division cycle 6"
10483401,3.31e-05,2.07e-07,-8.767942,7.42299,-1.7553565,"SPC25","SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)"
10420426,3.99e-05,2.52e-07,-8.637432,7.22659,-1.521415,"SKA3","spindle and kinetochore associated complex subunit 3"
10437040,4.09e-05,2.59e-07,-8.618042,7.19722,-1.3488518,"CHAF1B","chromatin assembly factor 1, subunit B (p60)"
10353420,4.23e-05,2.7e-07,-8.591593,7.15709,-1.2084156,"MCM3","minichromosome maintenance complex component 3"
10393844,4.31e-05,2.77e-07,-8.574601,7.13126,-0.8806055,"ALYREF","Aly"
10478572,4.35e-05,2.81e-07,-8.563886,7.11495,-1.3710449,"UBE2C","ubiquitin-conjugating enzyme E2C"
10385248,4.84e-05,3.15e-07,-8.489683,7.00161,-1.4730622,"HMMR","hyaluronan mediated motility receptor (RHAMM)"
10587508,5.19e-05,3.39e-07,-8.440795,6.92654,-1.0176224,"TTK","Ttk protein kinase"
10411728,5.28e-05,3.47e-07,-8.425151,6.90246,-1.0951232,"CENPH","centromere protein H"
10515257,5.94e-05,3.94e-07,-8.344083,6.77713,-1.1178607,"RAD54L","RAD54 like (S. cerevisiae)"
10363575,6.42e-05,4.28e-07,-8.290266,6.69345,-0.9595192,"DNA2","DNA replication helicase"
10350297,6.67e-05,4.47e-07,-8.262103,6.64952,-1.321741,"KIF14","kinesin family member 14"
10546163,6.68e-05,4.5e-07,-8.257442,6.64223,-0.9547738,"MCM2","minichromosome maintenance complex component 2"
10357488,6.73e-05,4.57e-07,8.248011,6.62749,2.0513828,"CD55","CD55 molecule, decay accelerating factor for complement"
10430871,7.09e-05,4.83e-07,-8.211549,6.57038,-0.9133468,"GM9855","thymine DNA glycosylase pseudogene"
10421877,7.09e-05,4.87e-07,-8.207287,6.56369,-1.4281617,"DIAPH3","diaphanous related formin 3"
10571371,7.22e-05,4.98e-07,-8.191974,6.53964,-0.800864,"TUSC3","tumor suppressor candidate 3"
