"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10593015,1.07e-11,4.84e-16,-49.66059,25.666289,-7.65348672,"CD3G","CD3 antigen, gamma polypeptide"
10590620,1.07e-11,8.56e-16,-47.4882519,25.27576,-6.73947917,"CCR9","chemokine (C-C motif) receptor 9"
10538979,7.5e-11,9.02e-15,-39.4723123,23.535385,-6.08794001,"CD8B1","CD8 antigen, beta chain 1"
10538993,1.01e-10,2.26e-14,-36.7233817,22.80524,-6.53360178,"CD8A","CD8 antigen, alpha chain"
10385428,1.01e-10,2.28e-14,-36.7000305,22.798691,-5.24145096,"ITK","IL2 inducible T cell kinase"
10362350,1.01e-10,2.94e-14,-35.9681075,22.590253,-6.48421912,"THEMIS","thymocyte selection associated"
10385776,1.01e-10,3.14e-14,-35.7817897,22.536202,-6.04564319,"TCF7","transcription factor 7, T cell specific"
10415015,1.01e-10,3.24e-14,-35.6992672,22.512131,-4.61526795,"TRAV7-4","T cell receptor alpha variable 7-4"
10454632,1.77e-10,6.4e-14,-33.8343934,21.945894,-5.5653783,"CAMK4","calcium"
10498024,2.11e-10,8.46e-14,-33.0955993,21.709173,-4.45190882,"SLC7A11","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11"
10427628,2.51e-10,1.22e-13,32.148533,21.394721,5.72563792,"IL7R","interleukin 7 receptor"
10375360,2.51e-10,1.24e-13,32.1151622,21.383408,6.72775242,"EBF1","early B cell factor 1"
10418868,2.51e-10,1.31e-13,31.9704576,21.334165,5.61503856,"WDFY4","WD repeat and FYVE domain containing 4"
10593024,2.74e-10,1.54e-13,-31.567035,21.195253,-4.83419668,"CD3E","CD3 antigen, epsilon polypeptide"
10585276,3.21e-10,1.98e-13,30.950471,20.978215,5.65553682,"POU2AF1","POU domain, class 2, associating factor 1"
10530516,3.21e-10,2.06e-13,-30.8474405,20.941376,-3.97824686,"TXK","TXK tyrosine kinase"
10494023,3.29e-10,2.33e-13,-30.5536712,20.835423,-5.37466606,"RORC","RAR-related orphan receptor gamma"
10382532,3.29e-10,2.51e-13,-30.3778956,20.771371,-4.03576892,"SLC16A5","solute carrier family 16 (monocarboxylic acid transporters), member 5"
10346783,3.29e-10,2.62e-13,-30.2725235,20.732735,-4.75585518,"CD28","CD28 antigen"
10360173,3.29e-10,2.71e-13,30.1874718,20.701419,4.87693921,"SLAMF7","SLAM family member 7"
10402554,3.29e-10,2.77e-13,-30.1370177,20.682786,-4.58916592,"BCL11B","B cell leukemia"
10359118,4.18e-10,3.86e-13,-29.3581972,20.389809,-4.462695,"TDRD5","tudor domain containing 5"
10512669,4.5e-10,4.33e-13,29.0923206,20.287435,5.60860847,"PAX5","paired box 5"
10584821,4.62e-10,4.63e-13,-28.9370736,20.227089,-4.82605195,"CD3D","CD3 antigen, delta polypeptide"
10565627,6.32e-10,6.59e-13,-28.1395078,19.910287,-4.68971754,"AQP11","aquaporin 11"
10547894,7.33e-10,7.95e-13,-27.7272404,19.741947,-5.46012181,"CD4","CD4 antigen"
