"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10467508,3.19e-16,1.69e-20,71.2531521,36.127124,5.30794533,"BLNK","B cell linker"
10593015,3.19e-16,2.56e-20,-69.302401,35.809109,-7.70303989,"CD3G","CD3 antigen, gamma polypeptide"
10349593,4.91e-16,5.91e-20,65.5504734,35.156792,6.01358235,"FCMR","Fc fragment of IgM receptor"
10456005,1.05e-15,1.68e-19,61.1468203,34.315582,6.49091437,"CD74","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
10375360,1.11e-15,2.23e-19,60.0190881,34.085719,6.47440489,"EBF1","early B cell factor 1"
10562132,1.7e-15,4.09e-19,57.6400114,33.579794,5.70350125,"CD22","CD22 antigen"
10469255,7.32e-15,2.29e-18,-51.3918608,32.099499,-5.80245949,"PRKCQ","protein kinase C, theta"
10430179,7.32e-15,2.39e-18,-51.2505189,32.063203,-4.13324486,"APOL7E","apolipoprotein L 7e"
10385428,7.32e-15,2.64e-18,-50.9041276,31.973682,-5.85884515,"ITK","IL2 inducible T cell kinase"
10422760,1.06e-14,4.26e-18,-49.3155235,31.5525,-5.11308908,"FYB","FYN binding protein"
10516620,1.25e-14,5.51e-18,-48.4742566,31.32214,-4.53730264,"LCK","lymphocyte protein tyrosine kinase"
10467979,1.66e-14,9.02e-18,46.9069313,30.878745,6.9095065,"SCD1","stearoyl-Coenzyme A desaturase 1"
10567825,1.66e-14,1e-17,-46.5822082,30.784482,-4.94992612,"LAT","linker for activation of T cells"
10385776,1.66e-14,1.01e-17,-46.5520687,30.775691,-5.73897529,"TCF7","transcription factor 7, T cell specific"
10375145,1.66e-14,1.07e-17,-46.3842475,30.726602,-4.60539914,"LCP2","lymphocyte cytosolic protein 2"
10420758,1.75e-14,1.26e-17,45.8848575,30.579172,4.96440125,"BLK","B lymphoid kinase"
10538882,1.75e-14,1.26e-17,45.867581,30.574035,5.88348692,"IGKV9-120","immunoglobulin kappa chain variable 9-120"
10567863,2.22e-14,1.69e-17,44.9795984,30.306633,6.04246162,"CD19","CD19 antigen"
10374727,2.77e-14,2.22e-17,44.172828,30.057826,4.99880917,"BCL11A","B cell CLL"
10584821,2.78e-14,2.37e-17,-43.9845886,29.998949,-5.26152119,"CD3D","CD3 antigen, delta polypeptide"
10585276,2.78e-14,2.46e-17,43.8765714,29.96502,4.9518499,"POU2AF1","POU domain, class 2, associating factor 1"
10545196,3.23e-14,2.98e-17,43.3122261,29.786043,4.74859875,"IGKV4-59","immunoglobulin kappa variable 4-59"
10403028,3.49e-14,3.46e-17,42.8858024,29.648865,5.39201884,"IGHV1-53","immunoglobulin heavy variable 1-53"
10551025,3.49e-14,3.5e-17,42.8473587,29.636414,6.36828366,"CD79A","CD79A antigen (immunoglobulin-associated alpha)"
10360028,3.77e-14,3.93e-17,42.5202059,29.529898,3.62566089,"FCGR2B","Fc receptor, IgG, low affinity IIb"
