"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10450154,6.63e-12,2.66e-16,-59.4518963,26.439581,-8.0428332,"H2-AA","histocompatibility 2, class II antigen A, alpha"
10456005,9.05e-12,7.26e-16,-54.7028164,25.741422,-7.7562897,"CD74","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
10538871,1.72e-11,2.07e-15,-50.1504793,24.97034,-6.7153007,"IGKV1-133","immunoglobulin kappa variable 1-133"
10361292,2.29e-11,3.7e-15,-47.7875548,24.52432,-7.3656398,"CR2","complement receptor 2"
10385776,2.29e-11,5e-15,46.6085879,24.288726,5.7333968,"TCF7","transcription factor 7, T cell specific"
10512669,2.29e-11,5.85e-15,-46.006565,24.16487,-6.0893551,"PAX5","paired box 5"
10396402,2.29e-11,7.47e-15,45.0813852,23.969664,6.0931847,"PRKCH","protein kinase C, eta"
10502335,2.29e-11,7.47e-15,-45.0801509,23.969399,-6.9003154,"BANK1","B cell scaffold protein with ankyrin repeats 1"
10467508,2.29e-11,8.28e-15,-44.6956736,23.886491,-5.4231436,"BLNK","B cell linker"
10444291,2.37e-11,1.06e-14,-43.7711605,23.682701,-7.4968731,"H2-AB1","histocompatibility 2, class II antigen A, beta 1"
10593015,2.37e-11,1.15e-14,43.4771407,23.616548,7.400628,"CD3G","CD3 antigen, gamma polypeptide"
10403043,2.37e-11,1.19e-14,-43.3731621,23.592995,-5.1960324,"IGHV1-72","immunoglobulin heavy variable 1-72"
10467979,2.37e-11,1.26e-14,-43.1675881,23.546184,-7.1365802,"SCD1","stearoyl-Coenzyme A desaturase 1"
10403048,2.37e-11,1.33e-14,-42.9586172,23.498263,-5.5265397,"IGHV1-53","immunoglobulin heavy variable 1-53"
10545175,2.96e-11,1.78e-14,-41.941528,23.260069,-6.4284447,"IGKV10-96","immunoglobulin kappa variable 10-96"
10545247,4.35e-11,2.86e-14,-40.3152808,22.86137,-6.9698333,"IGKV6-14","immunoglobulin kappa variable 6-14"
10496091,4.35e-11,2.97e-14,40.1935345,22.8306,4.9906959,"LEF1","lymphoid enhancer binding factor 1"
10426315,5.18e-11,3.95e-14,-39.2486789,22.587241,-5.8549444,"LRRK2","leucine-rich repeat kinase 2"
10403018,5.32e-11,4.27e-14,-38.9989742,22.521549,-5.7409733,"IGHG3","Immunoglobulin heavy constant gamma 3"
10565994,5.76e-11,4.85e-14,38.5822335,22.410597,6.9951294,"ART2B","ADP-ribosyltransferase 2b"
10562132,7.91e-11,7.46e-14,-37.2268435,22.03797,-5.8592884,"CD22","CD22 antigen"
10362896,7.91e-11,7.62e-14,-37.1602943,22.019196,-5.5194913,"CD24A","CD24a antigen"
10469255,8.55e-11,8.58e-14,36.7941682,21.915084,5.9780439,"PRKCQ","protein kinase C, theta"
10401244,8.77e-11,9.15e-14,36.5983072,21.85881,4.8398381,"ACTN1","actinin, alpha 1"
10375360,8.8e-11,9.53e-14,-36.4734053,21.82271,-6.5533878,"EBF1","early B cell factor 1"
10606694,9.33e-11,1.05e-13,-36.1853191,21.738805,-5.1599456,"BTK","Bruton agammaglobulinemia tyrosine kinase"
10404606,1.01e-10,1.17e-13,-35.8514577,21.640437,-6.1634796,"LY86","lymphocyte antigen 86"
10466172,1.23e-10,1.48e-13,-35.1611776,21.433113,-7.5564434,"MS4A1","membrane-spanning 4-domains, subfamily A, member 1"
10429520,1.23e-10,1.53e-13,-35.0696063,21.405203,-5.4649228,"LY6D","lymphocyte antigen 6 complex, locus D"
10406928,1.35e-10,1.73e-13,-34.6972393,21.290705,-6.1348594,"CD180","CD180 antigen"
10438405,1.42e-10,1.91e-13,-34.4138296,21.202467,-5.2724758,"IGLV1","immunoglobulin lambda variable 1"
10545198,1.61e-10,2.32e-13,-33.8649557,21.028834,-5.65424,"IGKV4-59","immunoglobulin kappa variable 4-59"
10471912,1.66e-10,2.52e-13,-33.6273456,20.952522,-4.7125898,"KYNU","kynureninase (L-kynurenine hydrolase)"
10585276,1.73e-10,2.72e-13,-33.4226301,20.88621,-4.6415013,"POU2AF1","POU domain, class 2, associating factor 1"
10385428,1.73e-10,2.8e-13,33.341601,20.859816,6.069888,"ITK","IL2 inducible T cell kinase"
10420758,1.73e-10,2.85e-13,-33.2884722,20.842466,-5.0418109,"BLK","B lymphoid kinase"
10521678,2.01e-10,3.38e-13,-32.8190613,20.687595,-5.2505969,"CD38","CD38 antigen"
10538882,2.1e-10,3.65e-13,-32.6058115,20.616293,-6.1211377,"IGKV9-120","immunoglobulin kappa chain variable 9-120"
10349593,2.1e-10,3.71e-13,-32.5658742,20.602872,-6.4077759,"FCMR","Fc fragment of IgM receptor"
10587733,2.17e-10,4e-13,-32.3613425,20.533811,-5.1134631,"CTSH","cathepsin H"
10374727,2.17e-10,4.02e-13,-32.3459092,20.528578,-5.0204811,"BCL11A","B cell CLL"
