"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10357833,3.65e-08,1.47e-12,17.603278,18.07426,4.1338201,"ATP2B4","ATPase, Ca++ transporting, plasma membrane 4"
10597323,1.44e-07,1.15e-11,15.531862,16.37001,2.6809873,"ARPP21","cyclic AMP-regulated phosphoprotein, 21"
10542355,2.77e-07,3.33e-11,14.552757,15.46243,2.2780106,"EMP1","epithelial membrane protein 1"
10371220,3.15e-07,5.05e-11,14.18268,15.10032,2.1038028,"GNA15","guanine nucleotide binding protein, alpha 15"
10463123,6.87e-07,1.38e-10,13.323865,14.21656,4.7381998,"DNTT","deoxynucleotidyltransferase, terminal"
10544596,8.56e-07,2.06e-10,12.99205,13.85796,3.018182,"TMEM176B","transmembrane protein 176B"
10522530,9.58e-07,2.69e-10,12.775673,13.61873,3.3584126,"KIT","kit oncogene"
10346168,1.08e-06,3.62e-10,12.538822,13.35183,2.1426369,"STAT4","signal transducer and activator of transcription 4"
10468898,1.08e-06,4.1e-10,12.439882,13.23875,2.0260459,"LAX1","lymphocyte transmembrane adaptor 1"
10456492,1.08e-06,4.61e-10,12.348854,13.13389,1.4845909,"LDLRAD4","low density lipoprotein receptor class A domain containing 4"
10593492,1.08e-06,5.13e-10,12.264563,13.03606,1.7065381,"ZC3H12C","zinc finger CCCH type containing 12C"
10514520,1.08e-06,5.18e-10,12.257722,13.02809,1.7877663,"CYP2J9","cytochrome P450, family 2, subfamily j, polypeptide 9"
10496569,1.15e-06,6e-10,12.142865,12.89358,2.3138752,"GBP7","guanylate binding protein 7"
10550877,1.4e-06,7.89e-10,11.93305,12.64446,1.9396255,"KCNN4","potassium intermediate"
10535732,2.31e-06,1.39e-09,-11.507153,12.12487,-2.2876643,"GPR12","G-protein coupled receptor 12"
10574288,2.43e-06,1.56e-09,11.422,12.0187,2.2448308,"DRC7","dynein regulatory complex subunit 7"
10542275,4.01e-06,2.8e-09,10.997286,11.47737,1.9590713,"ETV6","ets variant 6"
10570516,4.01e-06,2.94e-09,10.96223,11.4318,1.8720984,"KBTBD11","kelch repeat and BTB (POZ) domain containing 11"
10360028,4.01e-06,3.06e-09,-10.935725,11.39725,-1.4015606,"FCGR2B","Fc receptor, IgG, low affinity IIb"
10465895,4.88e-06,3.91e-09,10.760964,11.16746,2.0741401,"FADS2","fatty acid desaturase 2"
10381096,5.75e-06,4.95e-09,10.595915,10.94723,2.5916866,"IGFBP4","insulin-like growth factor binding protein 4"
10494978,5.75e-06,5.07e-09,10.579599,10.92529,2.0855803,"PTPN22","protein tyrosine phosphatase, non-receptor type 22 (lymphoid)"
10385518,6.58e-06,6.07e-09,10.454969,10.75664,2.44688,"TGTP2","T cell specific GTPase 2"
10491952,6.92e-06,6.72e-09,10.385913,10.66241,2.0130348,"MGST2","microsomal glutathione S-transferase 2"
10404380,6.92e-06,6.94e-09,-10.363173,10.63126,-1.0880627,"DUSP22","dual specificity phosphatase 22"
10367600,8.54e-06,8.91e-09,10.193587,10.39696,1.5742745,"ESR1","estrogen receptor 1 (alpha)"
10607848,1.06e-05,1.15e-08,-10.019928,10.15342,-2.7977006,"EGFL6","EGF-like-domain, multiple 6"
10346764,1.06e-05,1.31e-08,9.933994,10.03154,1.618881,"ABI2","abl-interactor 2"
10433507,1.06e-05,1.36e-08,-9.911407,9.99935,-1.1136227,"CIITA","class II transactivator"
10463632,1.06e-05,1.39e-08,9.896535,9.97812,1.254061,"TMEM180","transmembrane protein 180"
10367945,1.06e-05,1.41e-08,9.887756,9.96558,2.0144962,"PHACTR2","phosphatase and actin regulator 2"
10396402,1.06e-05,1.42e-08,9.882316,9.9578,2.1757552,"PRKCH","protein kinase C, eta"
10481845,1.06e-05,1.43e-08,9.879262,9.95343,1.9778141,"MVB12B","multivesicular body subunit 12B"
10538135,1.06e-05,1.45e-08,9.867191,9.93616,1.9203297,"GIMAP7","GTPase, IMAP family member 7"
10403015,1.17e-05,1.64e-08,-9.786824,9.82067,-1.8853964,"IGHG3","Immunoglobulin heavy constant gamma 3"
10472097,1.2e-05,1.73e-08,9.751159,9.76915,2.0022264,"FMNL2","formin-like 2"
10408937,1.25e-05,1.85e-08,9.707484,9.70585,1.1753114,"ATXN1","ataxin 1"
10498076,1.54e-05,2.41e-08,9.536875,9.45625,1.6434214,"MAML3","mastermind like 3 (Drosophila)"
10596148,1.73e-05,2.88e-08,9.422706,9.28713,1.9886726,"TRF","transferrin"
10479379,1.73e-05,2.88e-08,-9.421991,9.28607,-1.4517645,"SLCO4A1","solute carrier organic anion transporter family, member 4a1"
10470283,1.73e-05,2.91e-08,9.415645,9.27662,2.0717169,"EGFL7","EGF-like domain 7"
10369702,1.92e-05,3.43e-08,9.311266,9.12042,1.6452543,"TET1","tet methylcytosine dioxygenase 1"
10437272,2.09e-05,3.91e-08,9.228946,8.99622,1.3453235,"NLRC3","NLR family, CARD domain containing 3"
10347980,2.09e-05,4e-08,9.213766,8.97322,1.2667573,"ITM2C","integral membrane protein 2C"
10415411,2.09e-05,4.03e-08,9.209442,8.96667,1.4559689,"NYNRIN","NYN domain and retroviral integrase containing"
10359303,2.14e-05,4.24e-08,-9.177793,8.9186,-1.7711082,"4930562F07RIK","RIKEN cDNA 4930562F07 gene"
10502791,2.14e-05,4.3e-08,9.169648,8.90621,2.2971598,"IFI44","interferon-induced protein 44"
10447167,2.2e-05,4.5e-08,9.140137,8.86123,1.0912944,"MTA3","metastasis associated 3"
10383313,2.24e-05,4.71e-08,9.112251,8.81863,0.8845805,"BAHCC1","BAH domain and coiled-coil containing 1"
10496872,2.24e-05,4.76e-08,9.105464,8.80824,3.7820758,"ADGRL4","adhesion G protein-coupled receptor L4"
