"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10495035,5.19e-08,2.27e-12,-20.704416,17.904913,-3.9139107,"SLC16A1","solute carrier family 16 (monocarboxylic acid transporters), member 1"
10592535,5.19e-08,4.17e-12,19.848771,17.414266,2.7066331,"SORL1","sortilin-related receptor, LDLR class A repeats-containing"
10443506,7.83e-08,1.01e-11,18.660938,16.682892,2.630699,"FGD2","FYVE, RhoGEF and PH domain containing 2"
10523012,7.83e-08,1.26e-11,-18.375616,16.497884,-2.013346,"DCK","deoxycytidine kinase"
10404840,1e-07,2.32e-11,17.600526,15.975761,2.4474622,"CD83","CD83 antigen"
10535282,1e-07,2.42e-11,17.550107,15.940773,2.1076494,"CARD11","caspase recruitment domain family, member 11"
10531370,1.92e-07,5.4e-11,16.58422,15.244918,1.7413686,"NAAA","N-acylethanolamine acid amidase"
10495781,2.49e-07,8.16e-11,16.106073,14.881565,2.4760919,"BCAR3","breast cancer anti-estrogen resistance 3"
10562132,2.49e-07,8.97e-11,15.997726,14.797402,1.9122846,"CD22","CD22 antigen"
10372028,2.57e-07,1.11e-10,15.762117,14.611989,2.3869141,"PLXNC1","plexin C1"
10502058,2.57e-07,1.13e-10,-15.734036,14.58967,-1.5033886,"AP1AR","adaptor-related protein complex 1 associated regulatory protein"
10533603,4.81e-07,2.31e-10,14.954278,13.950366,2.1478068,"RHOF","ras homolog family member F (in filopodia)"
10371321,6.23e-07,3.25e-10,14.594922,13.642539,1.9176017,"SLC41A2","solute carrier family 41, member 2"
10372503,6.54e-07,3.67e-10,-14.467513,13.531311,-3.5875654,"LGR5","leucine rich repeat containing G protein coupled receptor 5"
10513320,7.19e-07,4.58e-10,-14.240862,13.330676,-3.3202285,"PTGR1","prostaglandin reductase 1"
10534303,7.19e-07,4.63e-10,14.22853,13.319657,2.2046234,"LAT2","linker for activation of T cells family, member 2"
10430804,7.19e-07,4.9e-10,-14.170567,13.267719,-1.7612599,"DESI1","desumoylating isopeptidase 1"
10605143,9.97e-07,7.35e-10,13.76283,12.895546,1.322218,"ARHGAP4","Rho GTPase activating protein 4"
10444236,9.97e-07,7.68e-10,13.719557,12.855333,4.039095,"H2-DMB2","histocompatibility 2, class II, locus Mb2"
10379615,9.97e-07,8e-10,13.678832,12.817361,2.3032464,"SLFN5","schlafen 5"
10588007,1.06e-06,8.91e-10,-13.572188,12.717338,-1.7020717,"TFDP2","transcription factor Dp 2"
10592888,1.14e-06,1.01e-09,13.449454,12.601159,4.0535556,"CXCR5","chemokine (C-X-C motif) receptor 5"
10465132,1.34e-06,1.24e-09,13.251624,12.41146,1.2076929,"SIPA1","signal-induced proliferation associated gene 1"
10509965,1.34e-06,1.31e-09,-13.198645,12.360141,-2.4069977,"EPHA2","Eph receptor A2"
10412394,1.34e-06,1.34e-09,-13.175883,12.338024,-1.780843,"NNT","nicotinamide nucleotide transhydrogenase"
10380793,1.47e-06,1.53e-09,13.050085,12.215054,1.4670052,"MLLT6","myeloid"
10397966,1.56e-06,1.69e-09,-12.955206,12.121472,-2.4279904,"OTUB2","OTU domain, ubiquitin aldehyde binding 2"
10425880,1.64e-06,1.84e-09,12.876046,12.042836,2.016141,"PRR5","proline rich 5 (renal)"
10383479,2.38e-06,2.77e-09,-12.497726,11.6599,-1.6131525,"HMGA1-RS1","high mobility group AT-hook I, related sequence 1"
10557591,2.68e-06,3.27e-09,12.343913,11.500762,1.8812646,"ITGAL","integrin alpha L"
10425092,2.68e-06,3.33e-09,12.32823,11.484422,2.5656818,"CYTH4","cytohesin 4"
10571344,2.71e-06,3.49e-09,12.286836,11.441191,1.3196493,"D8ERTD82E","DNA segment, Chr 8, ERATO Doi 82, expressed"
10539135,2.71e-06,3.59e-09,12.26075,11.413871,2.3007379,"CAPG","capping protein (actin filament), gelsolin-like"
10530145,2.73e-06,3.72e-09,12.227969,11.379456,3.626059,"TLR1","toll-like receptor 1"
10432573,2.84e-06,3.99e-09,-12.165481,11.313591,-1.3325449,"SLC11A2","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2"
10555510,3.13e-06,4.53e-09,-12.052194,11.193304,-1.9396451,"PDE2A","phosphodiesterase 2A, cGMP-stimulated"
10374727,3.13e-06,4.75e-09,12.010342,11.148577,1.6082219,"BCL11A","B cell CLL"
10527732,3.13e-06,4.78e-09,12.005298,11.143176,1.5499447,"FRY","FRY microtubule binding protein"
10439651,3.33e-06,5.21e-09,11.928725,11.060902,2.6492338,"CD200","CD200 antigen"
10512709,3.41e-06,5.47e-09,-11.886361,11.015156,-1.521421,"SLC25A51","solute carrier family 25, member 51"
10567626,4.23e-06,6.96e-09,11.676281,10.785883,1.5537705,"GGA2","golgi associated, gamma adaptin ear containing, ARF binding protein 2"
10576757,4.56e-06,7.69e-09,11.589837,10.690356,5.3133178,"FCER2A","Fc receptor, IgE, low affinity II, alpha polypeptide"
10534202,4.79e-06,8.27e-09,11.527139,10.620632,2.727915,"NCF1","neutrophil cytosolic factor 1"
10453260,4.87e-06,8.6e-09,11.493391,10.582948,2.5921335,"HAAO","3-hydroxyanthranilate 3,4-dioxygenase"
10435982,4.9e-06,8.88e-09,11.466438,10.552775,3.3375538,"BTLA","B and T lymphocyte associated"
10591735,4.9e-06,9.23e-09,-11.433252,10.515527,-2.1028781,"ELOF1","ELF1 homolog, elongation factor 1"
10360173,4.9e-06,9.25e-09,-11.431981,10.514099,-2.0595307,"SLAMF7","SLAM family member 7"
10571325,4.9e-06,9.44e-09,11.414149,10.494039,1.4029259,"MFHAS1","malignant fibrous histiocytoma amplified sequence 1"
10544815,5.02e-06,9.99e-09,-11.366632,10.440438,-1.3102827,"HIBADH","3-hydroxyisobutyrate dehydrogenase"
10425695,5.02e-06,1.01e-08,11.357294,10.429879,1.331545,"SREBF2","sterol regulatory element binding factor 2"
10385966,5.02e-06,1.03e-08,11.342422,10.413045,1.5015062,"ANXA6","annexin A6"
10596200,5.2e-06,1.08e-08,-11.29669,10.361146,-2.360342,"TMEM108","transmembrane protein 108"
10370946,5.75e-06,1.24e-08,11.181551,10.229578,1.4562681,"MOB3A","MOB kinase activator 3A"
10359161,5.75e-06,1.25e-08,11.17979,10.227556,1.5712454,"SOAT1","sterol O-acyltransferase 1"
10575598,6.21e-06,1.43e-08,-11.063179,10.092959,-1.2255109,"ZNRF1","zinc and ring finger 1"
10552743,6.21e-06,1.44e-08,11.059055,10.088174,2.6911028,"GM21948","predicted gene, 21948"
10360684,6.21e-06,1.44e-08,11.059,10.088111,2.0308484,"EPHX1","epoxide hydrolase 1, microsomal"
10559454,6.21e-06,1.44e-08,11.057148,10.085962,2.5336642,"GM15448","predicted gene 15448"
10401238,6.71e-06,1.59e-08,10.97934,9.995355,1.278559,"ZFP36L1","zinc finger protein 36, C3H type-like 1"
10363163,7.54e-06,1.81e-08,-10.869891,9.866872,-1.5914839,"ASF1A","anti-silencing function 1A histone chaperone"
10359181,7.62e-06,1.87e-08,10.845268,9.837801,1.1619471,"TOR3A","torsin family 3, member A"
10603551,7.62e-06,1.9e-08,10.834007,9.824484,2.3744263,"CYBB","cytochrome b-245, beta polypeptide"
10401428,8.15e-06,2.06e-08,10.766234,9.744067,1.3253878,"ELMSAN1","ELM2 and Myb"
10595793,8.16e-06,2.1e-08,-10.752185,9.727338,-1.4817175,"ATP1B3","ATPase, Na+"
10388902,1.06e-05,2.77e-08,-10.526929,9.456317,-1.957284,"LGALS9","lectin, galactose binding, soluble 9"
10535732,1.08e-05,2.87e-08,-10.499714,9.423213,-2.1475513,"GPR12","G-protein coupled receptor 12"
10426315,1.08e-05,2.9e-08,10.493041,9.415085,2.8335039,"LRRK2","leucine-rich repeat kinase 2"
10526943,1.11e-05,3.03e-08,10.455962,9.36983,1.2207315,"GPR146","G protein-coupled receptor 146"
10381082,1.13e-05,3.23e-08,10.405675,9.30822,2.1463204,"RARA","retinoic acid receptor, alpha"
10416037,1.13e-05,3.3e-08,-10.39016,9.289158,-3.1089039,"PBK","PDZ binding kinase"
10425632,1.13e-05,3.31e-08,-10.388023,9.286531,-2.5775454,"XRCC6","X-ray repair complementing defective repair in Chinese hamster cells 6"
10462587,1.13e-05,3.31e-08,-10.38786,9.28633,-1.9853323,"STAMBPL1","STAM binding protein like 1"
10437432,1.13e-05,3.36e-08,-10.376063,9.271815,-1.3910969,"NMRAL1","NmrA-like family domain containing 1"
10484488,1.13e-05,3.42e-08,-10.360556,9.252713,-2.6556971,"P2RX3","purinergic receptor P2X, ligand-gated ion channel, 3"
10467979,1.13e-05,3.43e-08,10.35808,9.24966,3.0180009,"SCD1","stearoyl-Coenzyme A desaturase 1"
10457225,1.17e-05,3.64e-08,10.312287,9.193088,2.1380537,"MAP3K8","mitogen-activated protein kinase kinase kinase 8"
10593198,1.17e-05,3.71e-08,10.297899,9.175266,1.9012637,"NXPE2","neurexophilin and PC-esterase domain family, member 2"
10495794,1.17e-05,3.76e-08,-10.286038,9.160558,-2.0527591,"PDE5A","phosphodiesterase 5A, cGMP-specific"
10507032,1.17e-05,3.78e-08,10.282294,9.155912,1.992333,"BEND5","BEN domain containing 5"
10555303,1.17e-05,3.8e-08,-10.2783,9.150954,-1.7748609,"PGM2L1","phosphoglucomutase 2-like 1"
10344750,1.29e-05,4.23e-08,10.194932,9.047071,1.0872477,"SGK3","serum"
10585068,1.4e-05,4.65e-08,10.120792,8.954048,2.131705,"NXPE4","neurexophilin and PC-esterase domain family, member 4"
10556280,1.41e-05,4.75e-08,10.105227,8.934441,1.7875307,"SWAP70","SWA-70 protein"
10386402,1.42e-05,4.83e-08,-10.092382,8.918242,-1.0608243,"ZKSCAN17","zinc finger with KRAB and SCAN domains 17"
10540795,1.42e-05,4.91e-08,10.07908,8.901446,2.018349,"IRAK2","interleukin-1 receptor-associated kinase 2"
10345580,1.42e-05,5.07e-08,10.054348,8.870166,1.0688863,"INPP4A","inositol polyphosphate-4-phosphatase, type I"
10574259,1.42e-05,5.1e-08,-10.049512,8.864041,-2.2789372,"ADGRG1","adhesion G protein-coupled receptor G1"
10347933,1.42e-05,5.11e-08,10.049422,8.863928,1.6973049,"LOC101055672","nuclear body protein SP140-like"
10513268,1.42e-05,5.12e-08,-10.047751,8.86181,-1.1190857,"AI314180","expressed sequence AI314180"
10450501,1.44e-05,5.27e-08,10.02484,8.832757,1.2783009,"TNF","tumor necrosis factor"
10559446,1.44e-05,5.31e-08,10.018647,8.824894,2.1283757,"PIRB","paired Ig-like receptor B"
10427628,1.6e-05,5.96e-08,-9.930831,8.712927,-4.6283256,"IL7R","interleukin 7 receptor"
10364593,1.62e-05,6.11e-08,9.912513,8.689462,1.8987591,"CNN2","calponin 2"
10354588,1.64e-05,6.24e-08,9.895418,8.66753,1.4700209,"STK17B","serine"
10571870,1.64e-05,6.3e-08,-9.888625,8.658805,-2.6999184,"HMGB2","high mobility group box 2"
10371770,1.64e-05,6.39e-08,-9.878349,8.645599,-2.6925303,"GAS2L3","growth arrest-specific 2 like 3"
10540408,1.68e-05,6.65e-08,9.847997,8.606518,1.44065,"ITPR1","inositol 1,4,5-trisphosphate receptor 1"
10404069,1.68e-05,6.71e-08,-9.84048,8.596822,-3.8089654,"HIST1H1A","histone cluster 1, H1a"
10358224,1.68e-05,6.73e-08,9.838198,8.593879,1.2992277,"PTPRC","protein tyrosine phosphatase, receptor type, C"
10517165,1.71e-05,6.94e-08,9.815624,8.56472,1.9878999,"CD52","CD52 antigen"
10582778,1.71e-05,6.99e-08,-9.81038,8.557937,-1.9397338,"TARBP1","TAR RNA binding protein 1"
10587241,1.71e-05,7.06e-08,-9.802557,8.547814,-1.7251315,"HMGCLL1","3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1"
10406928,1.74e-05,7.35e-08,9.771706,8.507824,1.8639564,"CD180","CD180 antigen"
10392970,1.74e-05,7.4e-08,9.767158,8.50192,1.8051849,"MIF4GD","MIF4G domain containing"
10425370,1.74e-05,7.4e-08,9.766727,8.50136,2.6674328,"CACNA1I","calcium channel, voltage-dependent, alpha 1I subunit"
10464647,1.77e-05,7.61e-08,9.745902,8.474292,1.7412501,"TBC1D10C","TBC1 domain family, member 10c"
10436106,1.81e-05,7.89e-08,-9.718553,8.438669,-3.539473,"C330027C09RIK","RIKEN cDNA C330027C09 gene"
10363210,1.81e-05,7.93e-08,9.715225,8.434329,1.3334826,"PKIB","protein kinase inhibitor beta, cAMP dependent, testis specific"
10423024,1.85e-05,8.23e-08,-9.687048,8.397527,-2.1167802,"CAPSL","calcyphosine-like"
10384145,1.85e-05,8.24e-08,-9.685988,8.396141,-1.8104175,"H2AFV","H2A histone family, member V"
10573082,1.85e-05,8.31e-08,9.680232,8.388611,1.959792,"INPP4B","inositol polyphosphate-4-phosphatase, type II"
10584710,1.93e-05,8.74e-08,-9.642279,8.338865,-2.6718243,"H2AFX","H2A histone family, member X"
10520521,1.94e-05,8.85e-08,-9.632734,8.326328,-1.614513,"CENPA","centromere protein A"
10416340,2e-05,9.21e-08,-9.603027,8.287241,-2.1280799,"GFRA2","glial cell line derived neurotrophic factor family receptor alpha 2"
10532767,2e-05,9.32e-08,9.59421,8.27562,1.7614457,"SSH1","slingshot homolog 1 (Drosophila)"
10494407,2.04e-05,9.58e-08,-9.573915,8.248836,-3.1742405,"HIST2H2BB","histone cluster 2, H2bb"
10468533,2.04e-05,9.66e-08,-9.567875,8.240856,-2.7556095,"GPAM","glycerol-3-phosphate acyltransferase, mitochondrial"
10535894,2.06e-05,9.86e-08,-9.552704,8.220792,-1.9136917,"HMGB1","high mobility group box 1"
10486833,2.07e-05,9.99e-08,9.543135,8.208124,1.4616049,"ELL3","elongation factor RNA polymerase II-like 3"
10494322,2.09e-05,1.02e-07,-9.530665,8.191599,-2.0721336,"ANP32E","acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"
10502335,2.1e-05,1.03e-07,9.523199,8.181695,4.1926722,"BANK1","B cell scaffold protein with ankyrin repeats 1"
10583697,2.15e-05,1.07e-07,-9.492961,8.141521,-1.8796748,"SMARCA4","SWI"
10525365,2.16e-05,1.09e-07,9.479596,8.12373,1.4042376,"HVCN1","hydrogen voltage-gated channel 1"
10361292,2.16e-05,1.1e-07,9.474683,8.117185,4.5594432,"CR2","complement receptor 2"
10408081,2.16e-05,1.1e-07,-9.469826,8.110711,-3.2711332,"HIST1H1B","histone cluster 1, H1b"
10587733,2.16e-05,1.11e-07,9.46449,8.103597,3.5330756,"CTSH","cathepsin H"
10587266,2.16e-05,1.13e-07,-9.453327,8.088701,-1.7211542,"GCLC","glutamate-cysteine ligase, catalytic subunit"
10412624,2.16e-05,1.13e-07,9.453009,8.088276,1.535285,"PXK","PX domain containing serine"
10544501,2.19e-05,1.15e-07,-9.438327,8.068661,-2.7562641,"EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit"
10601588,2.22e-05,1.18e-07,-9.422955,8.048097,-1.8460135,"GM2411","predicted gene 2411"
10438445,2.3e-05,1.23e-07,-9.392784,8.007653,-1.1238739,"KLHL6","kelch-like 6"
10439312,2.35e-05,1.27e-07,9.368393,7.97488,1.6674405,"CD86","CD86 antigen"
10459944,2.35e-05,1.29e-07,9.357828,7.960661,1.2050839,"NFATC1","nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1"
10578690,2.35e-05,1.29e-07,-9.354444,7.956103,-3.5720989,"NEIL3","nei like 3 (E. coli)"
10365891,2.35e-05,1.29e-07,9.352911,7.954039,1.0689535,"TMCC3","transmembrane and coiled coil domains 3"
10521337,2.55e-05,1.42e-07,-9.282823,7.859335,-1.7043981,"RGS12","regulator of G-protein signaling 12"
10541729,2.55e-05,1.43e-07,-9.279229,7.854463,-2.6543279,"CDCA3","cell division cycle associated 3"
10392440,2.56e-05,1.45e-07,9.272368,7.845157,1.3158314,"SLC16A6","solute carrier family 16 (monocarboxylic acid transporters), member 6"
10572663,2.58e-05,1.47e-07,-9.260159,7.828584,-1.5407516,"PGLS","6-phosphogluconolactonase"
10606016,2.62e-05,1.5e-07,9.244806,7.807719,1.6288956,"IL2RG","interleukin 2 receptor, gamma chain"
10513818,2.62e-05,1.52e-07,-9.238171,7.798692,-3.3345486,"STMN1","stathmin 1"
10483401,2.69e-05,1.58e-07,-9.20978,7.760008,-3.0050415,"SPC25","SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)"
10474105,2.74e-05,1.63e-07,-9.187235,7.72922,-3.6080786,"RAG2","recombination activating gene 2"
10560964,2.74e-05,1.64e-07,9.183345,7.723901,1.5260624,"POU2F2","POU domain, class 2, transcription factor 2"
10499035,2.74e-05,1.64e-07,-9.180521,7.72004,-2.1519518,"MND1-PS","Mnd1 retrotransposed pseudogene"
10450154,2.74e-05,1.65e-07,9.177956,7.716531,3.4271591,"H2-AA","histocompatibility 2, class II antigen A, alpha"
10404063,2.75e-05,1.67e-07,-9.169156,7.704486,-4.2384987,"HIST1H2AB","histone cluster 1, H2ab"
10403943,2.76e-05,1.68e-07,-9.162735,7.695691,-2.6449017,"HIST1H2BM","histone cluster 1, H2bm"
10594774,2.76e-05,1.69e-07,-9.158748,7.690229,-3.6980184,"CCNB2","cyclin B2"
10349782,2.86e-05,1.76e-07,9.128852,7.649202,1.6845877,"NUAK2","NUAK family, SNF1-like kinase, 2"
10405464,2.88e-05,1.79e-07,9.119077,7.635764,1.1054053,"GRK6","G protein-coupled receptor kinase 6"
10606088,2.88e-05,1.8e-07,-9.11417,7.629015,-1.6753531,"HDAC8","histone deacetylase 8"
10396094,3e-05,1.89e-07,-9.079396,7.581094,-1.3460224,"KLHDC2","kelch domain containing 2"
10503264,3.03e-05,1.92e-07,-9.068798,7.56646,-3.0675215,"CCNE2","cyclin E2"
10572772,3.04e-05,1.95e-07,9.057572,7.550943,1.1343069,"HSH2D","hematopoietic SH2 domain containing"
10403604,3.04e-05,1.95e-07,9.05681,7.54989,1.1982533,"LYST","lysosomal trafficking regulator"
10385426,3.3e-05,2.13e-07,-8.994242,7.463118,-1.4098434,"HMGB1-RS17","high mobility group box 1, related sequence 17"
10587488,3.3e-05,2.14e-07,-8.990271,7.457595,-1.5192659,"MEI4","meiotic double-stranded break formation protein 4"
10362941,3.46e-05,2.27e-07,-8.948175,7.398921,-1.960763,"PREP","prolyl endopeptidase"
10521136,3.75e-05,2.5e-07,-8.882556,7.307021,-2.097317,"WHSC1","Wolf-Hirschhorn syndrome candidate 1 (human)"
10546056,3.8e-05,2.57e-07,-8.863162,7.279756,-1.0939051,"RAB43","RAB43, member RAS oncogene family"
10376455,3.8e-05,2.59e-07,-8.856177,7.269924,-1.5739227,"HIST3H2A","histone cluster 3, H2a"
10564857,3.8e-05,2.6e-07,-8.85527,7.268647,-1.4240282,"IDH2","isocitrate dehydrogenase 2 (NADP+), mitochondrial"
10507112,3.8e-05,2.61e-07,-8.85251,7.264761,-3.4165638,"STIL","Scl"
10358978,3.82e-05,2.64e-07,8.8443,7.253192,1.7668909,"IER5","immediate early response 5"
10456904,3.95e-05,2.75e-07,8.815364,7.212357,1.1458359,"PSTPIP2","proline-serine-threonine phosphatase-interacting protein 2"
10489891,3.95e-05,2.81e-07,8.800908,7.191917,0.9468856,"B4GALT5","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5"
