"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10456904,0.00325,1.33e-07,-11.0014202,7.11387,-1.36035121,"PSTPIP2","proline-serine-threonine phosphatase-interacting protein 2"
10482762,0.00325,2.61e-07,10.34039,6.61792,1.31005776,"IDI1","isopentenyl-diphosphate delta isomerase"
10601456,0.00365,4.39e-07,9.8528245,6.22378,1.80778099,"GM6377","predicted gene 6377"
10549276,0.00448,7.19e-07,-9.4087915,5.84227,-2.01860232,"BHLHE41","basic helix-loop-helix family, member e41"
10450501,0.00842,1.87e-06,8.5882176,5.07575,1.12013157,"TNF","tumor necrosis factor"
10405938,0.00902,2.86e-06,8.2445709,4.72924,0.9805751,"ZFP273","zinc finger protein 273"
10412466,0.00902,2.9e-06,8.233888,4.71822,0.83702096,"HMGCS1","3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1"
10356932,0.00932,3.37e-06,8.1140458,4.59346,0.82527812,"D1ERTD622E","DNA segment, Chr 1, ERATO Doi 622, expressed"
10492584,0.01429,5.74e-06,7.6994059,4.14629,1.26354998,"MIR16-2","microRNA 16-2"
10417526,0.015,6.62e-06,-7.590313,4.02453,-1.4346012,"DNASE1L3","deoxyribonuclease 1-like 3"
10528474,0.02082,1.03e-05,7.2594068,3.6444,1.31163104,"GM15421","ribosomal protein L22 like 1 pseudogene"
10578916,0.02082,1.21e-05,7.1427947,3.50649,0.88864952,"MSMO1","methylsterol monoxygenase 1"
10503995,0.02082,1.28e-05,7.103705,3.45979,1.31807421,"DNAJA1","DnaJ heat shock protein family (Hsp40) member A1"
10492582,0.02082,1.29e-05,7.0988178,3.45394,1.73493981,"MIR15B","microRNA 15b"
10414360,0.02082,1.42e-05,-7.0275044,3.36808,-0.79534414,"LGALS3","lectin, galactose binding, soluble 3"
10420668,0.02253,1.66e-05,6.9178756,3.23454,0.99274709,"MIR15A","microRNA 15a"
10490946,0.02253,1.72e-05,6.8916088,3.20226,0.954755,"HSP90AA1","heat shock protein 90, alpha (cytosolic), class A member 1"
10405911,0.02743,2.3e-05,6.6876757,2.94794,0.86120715,"ZFP759","zinc finger protein 759"
10581088,0.02743,2.31e-05,6.6826751,2.94162,0.86996067,"TERB1","telomere repeat binding bouquet formation protein 1"
10503431,0.02743,2.42e-05,6.6504473,2.90079,0.81945361,"NBN","nibrin"
10581605,0.03291,3.04e-05,-6.4942996,2.70061,-0.89111676,"HP","haptoglobin"
10389222,0.03646,3.64e-05,-6.3710008,2.53973,-0.85709765,"CCL6","chemokine (C-C motif) ligand 6"
10548333,0.03646,4.11e-05,6.2893854,2.43187,1.62882764,"CD69","CD69 antigen"
10516658,0.03646,4.18e-05,-6.2784012,2.41727,-0.73637318,"CCDC28B","coiled coil domain containing 28B"
10450926,0.03646,4.19e-05,6.2759633,2.41402,1.45463814,"CRISP3","cysteine-rich secretory protein 3"
10350630,0.03646,4.45e-05,-6.2358301,2.36049,-0.79667289,"FAM129A","family with sequence similarity 129, member A"
10535904,0.03646,4.7e-05,6.1991196,2.31129,1.31821236,"HSPH1","heat shock 105kDa"
10442219,0.03646,4.74e-05,6.1938477,2.30421,1.03900289,"ZFP52","zinc finger protein 52"
10360373,0.03646,4.94e-05,6.1663595,2.2672,1.13429591,"PYDC4","pyrin domain containing 4"
10398286,0.03646,5.11e-05,6.1435196,2.23635,1.51576859,"MIR342","microRNA 342"
10543052,0.03646,5.19e-05,6.1328614,2.22193,0.86322098,"RPS27A","ribosomal protein S27A"
10388591,0.03646,5.32e-05,-6.1170429,2.20048,-0.93367099,"CPD","carboxypeptidase D"
10571312,0.03646,5.34e-05,6.1147157,2.19733,1.22714105,"DUSP4","dual specificity phosphatase 4"
10560242,0.03646,5.41e-05,-6.1056697,2.18504,-0.7900265,"C5AR1","complement component 5a receptor 1"
10546586,0.03814,5.86e-05,6.0533723,2.11375,0.65568023,"TMF1","TATA element modulatory factor 1"
10502766,0.03814,5.98e-05,-6.0400773,2.09556,-0.7839258,"ADGRL2","adhesion G protein-coupled receptor L2"
10534940,0.03814,6.12e-05,-6.0247435,2.07454,-0.63183025,"PILRB2","paired immunoglobin-like type 2 receptor beta 2"
10393559,0.0396,7.19e-05,-5.9197493,1.92954,-0.77665439,"TIMP2","tissue inhibitor of metalloproteinase 2"
10544540,0.0396,7.4e-05,5.9007244,1.90307,1.12165018,"INO80","INO80 complex subunit"
10544971,0.0396,7.74e-05,5.8718434,1.86277,0.95768296,"LSM5","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated"
10510019,0.0396,7.8e-05,5.8666925,1.85557,0.96406349,"B330016D10RIK","RIKEN cDNA B330016D10 gene"
10528457,0.0396,7.84e-05,5.8633727,1.85093,0.68220239,"ORC5","origin recognition complex, subunit 5"
10372078,0.0396,8.03e-05,5.8478207,1.82915,1.30545596,"MRPL42","mitochondrial ribosomal protein L42"
10385533,0.0396,8.41e-05,5.818587,1.78809,1.03299304,"TGTP2","T cell specific GTPase 2"
10388784,0.0396,8.42e-05,5.8177484,1.78691,1.14195741,"SNORD42B","small nucleolar RNA, C"
10372497,0.0396,8.45e-05,5.8155749,1.78386,0.99588894,"THAP2","THAP domain containing, apoptosis associated protein 2"
10474541,0.0396,8.87e-05,5.7839985,1.73934,0.80931966,"NOP10","NOP10 ribonucleoprotein"
10584572,0.0396,8.94e-05,5.7789494,1.73221,0.93068633,"HSPA8","heat shock protein 8"
10543779,0.0396,9.06e-05,5.7705473,1.72033,0.91081298,"MIR29A","microRNA 29a"
10604072,0.0396,9.08e-05,5.7694243,1.71874,1.17235376,"GM32211","predicted gene, 32211"
10360370,0.0396,9.12e-05,5.7664071,1.71447,1.29939942,"BC094916","cDNA sequence BC094916"
10474577,0.0396,9.12e-05,5.7663482,1.71438,0.69991267,"SLC12A6","solute carrier family 12, member 6"
10421723,0.0396,9.22e-05,5.7596257,1.70486,0.77025836,"DNAJC15","DnaJ heat shock protein family (Hsp40) member C15"
10583242,0.04069,9.81e-05,5.719902,1.64846,0.93312759,"SESN3","sestrin 3"
10351873,0.04069,0.000102,5.6951854,1.61323,1.00140443,"PYHIN1","pyrin and HIN domain family, member 1"
10572727,0.04069,0.000106,5.6685285,1.57513,0.87468529,"ZFP882","zinc finger protein 882"
10397277,0.04069,0.000107,5.6624411,1.56641,0.73300989,"FCF1","FCF1 rRNA processing protein"
10405587,0.04069,0.00011,-5.6449058,1.54126,-0.69918297,"TGFBI","transforming growth factor, beta induced"
10358709,0.04069,0.000111,5.6436469,1.53945,0.6446978,"COX7B","cytochrome c oxidase subunit VIIb"
10545417,0.04069,0.000112,5.6327528,1.5238,0.65475938,"MAT2A","methionine adenosyltransferase II, alpha"
10562720,0.04069,0.000113,-5.6271242,1.5157,-0.7081031,"SIGLECE","sialic acid binding Ig-like lectin E"
10410644,0.04069,0.000114,5.6268854,1.51536,0.71885403,"ZFP72","zinc finger protein 72"
10583347,0.04069,0.000115,5.6174811,1.50182,0.96888935,"CHORDC1","cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1"
10585972,0.04069,0.000116,5.6136348,1.49628,1.12559394,"MYO9A","myosin IXa"
10410756,0.04128,0.00012,5.5910956,1.46376,1.2501189,"SLF1","SMC5-SMC6 complex localization factor 1"
10457778,0.04128,0.000121,5.5857009,1.45596,0.95119647,"GM10551","predicted gene 10551"
10354732,0.04176,0.000131,5.534649,1.38195,0.84291041,"HSPD1","heat shock protein 1 (chaperonin)"
10599321,0.04176,0.000132,5.5342508,1.38137,0.60199396,"ZBTB33","zinc finger and BTB domain containing 33"
10503643,0.04176,0.000132,5.5298791,1.37501,0.66398233,"NDUFAF4","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4"
10540118,0.04176,0.000133,5.5255398,1.36869,0.70265145,"LSM3","LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated"
10422760,0.04176,0.000134,-5.5246004,1.36733,-0.77049313,"FYB","FYN binding protein"
10498345,0.04176,0.000134,5.5222509,1.3639,0.72333212,"GPR171","G protein-coupled receptor 171"
10440393,0.04279,0.00014,5.4962831,1.32603,0.75684554,"SAMSN1","SAM domain, SH3 domain and nuclear localization signals, 1"
10487238,0.04279,0.000142,-5.4872986,1.31291,-0.6984022,"HDC","histidine decarboxylase"
10355037,0.04279,0.000149,5.4552542,1.26597,0.61548922,"WDR12","WD repeat domain 12"
10534456,0.04279,0.00015,5.4508801,1.25955,0.7683962,"HIP1","huntingtin interacting protein 1"
10514892,0.04279,0.00015,5.4501647,1.2585,0.65740254,"TCEANC2","transcription elongation factor A (SII) N-terminal and central domain containing 2"
10447629,0.04279,0.000151,5.4476107,1.25475,0.56189715,"TAGAP1","T cell activation GTPase activating protein 1"
10489246,0.04279,0.000151,-5.4460291,1.25243,-0.64141878,"MAFB","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)"
10367532,0.04279,0.000152,5.4442047,1.24975,1.41488261,"TESPA1","thymocyte expressed, positive selection associated 1"
10438017,0.04279,0.000154,-5.43566,1.23719,-0.62159957,"FGD4","FYVE, RhoGEF and PH domain containing 4"
10602020,0.04279,0.000155,5.4334279,1.23391,0.78384763,"TBC1D8B","TBC1 domain family, member 8B"
10416793,0.04324,0.00016,5.4124105,1.20295,0.75434283,"UCHL3","ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)"
10405727,0.04324,0.000162,5.405111,1.19219,0.77826136,"CARNMT1","carnosine N-methyltransferase 1"
10440491,0.04324,0.000162,-5.4022569,1.18797,-0.67683362,"APP","amyloid beta (A4) precursor protein"
10452648,0.04324,0.000167,-5.3871293,1.16562,-0.67287752,"EMILIN2","elastin microfibril interfacer 2"
10505894,0.04324,0.000169,5.3794639,1.15429,0.95035251,"MTAP","methylthioadenosine phosphorylase"
10488108,0.04324,0.000173,5.3635802,1.13076,0.76162836,"ESF1","ESF1 nucleolar pre-rRNA processing protein homolog"
10598055,0.04324,0.000173,5.3630058,1.12991,1.33450893,"ND3","NADH dehydrogenase subunit 3"
10422052,0.04324,0.000175,5.355051,1.11811,0.66712724,"COMMD6","COMM domain containing 6"
10469786,0.04324,0.000183,-5.3288354,1.07915,-0.95751851,"IL1F9","interleukin 1 family, member 9"
10399882,0.04324,0.000183,5.328248,1.07827,0.74869977,"DUS4L","dihydrouridine synthase 4-like (S. cerevisiae)"
10494160,0.04324,0.000184,5.3258207,1.07466,0.7445625,"TMOD4","tropomodulin 4"
10497587,0.04324,0.000191,5.3021259,1.03934,0.75851432,"YAE1D1","Yae1 domain containing 1"
10457429,0.04324,0.000193,5.2974459,1.03235,0.77060189,"ROCK1","Rho-associated coiled-coil containing protein kinase 1"
10427718,0.04324,0.000193,5.2958968,1.03004,0.90022539,"BRIX1","BRX1, biogenesis of ribosomes"
10544487,0.04324,0.000194,5.2915015,1.02347,0.80389126,"TPK1","thiamine pyrophosphokinase"
10495416,0.04324,0.000196,5.2879345,1.01814,0.56045839,"VAV3","vav 3 oncogene"
10436239,0.04324,0.000196,5.2858538,1.01503,0.67939015,"ZBTB11","zinc finger and BTB domain containing 11"
10450904,0.04324,0.000197,5.2830003,1.01076,1.45476886,"SCOC","short coiled-coil protein"
10461765,0.04324,0.000201,5.2724002,0.9949,0.6859007,"LPXN","leupaxin"
10475352,0.04324,0.000201,5.271556,0.99363,0.74771217,"HYPK","huntingtin interacting protein K"
10416437,0.04324,0.000202,5.2674662,0.98751,0.77700059,"LCP1","lymphocyte cytosolic protein 1"
10583825,0.04324,0.000204,5.2622523,0.97969,0.51724841,"ZFP809","zinc finger protein 809"
10442292,0.04324,0.000206,-5.2573423,0.97233,-0.58501842,"VMN2R112","vomeronasal 2, receptor 112"
10422701,0.04324,0.000207,5.2532674,0.96622,0.85624439,"RPL37RT","ribosomal protein L37, retrotransposed"
10413014,0.04324,0.00021,5.2454817,0.95453,0.66563617,"CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1"
10409061,0.04324,0.00021,5.2437663,0.95195,1.61839173,"MIRLET7F-1","microRNA let7f-1"
10527920,0.04324,0.00021,5.2437277,0.95189,1.03833816,"CYP51","cytochrome P450, family 51"
10532025,0.04324,0.000216,5.2284096,0.92886,1.0079157,"RPS15A-PS6","ribosomal protein S15A, pseudogene 6"
10442258,0.04324,0.000216,5.2283849,0.92882,1.0885664,"ZFP943","zinc finger prtoein 943"
10530100,0.04324,0.000217,5.2252309,0.92408,0.78337891,"ARAP2","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2"
10346549,0.04324,0.000217,5.2250628,0.92382,0.70491144,"CBX3","chromobox 3"
10424349,0.04324,0.000218,5.2214161,0.91833,0.9652494,"SQLE","squalene epoxidase"
10404840,0.04324,0.00022,5.2161138,0.91035,0.8596314,"CD83","CD83 antigen"
10435821,0.04324,0.000223,5.2073797,0.89718,0.60532231,"NAA50","N(alpha)-acetyltransferase 50, NatE catalytic subunit"
10588024,0.04324,0.000223,5.2070025,0.89661,0.4835844,"PPIA","peptidylprolyl isomerase A"
10410351,0.04363,0.000228,5.1947255,0.87808,1.0748629,"ZFP729B","zinc finger protein 729b"
10374415,0.04368,0.000231,5.1851089,0.86355,0.77431255,"PPP3R1","protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)"
10364593,0.04423,0.000236,5.1729329,0.84513,0.64774247,"CNN2","calponin 2"
10442238,0.04484,0.000242,5.1585654,0.82337,1.20695833,"GM10509","zinc finger protein 51 pseudogene"
10438639,0.04484,0.000244,-5.151707,0.81297,-0.58287427,"DGKG","diacylglycerol kinase, gamma"
10436048,0.04484,0.000245,5.1493513,0.80939,0.64409196,"PRDX1","peroxiredoxin 1"
10430302,0.04484,0.000247,-5.1465497,0.80514,-0.72435588,"CSF2RB2","colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)"
