"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10485372,2.08e-14,8.36e-19,78.461701,30.3534543,8.1798029,"RAG1","recombination activating gene 1"
10485370,1.65e-12,1.42e-16,52.815951,27.1884247,6.8626799,"B230118H07RIK","RIKEN cDNA B230118H07 gene"
10450075,1.65e-12,1.99e-16,-51.462827,26.9452696,-5.2740566,"H2-K1","histocompatibility 2, K1, K region"
10597323,7.33e-12,1.18e-15,44.863867,25.5947459,4.9773387,"ARPP21","cyclic AMP-regulated phosphoprotein, 21"
10501586,1.97e-11,3.95e-15,-40.853491,24.6153767,-5.6748499,"S1PR1","sphingosine-1-phosphate receptor 1"
10503196,2.27e-11,5.46e-15,-39.841601,24.3458049,-4.8785641,"CHD7","chromodomain helicase DNA binding protein 7"
10548105,2.35e-11,6.59e-15,-39.268222,24.1886738,-5.3053361,"CCND2","cyclin D2"
10431962,3.98e-11,1.28e-14,37.302457,23.6244808,4.6960536,"ENDOU","endonuclease, polyU-specific"
10494023,4.25e-11,1.63e-14,36.601204,23.4131375,5.3619783,"RORC","RAR-related orphan receptor gamma"
10390763,4.25e-11,1.71e-14,-36.478429,23.3755646,-4.4511904,"CCR7","chemokine (C-C motif) receptor 7"
10362896,7.49e-11,3.31e-14,34.652567,22.7957602,3.6775946,"CD24A","CD24a antigen"
10461605,8e-11,3.85e-14,-34.243432,22.6602042,-5.2217209,"MS4A4B","membrane-spanning 4-domains, subfamily A, member 4B"
10498024,1e-10,5.22e-14,33.446278,22.3898343,4.3338048,"SLC7A11","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11"
10444780,1.15e-10,6.45e-14,-32.899576,22.1994754,-3.2175317,"H2-L","histocompatibility 2, D region locus L"
10527012,1.22e-10,7.36e-14,-32.565508,22.0811161,-4.8462904,"LFNG","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
10474105,1.54e-10,1.05e-13,31.67475,21.7577081,5.4707777,"RAG2","recombination activating gene 2"
10501063,1.55e-10,1.18e-13,-31.383041,21.6492538,-4.4745627,"CD53","CD53 antigen"
10469322,1.72e-10,1.38e-13,-31.011579,21.5092767,-3.3828464,"VIM","vimentin"
10456745,1.96e-10,1.66e-13,-30.572768,21.3411596,-3.217823,"SMAD7","SMAD family member 7"
10432957,1.96e-10,1.73e-13,-30.472259,21.3022243,-3.932565,"ITGB7","integrin beta 7"
10461622,1.98e-10,1.82e-13,-30.34572,21.2529751,-3.603889,"MS4A6B","membrane-spanning 4-domains, subfamily A, member 6B"
10385526,2.14e-10,2.07e-13,-30.053322,21.1381822,-4.4806587,"9930111J21RIK1","RIKEN cDNA 9930111J21 gene 1"
10350337,2.68e-10,2.71e-13,29.423015,20.8859208,3.9645471,"A130050O07RIK","RIKEN cDNA A130050O07 gene"
10434778,2.68e-10,2.79e-13,-29.354309,20.8580182,-4.0520108,"RTP4","receptor transporter protein 4"
10547888,2.99e-10,3.24e-13,29.01732,20.7199835,3.3908196,"GPR162","G protein-coupled receptor 162"
10404152,3.3e-10,3.71e-13,-28.7107,20.592662,-2.9366071,"FAM65B","family with sequence similarity 65, member B"
10475414,4.04e-10,4.71e-13,-28.184831,20.370376,-2.7492225,"B2M","beta-2 microglobulin"
10494271,4.34e-10,5.22e-13,-27.956741,20.2723853,-3.8243758,"CTSS","cathepsin S"
10385966,4.43e-10,5.51e-13,-27.841271,20.2224074,-2.9017896,"ANXA6","annexin A6"
10385518,4.59e-10,5.89e-13,-27.695502,20.158956,-4.4235477,"TGTP2","T cell specific GTPase 2"
10463123,4.72e-10,6.25e-13,27.56888,20.103511,5.0516539,"DNTT","deoxynucleotidyltransferase, terminal"
10479010,4.72e-10,6.44e-13,27.504753,20.0753139,3.8319865,"SPO11","SPO11 meiotic protein covalently bound to DSB"
10598994,5.66e-10,7.95e-13,-27.054278,19.874983,-2.9042125,"ATP1B3","ATPase, Na+"
10574149,6.48e-10,9.63e-13,-26.653743,19.6934797,-5.0835473,"NLRC5","NLR family, CARD domain containing 5"
10538126,6.58e-10,1e-12,-26.568218,19.6543028,-5.1525963,"GIMAP4","GTPase, IMAP family member 4"
10362581,6.78e-10,1.06e-12,26.453054,19.6013117,3.3598719,"TUBE1","epsilon-tubulin 1"
10427628,7.99e-10,1.28e-12,-26.062566,19.4195803,-4.8239449,"IL7R","interleukin 7 receptor"
10422493,1e-09,1.65e-12,-25.559453,19.1806472,-2.923703,"GPR18","G protein-coupled receptor 18"
10418729,1e-09,1.69e-12,25.510529,19.1571187,2.9372278,"COLQ","collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase"
10368199,1.29e-09,2.26e-12,24.930046,18.8738743,3.6307596,"MYB","myeloblastosis oncogene"
10432661,1.29e-09,2.27e-12,-24.920134,18.8689714,-3.0124537,"GALNT6","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6"
10565627,1.4e-09,2.62e-12,24.644675,18.7318085,4.2408282,"AQP11","aquaporin 11"
10544588,1.4e-09,2.69e-12,-24.595673,18.7072227,-5.0746377,"GIMAP3","GTPase, IMAP family member 3"
10444830,1.4e-09,2.71e-12,-24.579605,18.6991484,-2.6836265,"GM11127","predicted gene 11127"
10364593,1.54e-09,3.2e-12,-24.260159,18.5373559,-3.3802677,"CNN2","calponin 2"
10458314,1.54e-09,3.27e-12,-24.222612,18.5181785,-3.2623803,"TMEM173","transmembrane protein 173"
10455238,1.56e-09,3.38e-12,-24.160519,18.4863896,-2.361952,"NDFIP1","Nedd4 family interacting protein 1"
10424400,1.72e-09,3.79e-12,-23.940251,18.372862,-3.0721115,"MYC","myelocytomatosis oncogene"
10454580,1.95e-09,4.4e-12,-23.661484,18.2274633,-2.4384443,"BIN1","bridging integrator 1"
10569102,1.95e-09,4.47e-12,-23.634916,18.2135039,-3.1978343,"IRF7","interferon regulatory factor 7"
10551009,1.97e-09,4.59e-12,-23.584517,18.186975,-3.1957359,"TMSB10","thymosin, beta 10"
10589350,2.03e-09,4.82e-12,-23.495647,18.1400389,-2.5534399,"SHISA5","shisa family member 5"
10346191,2.07e-09,5.15e-12,-23.372057,18.07443,-2.5111636,"STAT1","signal transducer and activator of transcription 1"
10573082,2.12e-09,5.35e-12,-23.302686,18.0374316,-3.5872643,"INPP4B","inositol polyphosphate-4-phosphatase, type II"
10518686,2.13e-09,5.48e-12,-23.258235,18.0136582,-3.0481389,"PIK3CD","phosphatidylinositol 3-kinase catalytic delta polypeptide"
10580061,2.19e-09,5.73e-12,-23.176165,17.9696311,-2.547567,"IL27RA","interleukin 27 receptor, alpha"
10427454,2.19e-09,5.79e-12,-23.157961,17.9598414,-3.5300435,"CARD6","caspase recruitment domain family, member 6"
10381096,2.3e-09,6.18e-12,-23.039551,17.8959514,-5.2363443,"IGFBP4","insulin-like growth factor binding protein 4"
10402347,2.38e-09,6.48e-12,-22.953321,17.8491917,-3.7397059,"IFI27L2A","interferon, alpha-inducible protein 27 like 2A"
10360684,2.57e-09,7.21e-12,-22.763306,17.7454529,-3.4758199,"EPHX1","epoxide hydrolase 1, microsomal"
10591263,2.61e-09,7.43e-12,22.71022,17.7162968,2.1388737,"FBXL12","F-box and leucine-rich repeat protein 12"
10358928,2.85e-09,8.24e-12,22.524455,17.6136669,2.1728984,"CACNA1E","calcium channel, voltage-dependent, R type, alpha 1E subunit"
10485213,2.95e-09,8.63e-12,-22.442473,17.5680733,-2.5653589,"CD82","CD82 antigen"
10558134,3e-09,8.92e-12,-22.385346,17.5361928,-3.0840888,"PLEKHA1","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1"
10512067,3.01e-09,9.05e-12,-22.358816,17.5213565,-2.2814295,"DDX58","DEAD (Asp-Glu-Ala-Asp) box polypeptide 58"
10368675,3.07e-09,9.5e-12,22.274968,17.4743373,2.8051113,"MARCKS","myristoylated alanine rich protein kinase C substrate"
10360370,3.19e-09,1.01e-11,-22.159727,17.4093913,-4.7693944,"BC094916","cDNA sequence BC094916"
10432640,3.19e-09,1.02e-11,-22.144066,17.4005366,-2.2919698,"BIN2","bridging integrator 2"
10363231,3.34e-09,1.11e-11,-21.998728,17.3180287,-2.4945861,"SMPDL3A","sphingomyelin phosphodiesterase, acid-like 3A"
10549802,3.54e-09,1.19e-11,-21.876241,17.248023,-2.4991985,"RPS18","ribosomal protein S18"
10383214,3.55e-09,1.21e-11,-21.851935,17.2340798,-2.8355375,"RNF213","ring finger protein 213"
10376060,3.56e-09,1.23e-11,-21.825803,17.2190697,-2.4617859,"IRF1","interferon regulatory factor 1"
10366886,3.61e-09,1.27e-11,-21.764478,17.1837675,-2.090002,"ARHGAP9","Rho GTPase activating protein 9"
10489107,3.71e-09,1.33e-11,-21.687371,17.1392246,-5.1501095,"SAMHD1","SAM domain and HD domain, 1"
10444068,3.81e-09,1.39e-11,-21.614571,17.0970087,-2.3970092,"TAPBP","TAP binding protein"
10359118,3.91e-09,1.47e-11,21.51683,17.0400842,4.1096269,"TDRD5","tudor domain containing 5"
10485388,3.95e-09,1.51e-11,21.478497,17.0176814,3.2234654,"LDLRAD3","low density lipoprotein receptor class A domain containing 3"
10373569,4.25e-09,1.66e-11,-21.319913,16.9245316,-2.0929148,"RPSA","ribosomal protein SA"
10357043,4.37e-09,1.72e-11,-21.256599,16.8871304,-2.9169527,"BCL2","B cell leukemia"
10375083,4.46e-09,1.77e-11,-21.206209,16.8572762,-2.1331177,"STK10","serine"
10556528,4.81e-09,1.96e-11,-21.040738,16.7586935,-2.7976229,"PDE3B","phosphodiesterase 3B, cGMP-inhibited"
10444752,4.81e-09,2e-11,-21.007838,16.7389916,-2.0830701,"LTB","lymphotoxin B"
10462618,4.81e-09,2.01e-11,-20.998948,16.7336623,-3.1614432,"IFIT3","interferon-induced protein with tetratricopeptide repeats 3"
10393573,5.1e-09,2.15e-11,-20.885778,16.6656041,-2.8769576,"LGALS3BP","lectin, galactoside-binding, soluble, 3 binding protein"
10501046,5.14e-09,2.2e-11,-20.84842,16.6430492,-4.0794176,"GM10673","predicted gene 10673"
10389738,5.17e-09,2.24e-11,20.817342,16.6242529,2.5122663,"DGKE","diacylglycerol kinase, epsilon"
10472860,5.17e-09,2.26e-11,-20.801821,16.6148542,-2.7678452,"RAPGEF4","Rap guanine nucleotide exchange factor (GEF) 4"
