"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10467508"	"2.77e-13"	"1.11e-17"	"20.3851865"	"29.859461"	"4.95870606"	"Blnk"	"B cell linker"
"10350341"	"9.55e-13"	"7.66e-17"	"-18.8565993"	"28.104855"	"-3.2857331"	"Mir181b-1"	"microRNA 181b-1"
"10407390"	"1.79e-12"	"2.15e-16"	"-18.0797596"	"27.153152"	"-2.20519038"	"Ptbp1"	"polypyrimidine tract binding protein 1"
"10399973"	"1.82e-12"	"2.92e-16"	"17.8562654"	"26.871352"	"1.58227736"	"Hdac9"	"histone deacetylase 9"
"10386388"	"2.62e-12"	"5.25e-16"	"-17.4325738"	"26.326937"	"-1.35235375"	"Snap47"	"synaptosomal-associated protein, 47"
"10601416"	"4.10e-12"	"9.88e-16"	"-16.9848161"	"25.736666"	"-3.34401953"	"P2ry10"	"purinergic receptor P2Y, G-protein coupled 10"
"10403054"	"4.50e-12"	"1.26e-15"	"16.8130079"	"25.505984"	"2.06382116"	""	""
"10403060"	"5.12e-12"	"1.64e-15"	"16.6313058"	"25.259434"	"2.5194579"	"Ighv1-53///Ighv1-62///Ighv1-72///LOC382693///Ighm///Ighv1-53///Ighv1-62///Ighv1-72///LOC382693///V165-D-J-C mu///Igha///Igh-VJ558"	"immunoglobulin heavy variable 1-53///immunoglobulin heavy variable V1-62///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///immunoglobulin heavy constant mu///immunoglobulin heavy variable 1-53///immunoglobulin heavy variable V1-62///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///IgM variable region///immunoglobulin heavy constant alpha///immunoglobulin heavy chain (J558 family)"
"10364696"	"7.60e-12"	"2.86e-15"	"-16.2546575"	"24.739732"	"-1.74484698"	"Atp5d"	"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
"10403028"	"7.60e-12"	"3.05e-15"	"16.2110401"	"24.678784"	"2.47235589"	"Ighv1-53///Ighv1-72///LOC382693///Ighm///Ighv1-53///Ighv1-62///Ighv1-72///LOC382693///V165-D-J-C mu///Igha///Igh-VJ558"	"immunoglobulin heavy variable 1-53///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///immunoglobulin heavy constant mu///immunoglobulin heavy variable 1-53///immunoglobulin heavy variable V1-62///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///IgM variable region///immunoglobulin heavy constant alpha///immunoglobulin heavy chain (J558 family)"
"10385776"	"7.81e-12"	"3.45e-15"	"-16.1287815"	"24.563402"	"-4.39334116"	"Tcf7"	"transcription factor 7, T cell specific"
"10403018"	"1.33e-11"	"6.87e-15"	"15.6709989"	"23.910659"	"3.48563745"	"Ighg3///Igha///Igh-VJ558///LOC105243590///Ighv1-33///Ighv1-26///Igha///Igh-VJ558"	"Immunoglobulin heavy constant gamma 3///immunoglobulin heavy constant alpha///immunoglobulin heavy chain (J558 family)///Ig heavy chain Mem5-like///immunoglobulin heavy variable 1-33///immunoglobulin heavy variable 1-26///immunoglobulin heavy constant alpha///immunoglobulin heavy chain (J558 family)"
"10394471"	"1.33e-11"	"6.94e-15"	"15.6644021"	"23.901119"	"1.68846505"	"Sdc1"	"syndecan 1"
"10550237"	"4.09e-11"	"2.30e-14"	"-14.8967033"	"22.764072"	"-1.21390001"	"Napa"	"N-ethylmaleimide sensitive fusion protein attachment protein alpha"
"10589004"	"9.84e-11"	"5.92e-14"	"-14.3105624"	"21.858721"	"-1.224783"	"Qars"	"glutaminyl-tRNA synthetase"
"10479981"	"1.17e-10"	"7.52e-14"	"-14.165373"	"21.629273"	"-3.57878252"	"Gata3"	"GATA binding protein 3"
