"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10390707"	"1.20e-09"	"4.83e-14"	"-25.244212"	"21.53505"	"-3.6539719"	"Top2a"	"topoisomerase (DNA) II alpha"
"10462796"	"1.25e-08"	"2.28e-12"	"-19.554329"	"18.31446"	"-3.2004647"	"Kif11"	"kinesin family member 11"
"10463355"	"1.25e-08"	"2.36e-12"	"-19.510302"	"18.28485"	"-2.0639634"	"Scd2"	"stearoyl-Coenzyme A desaturase 2"
"10497831"	"1.25e-08"	"2.37e-12"	"-19.506899"	"18.28256"	"-3.5622043"	"Ccna2"	"cyclin A2"
"10487480"	"1.25e-08"	"2.51e-12"	"-19.434146"	"18.23344"	"-2.6815306"	"Bub1"	"BUB1, mitotic checkpoint serine/threonine kinase"
"10408200"	"1.80e-08"	"5.29e-12"	"-18.48701"	"17.57235"	"-2.6975692"	"Hist1h4f"	"histone cluster 1, H4f"
"10403955"	"1.80e-08"	"5.92e-12"	"-18.347247"	"17.47129"	"-1.6866255"	"Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d"	"histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d"
"10408085"	"1.80e-08"	"6.74e-12"	"-18.188934"	"17.35567"	"-1.70026"	"Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d"	"histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d"
"10408111"	"1.80e-08"	"6.81e-12"	"-18.176381"	"17.34645"	"-1.6764023"	"Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d"	"histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d"
"10404026"	"1.80e-08"	"7.22e-12"	"-18.104855"	"17.29377"	"-1.65614"	"Hist1h2al///Hist1h2ao///Hist2h2ab///Hist2h2aa2///Hist1h2ai///Hist2h2ac///Hist1h2af///Hist1h2ab///Hist1h2ap///Hist1h2an///Hist1h2ak///Hist1h2ah///Hist1h2ag///Hist1h2ae///Hist1h2ad///Hist1h2ac///Hist1h2aa///Hist3h2a///H2afj///H2afx///Hist2h2aa1///Hist1h3d"	"histone cluster 1, H2al///histone cluster 1, H2ao///histone cluster 2, H2ab///histone cluster 2, H2aa2///histone cluster 1, H2ai///histone cluster 2, H2ac///histone cluster 1, H2af///histone cluster 1, H2ab///histone cluster 1, H2ap///histone cluster 1, H2an///histone cluster 1, H2ak///histone cluster 1, H2ah///histone cluster 1, H2ag///histone cluster 1, H2ae///histone cluster 1, H2ad///histone cluster 1, H2ac///histone cluster 1, H2aa///histone cluster 3, H2a///H2A histone family, member J///H2A histone family, member X///histone cluster 2, H2aa1///histone cluster 1, H3d"
