"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10593015"	"1.07e-11"	"4.84e-16"	"-49.66059"	"25.666289"	"-7.65348672"	"Cd3g"	"CD3 antigen, gamma polypeptide"
"10590620"	"1.07e-11"	"8.56e-16"	"-47.4882519"	"25.27576"	"-6.73947917"	"Ccr9"	"chemokine (C-C motif) receptor 9"
"10538979"	"7.50e-11"	"9.02e-15"	"-39.4723123"	"23.535385"	"-6.08794001"	"Cd8b1"	"CD8 antigen, beta chain 1"
"10538993"	"1.01e-10"	"2.26e-14"	"-36.7233817"	"22.80524"	"-6.53360178"	"Cd8a"	"CD8 antigen, alpha chain"
"10385428"	"1.01e-10"	"2.28e-14"	"-36.7000305"	"22.798691"	"-5.24145096"	"Itk"	"IL2 inducible T cell kinase"
"10362350"	"1.01e-10"	"2.94e-14"	"-35.9681075"	"22.590253"	"-6.48421912"	"Themis"	"thymocyte selection associated"
"10385776"	"1.01e-10"	"3.14e-14"	"-35.7817897"	"22.536202"	"-6.04564319"	"Tcf7"	"transcription factor 7, T cell specific"
"10415015"	"1.01e-10"	"3.24e-14"	"-35.6992672"	"22.512131"	"-4.61526795"	"Trav7-4///Trav3n-3///Trav3-3"	"T cell receptor alpha variable 7-4///T cell receptor alpha variable 3N-3///T cell receptor alpha variable 3-3"
"10454632"	"1.77e-10"	"6.40e-14"	"-33.8343934"	"21.945894"	"-5.5653783"	"Camk4"	"calcium/calmodulin-dependent protein kinase IV"
"10498024"	"2.11e-10"	"8.46e-14"	"-33.0955993"	"21.709173"	"-4.45190882"	"Slc7a11"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11"
"10427628"	"2.51e-10"	"1.22e-13"	"32.148533"	"21.394721"	"5.72563792"	"Il7r"	"interleukin 7 receptor"
"10375360"	"2.51e-10"	"1.24e-13"	"32.1151622"	"21.383408"	"6.72775242"	"Ebf1"	"early B cell factor 1"
"10418868"	"2.51e-10"	"1.31e-13"	"31.9704576"	"21.334165"	"5.61503856"	"Wdfy4"	"WD repeat and FYVE domain containing 4"
"10593024"	"2.74e-10"	"1.54e-13"	"-31.567035"	"21.195253"	"-4.83419668"	"Cd3e"	"CD3 antigen, epsilon polypeptide"
"10585276"	"3.21e-10"	"1.98e-13"	"30.950471"	"20.978215"	"5.65553682"	"Pou2af1"	"POU domain, class 2, associating factor 1"
"10530516"	"3.21e-10"	"2.06e-13"	"-30.8474405"	"20.941376"	"-3.97824686"	"Txk"	"TXK tyrosine kinase"
"10494023"	"3.29e-10"	"2.33e-13"	"-30.5536712"	"20.835423"	"-5.37466606"	"Rorc"	"RAR-related orphan receptor gamma"
"10382532"	"3.29e-10"	"2.51e-13"	"-30.3778956"	"20.771371"	"-4.03576892"	"Slc16a5"	"solute carrier family 16 (monocarboxylic acid transporters), member 5"
"10346783"	"3.29e-10"	"2.62e-13"	"-30.2725235"	"20.732735"	"-4.75585518"	"Cd28"	"CD28 antigen"
