"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10450154"	"6.63e-12"	"2.66e-16"	"-59.4518963"	"26.439581"	"-8.0428332"	"H2-Aa"	"histocompatibility 2, class II antigen A, alpha"
"10456005"	"9.05e-12"	"7.26e-16"	"-54.7028164"	"25.741422"	"-7.7562897"	"Cd74"	"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)"
"10538871"	"1.72e-11"	"2.07e-15"	"-50.1504793"	"24.97034"	"-6.7153007"	"Igkv1-133///Igkv1-135"	"immunoglobulin kappa variable 1-133///immunoglobulin kappa variable 1-135"
"10361292"	"2.29e-11"	"3.70e-15"	"-47.7875548"	"24.52432"	"-7.3656398"	"Cr2"	"complement receptor 2"
"10385776"	"2.29e-11"	"5.00e-15"	"46.6085879"	"24.288726"	"5.7333968"	"Tcf7"	"transcription factor 7, T cell specific"
"10512669"	"2.29e-11"	"5.85e-15"	"-46.006565"	"24.16487"	"-6.0893551"	"Pax5"	"paired box 5"
"10396402"	"2.29e-11"	"7.47e-15"	"45.0813852"	"23.969664"	"6.0931847"	"Prkch"	"protein kinase C, eta"
"10502335"	"2.29e-11"	"7.47e-15"	"-45.0801509"	"23.969399"	"-6.9003154"	"Bank1"	"B cell scaffold protein with ankyrin repeats 1"
"10467508"	"2.29e-11"	"8.28e-15"	"-44.6956736"	"23.886491"	"-5.4231436"	"Blnk"	"B cell linker"
"10444291"	"2.37e-11"	"1.06e-14"	"-43.7711605"	"23.682701"	"-7.4968731"	"H2-Ab1"	"histocompatibility 2, class II antigen A, beta 1"
"10593015"	"2.37e-11"	"1.15e-14"	"43.4771407"	"23.616548"	"7.400628"	"Cd3g"	"CD3 antigen, gamma polypeptide"
"10403043"	"2.37e-11"	"1.19e-14"	"-43.3731621"	"23.592995"	"-5.1960324"	"Ighv1-72///V165-D-J-C mu///Igh-VJ558///Ighm///Ighv1-53///Ighv1-62///Ighv1-72///LOC382693///V165-D-J-C mu///Igha///Igh-VJ558"	"immunoglobulin heavy variable 1-72///IgM variable region///immunoglobulin heavy chain (J558 family)///immunoglobulin heavy constant mu///immunoglobulin heavy variable 1-53///immunoglobulin heavy variable V1-62///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///IgM variable region///immunoglobulin heavy constant alpha///immunoglobulin heavy chain (J558 family)"
"10467979"	"2.37e-11"	"1.26e-14"	"-43.1675881"	"23.546184"	"-7.1365802"	"Scd1"	"stearoyl-Coenzyme A desaturase 1"
"10403048"	"2.37e-11"	"1.33e-14"	"-42.9586172"	"23.498263"	"-5.5265397"	"Ighv1-53///Ighv1-62///Ighv1-72///LOC382693///V165-D-J-C mu///Igh-VJ558///Ighm///Ighv1-53///Ighv1-62///Ighv1-72///LOC382693///V165-D-J-C mu///Igha///Ighv1-2///Igh-VJ558///Ighm"	"immunoglobulin heavy variable 1-53///immunoglobulin heavy variable V1-62///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///IgM variable region///immunoglobulin heavy chain (J558 family)///immunoglobulin heavy constant mu///immunoglobulin heavy variable 1-53///immunoglobulin heavy variable V1-62///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///IgM variable region///immunoglobulin heavy constant alpha///immunoglobulin heavy variable 1-2///immunoglobulin heavy chain (J558 family)///immunoglobulin heavy constant mu"
"10545175"	"2.96e-11"	"1.78e-14"	"-41.941528"	"23.260069"	"-6.4284447"	"Igkv10-96///Igkj1///Igkv10-96"	"immunoglobulin kappa variable 10-96///immunoglobulin kappa joining 1///immunoglobulin kappa variable 10-96"
"10545247"	"4.35e-11"	"2.86e-14"	"-40.3152808"	"22.86137"	"-6.9698333"	"Igkv6-14///Igkv6-14///Igkv6-15"	"immunoglobulin kappa variable 6-14///immunoglobulin kappa variable 6-14///immunoglobulin kappa variable 6-15"
"10496091"	"4.35e-11"	"2.97e-14"	"40.1935345"	"22.8306"	"4.9906959"	"Lef1"	"lymphoid enhancer binding factor 1"
"10403060"	"5.18e-11"	"3.90e-14"	"-39.2878432"	"22.597492"	"-4.7804297"	"Ighv1-53///Ighv1-62///Ighv1-72///LOC382693///Ighm///Ighv1-53///Ighv1-62///Ighv1-72///LOC382693///V165-D-J-C mu///Igha///Igh-VJ558"	"immunoglobulin heavy variable 1-53///immunoglobulin heavy variable V1-62///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///immunoglobulin heavy constant mu///immunoglobulin heavy variable 1-53///immunoglobulin heavy variable V1-62///immunoglobulin heavy variable 1-72///immunoglobulin heavy chain-like///IgM variable region///immunoglobulin heavy constant alpha///immunoglobulin heavy chain (J558 family)"
"10426315"	"5.18e-11"	"3.95e-14"	"-39.2486789"	"22.587241"	"-5.8549444"	"Lrrk2"	"leucine-rich repeat kinase 2"
