"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10357833"	"3.65e-08"	"1.47e-12"	"17.603278"	"18.07426"	"4.1338201"	"Atp2b4"	"ATPase, Ca++ transporting, plasma membrane 4"
"10597323"	"1.44e-07"	"1.15e-11"	"15.531862"	"16.37001"	"2.6809873"	"Arpp21"	"cyclic AMP-regulated phosphoprotein, 21"
"10542355"	"2.77e-07"	"3.33e-11"	"14.552757"	"15.46243"	"2.2780106"	"Emp1"	"epithelial membrane protein 1"
"10371220"	"3.15e-07"	"5.05e-11"	"14.18268"	"15.10032"	"2.1038028"	"Gna15"	"guanine nucleotide binding protein, alpha 15"
"10463123"	"6.87e-07"	"1.38e-10"	"13.323865"	"14.21656"	"4.7381998"	"Dntt"	"deoxynucleotidyltransferase, terminal"
"10544596"	"8.56e-07"	"2.06e-10"	"12.99205"	"13.85796"	"3.018182"	"Tmem176b"	"transmembrane protein 176B"
"10522530"	"9.58e-07"	"2.69e-10"	"12.775673"	"13.61873"	"3.3584126"	"Kit"	"kit oncogene"
"10346168"	"1.08e-06"	"3.62e-10"	"12.538822"	"13.35183"	"2.1426369"	"Stat4"	"signal transducer and activator of transcription 4"
"10468898"	"1.08e-06"	"4.10e-10"	"12.439882"	"13.23875"	"2.0260459"	"Lax1"	"lymphocyte transmembrane adaptor 1"
"10456492"	"1.08e-06"	"4.61e-10"	"12.348854"	"13.13389"	"1.4845909"	"Ldlrad4"	"low density lipoprotein receptor class A domain containing 4"
"10593492"	"1.08e-06"	"5.13e-10"	"12.264563"	"13.03606"	"1.7065381"	"Zc3h12c"	"zinc finger CCCH type containing 12C"
"10514520"	"1.08e-06"	"5.18e-10"	"12.257722"	"13.02809"	"1.7877663"	"Cyp2j9"	"cytochrome P450, family 2, subfamily j, polypeptide 9"
"10496569"	"1.15e-06"	"6.00e-10"	"12.142865"	"12.89358"	"2.3138752"	"Gbp7"	"guanylate binding protein 7"
"10550877"	"1.40e-06"	"7.89e-10"	"11.93305"	"12.64446"	"1.9396255"	"Kcnn4"	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4"
"10535732"	"2.31e-06"	"1.39e-09"	"-11.507153"	"12.12487"	"-2.2876643"	"Gpr12"	"G-protein coupled receptor 12"
"10574288"	"2.43e-06"	"1.56e-09"	"11.422"	"12.0187"	"2.2448308"	"Drc7"	"dynein regulatory complex subunit 7"
"10542275"	"4.01e-06"	"2.80e-09"	"10.997286"	"11.47737"	"1.9590713"	"Etv6"	"ets variant 6"
"10570516"	"4.01e-06"	"2.94e-09"	"10.96223"	"11.4318"	"1.8720984"	"Kbtbd11"	"kelch repeat and BTB (POZ) domain containing 11"
"10360028"	"4.01e-06"	"3.06e-09"	"-10.935725"	"11.39725"	"-1.4015606"	"Fcgr2b"	"Fc receptor, IgG, low affinity IIb"
"10465895"	"4.88e-06"	"3.91e-09"	"10.760964"	"11.16746"	"2.0741401"	"Fads2"	"fatty acid desaturase 2"
"10381096"	"5.75e-06"	"4.95e-09"	"10.595915"	"10.94723"	"2.5916866"	"Igfbp4"	"insulin-like growth factor binding protein 4"
"10494978"	"5.75e-06"	"5.07e-09"	"10.579599"	"10.92529"	"2.0855803"	"Ptpn22"	"protein tyrosine phosphatase, non-receptor type 22 (lymphoid)"
"10385518"	"6.58e-06"	"6.07e-09"	"10.454969"	"10.75664"	"2.44688"	"Tgtp2///Tgtp1"	"T cell specific GTPase 2///T cell specific GTPase 1"
"10491952"	"6.92e-06"	"6.72e-09"	"10.385913"	"10.66241"	"2.0130348"	"Mgst2"	"microsomal glutathione S-transferase 2"
"10404380"	"6.92e-06"	"6.94e-09"	"-10.363173"	"10.63126"	"-1.0880627"	"Dusp22"	"dual specificity phosphatase 22"
"10367600"	"8.54e-06"	"8.91e-09"	"10.193587"	"10.39696"	"1.5742745"	"Esr1"	"estrogen receptor 1 (alpha)"
"10607848"	"1.06e-05"	"1.15e-08"	"-10.019928"	"10.15342"	"-2.7977006"	"Egfl6"	"EGF-like-domain, multiple 6"
"10346764"	"1.06e-05"	"1.31e-08"	"9.933994"	"10.03154"	"1.618881"	"Abi2"	"abl-interactor 2"
"10433507"	"1.06e-05"	"1.36e-08"	"-9.911407"	"9.99935"	"-1.1136227"	"Ciita"	"class II transactivator"
"10463632"	"1.06e-05"	"1.39e-08"	"9.896535"	"9.97812"	"1.254061"	"Tmem180"	"transmembrane protein 180"
"10367945"	"1.06e-05"	"1.41e-08"	"9.887756"	"9.96558"	"2.0144962"	"Phactr2"	"phosphatase and actin regulator 2"
"10396402"	"1.06e-05"	"1.42e-08"	"9.882316"	"9.9578"	"2.1757552"	"Prkch"	"protein kinase C, eta"
"10481845"	"1.06e-05"	"1.43e-08"	"9.879262"	"9.95343"	"1.9778141"	"Mvb12b"	"multivesicular body subunit 12B"
"10538135"	"1.06e-05"	"1.45e-08"	"9.867191"	"9.93616"	"1.9203297"	"Gimap7"	"GTPase, IMAP family member 7"
"10403015"	"1.17e-05"	"1.64e-08"	"-9.786824"	"9.82067"	"-1.8853964"	"Ighg3///Igha///LOC105243590///Ighv1-33///Ighv1-26///Igh-VJ558"	"Immunoglobulin heavy constant gamma 3///immunoglobulin heavy constant alpha///Ig heavy chain Mem5-like///immunoglobulin heavy variable 1-33///immunoglobulin heavy variable 1-26///immunoglobulin heavy chain (J558 family)"
"10472097"	"1.20e-05"	"1.73e-08"	"9.751159"	"9.76915"	"2.0022264"	"Fmnl2"	"formin-like 2"
"10408937"	"1.25e-05"	"1.85e-08"	"9.707484"	"9.70585"	"1.1753114"	"Atxn1"	"ataxin 1"
