"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10495035"	"5.19e-08"	"2.27e-12"	"-20.704416"	"17.904913"	"-3.9139107"	"Slc16a1"	"solute carrier family 16 (monocarboxylic acid transporters), member 1"
"10592535"	"5.19e-08"	"4.17e-12"	"19.848771"	"17.414266"	"2.7066331"	"Sorl1"	"sortilin-related receptor, LDLR class A repeats-containing"
"10443506"	"7.83e-08"	"1.01e-11"	"18.660938"	"16.682892"	"2.630699"	"Fgd2"	"FYVE, RhoGEF and PH domain containing 2"
"10523012"	"7.83e-08"	"1.26e-11"	"-18.375616"	"16.497884"	"-2.013346"	"Dck"	"deoxycytidine kinase"
"10404840"	"1.00e-07"	"2.32e-11"	"17.600526"	"15.975761"	"2.4474622"	"Cd83"	"CD83 antigen"
"10535282"	"1.00e-07"	"2.42e-11"	"17.550107"	"15.940773"	"2.1076494"	"Card11"	"caspase recruitment domain family, member 11"
"10531370"	"1.92e-07"	"5.40e-11"	"16.58422"	"15.244918"	"1.7413686"	"Naaa"	"N-acylethanolamine acid amidase"
"10495781"	"2.49e-07"	"8.16e-11"	"16.106073"	"14.881565"	"2.4760919"	"Bcar3"	"breast cancer anti-estrogen resistance 3"
"10562132"	"2.49e-07"	"8.97e-11"	"15.997726"	"14.797402"	"1.9122846"	"Cd22"	"CD22 antigen"
"10372028"	"2.57e-07"	"1.11e-10"	"15.762117"	"14.611989"	"2.3869141"	"Plxnc1"	"plexin C1"
"10502058"	"2.57e-07"	"1.13e-10"	"-15.734036"	"14.58967"	"-1.5033886"	"Ap1ar"	"adaptor-related protein complex 1 associated regulatory protein"
"10533603"	"4.81e-07"	"2.31e-10"	"14.954278"	"13.950366"	"2.1478068"	"Rhof"	"ras homolog family member F (in filopodia)"
"10371321"	"6.23e-07"	"3.25e-10"	"14.594922"	"13.642539"	"1.9176017"	"Slc41a2"	"solute carrier family 41, member 2"
"10372503"	"6.54e-07"	"3.67e-10"	"-14.467513"	"13.531311"	"-3.5875654"	"Lgr5"	"leucine rich repeat containing G protein coupled receptor 5"
"10513320"	"7.19e-07"	"4.58e-10"	"-14.240862"	"13.330676"	"-3.3202285"	"Ptgr1"	"prostaglandin reductase 1"
"10534303"	"7.19e-07"	"4.63e-10"	"14.22853"	"13.319657"	"2.2046234"	"Lat2"	"linker for activation of T cells family, member 2"
"10430804"	"7.19e-07"	"4.90e-10"	"-14.170567"	"13.267719"	"-1.7612599"	"Desi1"	"desumoylating isopeptidase 1"
"10605143"	"9.97e-07"	"7.35e-10"	"13.76283"	"12.895546"	"1.322218"	"Arhgap4"	"Rho GTPase activating protein 4"
"10444236"	"9.97e-07"	"7.68e-10"	"13.719557"	"12.855333"	"4.039095"	"H2-DMb2///H2-DMb1"	"histocompatibility 2, class II, locus Mb2///histocompatibility 2, class II, locus Mb1"
"10379615"	"9.97e-07"	"8.00e-10"	"13.678832"	"12.817361"	"2.3032464"	"Slfn5"	"schlafen 5"
"10588007"	"1.06e-06"	"8.91e-10"	"-13.572188"	"12.717338"	"-1.7020717"	"Tfdp2"	"transcription factor Dp 2"
"10592888"	"1.14e-06"	"1.01e-09"	"13.449454"	"12.601159"	"4.0535556"	"Cxcr5"	"chemokine (C-X-C motif) receptor 5"
"10465132"	"1.34e-06"	"1.24e-09"	"13.251624"	"12.41146"	"1.2076929"	"Sipa1"	"signal-induced proliferation associated gene 1"
"10509965"	"1.34e-06"	"1.31e-09"	"-13.198645"	"12.360141"	"-2.4069977"	"Epha2"	"Eph receptor A2"
"10412394"	"1.34e-06"	"1.34e-09"	"-13.175883"	"12.338024"	"-1.780843"	"Nnt"	"nicotinamide nucleotide transhydrogenase"
"10380793"	"1.47e-06"	"1.53e-09"	"13.050085"	"12.215054"	"1.4670052"	"Mllt6"	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6"
"10397966"	"1.56e-06"	"1.69e-09"	"-12.955206"	"12.121472"	"-2.4279904"	"Otub2"	"OTU domain, ubiquitin aldehyde binding 2"
"10425880"	"1.64e-06"	"1.84e-09"	"12.876046"	"12.042836"	"2.016141"	"Prr5"	"proline rich 5 (renal)"
"10383479"	"2.38e-06"	"2.77e-09"	"-12.497726"	"11.6599"	"-1.6131525"	"Hmga1-rs1///Hmga1"	"high mobility group AT-hook I, related sequence 1///high mobility group AT-hook 1"
"10557591"	"2.68e-06"	"3.27e-09"	"12.343913"	"11.500762"	"1.8812646"	"Itgal"	"integrin alpha L"
"10425092"	"2.68e-06"	"3.33e-09"	"12.32823"	"11.484422"	"2.5656818"	"Cyth4"	"cytohesin 4"
"10571344"	"2.71e-06"	"3.49e-09"	"12.286836"	"11.441191"	"1.3196493"	"D8Ertd82e"	"DNA segment, Chr 8, ERATO Doi 82, expressed"
"10539135"	"2.71e-06"	"3.59e-09"	"12.26075"	"11.413871"	"2.3007379"	"Capg"	"capping protein (actin filament), gelsolin-like"
"10530145"	"2.73e-06"	"3.72e-09"	"12.227969"	"11.379456"	"3.626059"	"Tlr1"	"toll-like receptor 1"
"10432573"	"2.84e-06"	"3.99e-09"	"-12.165481"	"11.313591"	"-1.3325449"	"Slc11a2"	"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 2"
"10555510"	"3.13e-06"	"4.53e-09"	"-12.052194"	"11.193304"	"-1.9396451"	"Pde2a"	"phosphodiesterase 2A, cGMP-stimulated"
"10374727"	"3.13e-06"	"4.75e-09"	"12.010342"	"11.148577"	"1.6082219"	"Bcl11a"	"B cell CLL/lymphoma 11A (zinc finger protein)"
"10527732"	"3.13e-06"	"4.78e-09"	"12.005298"	"11.143176"	"1.5499447"	"Fry"	"FRY microtubule binding protein"
"10439651"	"3.33e-06"	"5.21e-09"	"11.928725"	"11.060902"	"2.6492338"	"Cd200"	"CD200 antigen"
"10512709"	"3.41e-06"	"5.47e-09"	"-11.886361"	"11.015156"	"-1.521421"	"Slc25a51"	"solute carrier family 25, member 51"
"10567626"	"4.23e-06"	"6.96e-09"	"11.676281"	"10.785883"	"1.5537705"	"Gga2"	"golgi associated, gamma adaptin ear containing, ARF binding protein 2"
"10576757"	"4.56e-06"	"7.69e-09"	"11.589837"	"10.690356"	"5.3133178"	"Fcer2a"	"Fc receptor, IgE, low affinity II, alpha polypeptide"
"10534202"	"4.79e-06"	"8.27e-09"	"11.527139"	"10.620632"	"2.727915"	"Ncf1"	"neutrophil cytosolic factor 1"
"10453260"	"4.87e-06"	"8.60e-09"	"11.493391"	"10.582948"	"2.5921335"	"Haao"	"3-hydroxyanthranilate 3,4-dioxygenase"
"10435982"	"4.90e-06"	"8.88e-09"	"11.466438"	"10.552775"	"3.3375538"	"Btla"	"B and T lymphocyte associated"
"10591735"	"4.90e-06"	"9.23e-09"	"-11.433252"	"10.515527"	"-2.1028781"	"Elof1"	"ELF1 homolog, elongation factor 1"
"10360173"	"4.90e-06"	"9.25e-09"	"-11.431981"	"10.514099"	"-2.0595307"	"Slamf7"	"SLAM family member 7"
"10571325"	"4.90e-06"	"9.44e-09"	"11.414149"	"10.494039"	"1.4029259"	"Mfhas1"	"malignant fibrous histiocytoma amplified sequence 1"
"10544815"	"5.02e-06"	"9.99e-09"	"-11.366632"	"10.440438"	"-1.3102827"	"Hibadh"	"3-hydroxyisobutyrate dehydrogenase"
"10425695"	"5.02e-06"	"1.01e-08"	"11.357294"	"10.429879"	"1.331545"	"Srebf2"	"sterol regulatory element binding factor 2"
"10385966"	"5.02e-06"	"1.03e-08"	"11.342422"	"10.413045"	"1.5015062"	"Anxa6"	"annexin A6"
"10596200"	"5.20e-06"	"1.08e-08"	"-11.29669"	"10.361146"	"-2.360342"	"Tmem108"	"transmembrane protein 108"
"10370946"	"5.75e-06"	"1.24e-08"	"11.181551"	"10.229578"	"1.4562681"	"Mob3a"	"MOB kinase activator 3A"
"10359161"	"5.75e-06"	"1.25e-08"	"11.17979"	"10.227556"	"1.5712454"	"Soat1"	"sterol O-acyltransferase 1"
"10575598"	"6.21e-06"	"1.43e-08"	"-11.063179"	"10.092959"	"-1.2255109"	"Znrf1"	"zinc and ring finger 1"
"10552743"	"6.21e-06"	"1.44e-08"	"11.059055"	"10.088174"	"2.6911028"	"Gm21948///Il4i1"	"predicted gene, 21948///interleukin 4 induced 1"
"10360684"	"6.21e-06"	"1.44e-08"	"11.059"	"10.088111"	"2.0308484"	"Ephx1"	"epoxide hydrolase 1, microsomal"
"10559454"	"6.21e-06"	"1.44e-08"	"11.057148"	"10.085962"	"2.5336642"	"Gm15448///Gm10693///Pirb///Pira7///Pira6///Pira4///Lilra6///Pira2///Pira11///Pira1"	"predicted gene 15448///predicted pseudogene 10693///paired Ig-like receptor B///paired-Ig-like receptor A7///paired-Ig-like receptor A6///paired-Ig-like receptor A4///leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6///paired-Ig-like receptor A2///paired-Ig-like receptor A11///paired-Ig-like receptor A1"
"10401238"	"6.71e-06"	"1.59e-08"	"10.97934"	"9.995355"	"1.278559"	"Zfp36l1"	"zinc finger protein 36, C3H type-like 1"
"10363163"	"7.54e-06"	"1.81e-08"	"-10.869891"	"9.866872"	"-1.5914839"	"Asf1a"	"anti-silencing function 1A histone chaperone"
"10359181"	"7.62e-06"	"1.87e-08"	"10.845268"	"9.837801"	"1.1619471"	"Tor3a"	"torsin family 3, member A"
"10603551"	"7.62e-06"	"1.90e-08"	"10.834007"	"9.824484"	"2.3744263"	"Cybb"	"cytochrome b-245, beta polypeptide"
"10401428"	"8.15e-06"	"2.06e-08"	"10.766234"	"9.744067"	"1.3253878"	"Elmsan1"	"ELM2 and Myb/SANT-like domain containing 1"
"10595793"	"8.16e-06"	"2.10e-08"	"-10.752185"	"9.727338"	"-1.4817175"	"Atp1b3"	"ATPase, Na+/K+ transporting, beta 3 polypeptide"
"10388902"	"1.06e-05"	"2.77e-08"	"-10.526929"	"9.456317"	"-1.957284"	"Lgals9"	"lectin, galactose binding, soluble 9"
"10535732"	"1.08e-05"	"2.87e-08"	"-10.499714"	"9.423213"	"-2.1475513"	"Gpr12"	"G-protein coupled receptor 12"
"10426315"	"1.08e-05"	"2.90e-08"	"10.493041"	"9.415085"	"2.8335039"	"Lrrk2"	"leucine-rich repeat kinase 2"
"10526943"	"1.11e-05"	"3.03e-08"	"10.455962"	"9.36983"	"1.2207315"	"Gpr146"	"G protein-coupled receptor 146"
"10559467"	"1.13e-05"	"3.12e-08"	"10.433908"	"9.342844"	"2.9513871"	"Gm15448///Gm10693///Pirb///Pira7///Pira6///Pira4///Lilra6///Pira2///Pira11///Pira1"	"predicted gene 15448///predicted pseudogene 10693///paired Ig-like receptor B///paired-Ig-like receptor A7///paired-Ig-like receptor A6///paired-Ig-like receptor A4///leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6///paired-Ig-like receptor A2///paired-Ig-like receptor A11///paired-Ig-like receptor A1"
"10381082"	"1.13e-05"	"3.23e-08"	"10.405675"	"9.30822"	"2.1463204"	"Rara"	"retinoic acid receptor, alpha"
"10416037"	"1.13e-05"	"3.30e-08"	"-10.39016"	"9.289158"	"-3.1089039"	"Pbk"	"PDZ binding kinase"
"10425632"	"1.13e-05"	"3.31e-08"	"-10.388023"	"9.286531"	"-2.5775454"	"Xrcc6"	"X-ray repair complementing defective repair in Chinese hamster cells 6"
"10462587"	"1.13e-05"	"3.31e-08"	"-10.38786"	"9.28633"	"-1.9853323"	"Stambpl1"	"STAM binding protein like 1"
"10437432"	"1.13e-05"	"3.36e-08"	"-10.376063"	"9.271815"	"-1.3910969"	"Nmral1"	"NmrA-like family domain containing 1"
"10484488"	"1.13e-05"	"3.42e-08"	"-10.360556"	"9.252713"	"-2.6556971"	"P2rx3"	"purinergic receptor P2X, ligand-gated ion channel, 3"
"10467979"	"1.13e-05"	"3.43e-08"	"10.35808"	"9.24966"	"3.0180009"	"Scd1"	"stearoyl-Coenzyme A desaturase 1"
"10457225"	"1.17e-05"	"3.64e-08"	"10.312287"	"9.193088"	"2.1380537"	"Map3k8"	"mitogen-activated protein kinase kinase kinase 8"
"10593198"	"1.17e-05"	"3.71e-08"	"10.297899"	"9.175266"	"1.9012637"	"Nxpe2"	"neurexophilin and PC-esterase domain family, member 2"
"10495794"	"1.17e-05"	"3.76e-08"	"-10.286038"	"9.160558"	"-2.0527591"	"Pde5a"	"phosphodiesterase 5A, cGMP-specific"
"10507032"	"1.17e-05"	"3.78e-08"	"10.282294"	"9.155912"	"1.992333"	"Bend5"	"BEN domain containing 5"
"10555303"	"1.17e-05"	"3.80e-08"	"-10.2783"	"9.150954"	"-1.7748609"	"Pgm2l1"	"phosphoglucomutase 2-like 1"
"10344750"	"1.29e-05"	"4.23e-08"	"10.194932"	"9.047071"	"1.0872477"	"Sgk3"	"serum/glucocorticoid regulated kinase 3"
"10585068"	"1.40e-05"	"4.65e-08"	"10.120792"	"8.954048"	"2.131705"	"Nxpe4"	"neurexophilin and PC-esterase domain family, member 4"
"10556280"	"1.41e-05"	"4.75e-08"	"10.105227"	"8.934441"	"1.7875307"	"Swap70"	"SWA-70 protein"
"10386402"	"1.42e-05"	"4.83e-08"	"-10.092382"	"8.918242"	"-1.0608243"	"Zkscan17"	"zinc finger with KRAB and SCAN domains 17"
"10540795"	"1.42e-05"	"4.91e-08"	"10.07908"	"8.901446"	"2.018349"	"Irak2"	"interleukin-1 receptor-associated kinase 2"
"10345580"	"1.42e-05"	"5.07e-08"	"10.054348"	"8.870166"	"1.0688863"	"Inpp4a"	"inositol polyphosphate-4-phosphatase, type I"
"10574259"	"1.42e-05"	"5.10e-08"	"-10.049512"	"8.864041"	"-2.2789372"	"Adgrg1"	"adhesion G protein-coupled receptor G1"
"10347933"	"1.42e-05"	"5.11e-08"	"10.049422"	"8.863928"	"1.6973049"	"LOC101055672///C130026I21Rik///Sp140///A530032D15Rik"	"nuclear body protein SP140-like///RIKEN cDNA C130026I21 gene///Sp140 nuclear body protein///RIKEN cDNA A530032D15Rik gene"
"10513268"	"1.42e-05"	"5.12e-08"	"-10.047751"	"8.86181"	"-1.1190857"	"AI314180"	"expressed sequence AI314180"
"10450501"	"1.44e-05"	"5.27e-08"	"10.02484"	"8.832757"	"1.2783009"	"Tnf"	"tumor necrosis factor"
"10559446"	"1.44e-05"	"5.31e-08"	"10.018647"	"8.824894"	"2.1283757"	"Pirb"	"paired Ig-like receptor B"
"10427628"	"1.60e-05"	"5.96e-08"	"-9.930831"	"8.712927"	"-4.6283256"	"Il7r"	"interleukin 7 receptor"
"10364593"	"1.62e-05"	"6.11e-08"	"9.912513"	"8.689462"	"1.8987591"	"Cnn2"	"calponin 2"
"10354588"	"1.64e-05"	"6.24e-08"	"9.895418"	"8.66753"	"1.4700209"	"Stk17b"	"serine/threonine kinase 17b (apoptosis-inducing)"
"10571870"	"1.64e-05"	"6.30e-08"	"-9.888625"	"8.658805"	"-2.6999184"	"Hmgb2"	"high mobility group box 2"
"10371770"	"1.64e-05"	"6.39e-08"	"-9.878349"	"8.645599"	"-2.6925303"	"Gas2l3"	"growth arrest-specific 2 like 3"
"10540408"	"1.68e-05"	"6.65e-08"	"9.847997"	"8.606518"	"1.44065"	"Itpr1"	"inositol 1,4,5-trisphosphate receptor 1"
"10404069"	"1.68e-05"	"6.71e-08"	"-9.84048"	"8.596822"	"-3.8089654"	"Hist1h1a"	"histone cluster 1, H1a"
"10358224"	"1.68e-05"	"6.73e-08"	"9.838198"	"8.593879"	"1.2992277"	"Ptprc"	"protein tyrosine phosphatase, receptor type, C"
"10517165"	"1.71e-05"	"6.94e-08"	"9.815624"	"8.56472"	"1.9878999"	"Cd52"	"CD52 antigen"
"10582778"	"1.71e-05"	"6.99e-08"	"-9.81038"	"8.557937"	"-1.9397338"	"Tarbp1"	"TAR RNA binding protein 1"
"10587241"	"1.71e-05"	"7.06e-08"	"-9.802557"	"8.547814"	"-1.7251315"	"Hmgcll1"	"3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1"
"10406928"	"1.74e-05"	"7.35e-08"	"9.771706"	"8.507824"	"1.8639564"	"Cd180"	"CD180 antigen"
"10392970"	"1.74e-05"	"7.40e-08"	"9.767158"	"8.50192"	"1.8051849"	"Mif4gd"	"MIF4G domain containing"
"10425370"	"1.74e-05"	"7.40e-08"	"9.766727"	"8.50136"	"2.6674328"	"Cacna1i"	"calcium channel, voltage-dependent, alpha 1I subunit"
"10464647"	"1.77e-05"	"7.61e-08"	"9.745902"	"8.474292"	"1.7412501"	"Tbc1d10c///Tbc1d10c"	"TBC1 domain family, member 10c///TBC1 domain family, member 10c"
"10436106"	"1.81e-05"	"7.89e-08"	"-9.718553"	"8.438669"	"-3.539473"	"C330027C09Rik"	"RIKEN cDNA C330027C09 gene"
"10363210"	"1.81e-05"	"7.93e-08"	"9.715225"	"8.434329"	"1.3334826"	"Pkib"	"protein kinase inhibitor beta, cAMP dependent, testis specific"
"10423024"	"1.85e-05"	"8.23e-08"	"-9.687048"	"8.397527"	"-2.1167802"	"Capsl"	"calcyphosine-like"
"10384145"	"1.85e-05"	"8.24e-08"	"-9.685988"	"8.396141"	"-1.8104175"	"H2afv"	"H2A histone family, member V"
"10573082"	"1.85e-05"	"8.31e-08"	"9.680232"	"8.388611"	"1.959792"	"Inpp4b"	"inositol polyphosphate-4-phosphatase, type II"
"10584710"	"1.93e-05"	"8.74e-08"	"-9.642279"	"8.338865"	"-2.6718243"	"H2afx"	"H2A histone family, member X"
"10520521"	"1.94e-05"	"8.85e-08"	"-9.632734"	"8.326328"	"-1.614513"	"Cenpa"	"centromere protein A"
"10416340"	"2.00e-05"	"9.21e-08"	"-9.603027"	"8.287241"	"-2.1280799"	"Gfra2"	"glial cell line derived neurotrophic factor family receptor alpha 2"
"10532767"	"2.00e-05"	"9.32e-08"	"9.59421"	"8.27562"	"1.7614457"	"Ssh1"	"slingshot homolog 1 (Drosophila)"
"10494407"	"2.04e-05"	"9.58e-08"	"-9.573915"	"8.248836"	"-3.1742405"	"Hist2h2bb"	"histone cluster 2, H2bb"
"10468533"	"2.04e-05"	"9.66e-08"	"-9.567875"	"8.240856"	"-2.7556095"	"Gpam"	"glycerol-3-phosphate acyltransferase, mitochondrial"
"10535894"	"2.06e-05"	"9.86e-08"	"-9.552704"	"8.220792"	"-1.9136917"	"Hmgb1"	"high mobility group box 1"
"10486833"	"2.07e-05"	"9.99e-08"	"9.543135"	"8.208124"	"1.4616049"	"Ell3"	"elongation factor RNA polymerase II-like 3"
"10494322"	"2.09e-05"	"1.02e-07"	"-9.530665"	"8.191599"	"-2.0721336"	"Anp32e"	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"
"10502335"	"2.10e-05"	"1.03e-07"	"9.523199"	"8.181695"	"4.1926722"	"Bank1"	"B cell scaffold protein with ankyrin repeats 1"
"10518350"	"2.13e-05"	"1.05e-07"	"-9.506185"	"8.159104"	"-2.6145433"	"Hmgb2"	"high mobility group box 2"
"10583697"	"2.15e-05"	"1.07e-07"	"-9.492961"	"8.141521"	"-1.8796748"	"Smarca4"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
"10525365"	"2.16e-05"	"1.09e-07"	"9.479596"	"8.12373"	"1.4042376"	"Hvcn1"	"hydrogen voltage-gated channel 1"
