"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10456904"	"0.00325"	"1.33e-07"	"-11.0014202"	"7.11387"	"-1.36035121"	"Pstpip2"	"proline-serine-threonine phosphatase-interacting protein 2"
"10482762"	"0.00325"	"2.61e-07"	"10.34039"	"6.61792"	"1.31005776"	"Idi1"	"isopentenyl-diphosphate delta isomerase"
"10601456"	"0.00365"	"4.39e-07"	"9.8528245"	"6.22378"	"1.80778099"	"Gm6377"	"predicted gene 6377"
"10549276"	"0.00448"	"7.19e-07"	"-9.4087915"	"5.84227"	"-2.01860232"	"Bhlhe41"	"basic helix-loop-helix family, member e41"
"10450501"	"0.00842"	"1.87e-06"	"8.5882176"	"5.07575"	"1.12013157"	"Tnf"	"tumor necrosis factor"
"10403413"	"0.00842"	"2.03e-06"	"8.5232925"	"5.01148"	"1.40524669"	"Idi1"	"isopentenyl-diphosphate delta isomerase"
"10405938"	"0.00902"	"2.86e-06"	"8.2445709"	"4.72924"	"0.9805751"	"Zfp273"	"zinc finger protein 273"
"10412466"	"0.00902"	"2.90e-06"	"8.233888"	"4.71822"	"0.83702096"	"Hmgcs1"	"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1"
"10356932"	"0.00932"	"3.37e-06"	"8.1140458"	"4.59346"	"0.82527812"	"D1Ertd622e"	"DNA segment, Chr 1, ERATO Doi 622, expressed"
"10492584"	"0.01429"	"5.74e-06"	"7.6994059"	"4.14629"	"1.26354998"	"Mir16-2"	"microRNA 16-2"
"10417526"	"0.015"	"6.62e-06"	"-7.590313"	"4.02453"	"-1.4346012"	"Dnase1l3"	"deoxyribonuclease 1-like 3"
"10528474"	"0.02082"	"1.03e-05"	"7.2594068"	"3.6444"	"1.31163104"	"Gm15421///Rpl22l1"	"ribosomal protein L22 like 1 pseudogene///ribosomal protein L22 like 1"
"10578916"	"0.02082"	"1.21e-05"	"7.1427947"	"3.50649"	"0.88864952"	"Msmo1"	"methylsterol monoxygenase 1"
"10503995"	"0.02082"	"1.28e-05"	"7.103705"	"3.45979"	"1.31807421"	"Dnaja1"	"DnaJ heat shock protein family (Hsp40) member A1"
"10492582"	"0.02082"	"1.29e-05"	"7.0988178"	"3.45394"	"1.73493981"	"Mir15b"	"microRNA 15b"
"10491191"	"0.02082"	"1.40e-05"	"7.0361817"	"3.37857"	"1.2568467"	"Gm15421///Rpl22l1"	"ribosomal protein L22 like 1 pseudogene///ribosomal protein L22 like 1"
"10414360"	"0.02082"	"1.42e-05"	"-7.0275044"	"3.36808"	"-0.79534414"	"Lgals3"	"lectin, galactose binding, soluble 3"
"10420668"	"0.02253"	"1.66e-05"	"6.9178756"	"3.23454"	"0.99274709"	"Mir15a"	"microRNA 15a"
"10490946"	"0.02253"	"1.72e-05"	"6.8916088"	"3.20226"	"0.954755"	"Hsp90aa1"	"heat shock protein 90, alpha (cytosolic), class A member 1"
"10405911"	"0.02743"	"2.30e-05"	"6.6876757"	"2.94794"	"0.86120715"	"Zfp759"	"zinc finger protein 759"
"10581088"	"0.02743"	"2.31e-05"	"6.6826751"	"2.94162"	"0.86996067"	"Terb1"	"telomere repeat binding bouquet formation protein 1"
"10503431"	"0.02743"	"2.42e-05"	"6.6504473"	"2.90079"	"0.81945361"	"Nbn"	"nibrin"
"10581605"	"0.03291"	"3.04e-05"	"-6.4942996"	"2.70061"	"-0.89111676"	"Hp"	"haptoglobin"
"10389222"	"0.03646"	"3.64e-05"	"-6.3710008"	"2.53973"	"-0.85709765"	"Ccl6"	"chemokine (C-C motif) ligand 6"
"10548333"	"0.03646"	"4.11e-05"	"6.2893854"	"2.43187"	"1.62882764"	"Cd69"	"CD69 antigen"
"10516658"	"0.03646"	"4.18e-05"	"-6.2784012"	"2.41727"	"-0.73637318"	"Ccdc28b"	"coiled coil domain containing 28B"
"10450926"	"0.03646"	"4.19e-05"	"6.2759633"	"2.41402"	"1.45463814"	"Crisp3"	"cysteine-rich secretory protein 3"
"10350630"	"0.03646"	"4.45e-05"	"-6.2358301"	"2.36049"	"-0.79667289"	"Fam129a"	"family with sequence similarity 129, member A"
"10535904"	"0.03646"	"4.70e-05"	"6.1991196"	"2.31129"	"1.31821236"	"Hsph1"	"heat shock 105kDa/110kDa protein 1"
"10442219"	"0.03646"	"4.74e-05"	"6.1938477"	"2.30421"	"1.03900289"	"Zfp52"	"zinc finger protein 52"
"10360373"	"0.03646"	"4.94e-05"	"6.1663595"	"2.2672"	"1.13429591"	"Pydc4"	"pyrin domain containing 4"
"10521587"	"0.03646"	"5.10e-05"	"6.1444942"	"2.23767"	"0.7846317"	"Dnaja1"	"DnaJ heat shock protein family (Hsp40) member A1"
"10398286"	"0.03646"	"5.11e-05"	"6.1435196"	"2.23635"	"1.51576859"	"Mir342"	"microRNA 342"
"10543052"	"0.03646"	"5.19e-05"	"6.1328614"	"2.22193"	"0.86322098"	"Rps27a"	"ribosomal protein S27A"
"10388591"	"0.03646"	"5.32e-05"	"-6.1170429"	"2.20048"	"-0.93367099"	"Cpd"	"carboxypeptidase D"
"10571312"	"0.03646"	"5.34e-05"	"6.1147157"	"2.19733"	"1.22714105"	"Dusp4"	"dual specificity phosphatase 4"
"10560242"	"0.03646"	"5.41e-05"	"-6.1056697"	"2.18504"	"-0.7900265"	"C5ar1"	"complement component 5a receptor 1"
"10546586"	"0.03814"	"5.86e-05"	"6.0533723"	"2.11375"	"0.65568023"	"Tmf1"	"TATA element modulatory factor 1"
"10502766"	"0.03814"	"5.98e-05"	"-6.0400773"	"2.09556"	"-0.7839258"	"Adgrl2"	"adhesion G protein-coupled receptor L2"
"10534940"	"0.03814"	"6.12e-05"	"-6.0247435"	"2.07454"	"-0.63183025"	"Pilrb2"	"paired immunoglobin-like type 2 receptor beta 2"
"10477813"	"0.0396"	"7.11e-05"	"5.9271517"	"1.93982"	"1.40409907"	""	""
"10393559"	"0.0396"	"7.19e-05"	"-5.9197493"	"1.92954"	"-0.77665439"	"Timp2"	"tissue inhibitor of metalloproteinase 2"
"10544540"	"0.0396"	"7.40e-05"	"5.9007244"	"1.90307"	"1.12165018"	"Ino80///Rpl35a"	"INO80 complex subunit///ribosomal protein L35A"
"10544971"	"0.0396"	"7.74e-05"	"5.8718434"	"1.86277"	"0.95768296"	"Lsm5"	"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated"
"10510019"	"0.0396"	"7.80e-05"	"5.8666925"	"1.85557"	"0.96406349"	"B330016D10Rik"	"RIKEN cDNA B330016D10 gene"
"10528457"	"0.0396"	"7.84e-05"	"5.8633727"	"1.85093"	"0.68220239"	"Orc5"	"origin recognition complex, subunit 5"
"10372078"	"0.0396"	"8.03e-05"	"5.8478207"	"1.82915"	"1.30545596"	"Mrpl42"	"mitochondrial ribosomal protein L42"
"10402615"	"0.0396"	"8.15e-05"	"5.8388317"	"1.81654"	"0.76685748"	"Hsp90aa1"	"heat shock protein 90, alpha (cytosolic), class A member 1"
"10385533"	"0.0396"	"8.41e-05"	"5.818587"	"1.78809"	"1.03299304"	"Tgtp2///Tgtp1"	"T cell specific GTPase 2///T cell specific GTPase 1"
"10388784"	"0.0396"	"8.42e-05"	"5.8177484"	"1.78691"	"1.14195741"	"Snord42b"	"small nucleolar RNA, C/D box 42B"
"10372497"	"0.0396"	"8.45e-05"	"5.8155749"	"1.78386"	"0.99588894"	"Thap2"	"THAP domain containing, apoptosis associated protein 2"
"10474541"	"0.0396"	"8.87e-05"	"5.7839985"	"1.73934"	"0.80931966"	"Nop10"	"NOP10 ribonucleoprotein"
"10584572"	"0.0396"	"8.94e-05"	"5.7789494"	"1.73221"	"0.93068633"	"Hspa8"	"heat shock protein 8"
"10543779"	"0.0396"	"9.06e-05"	"5.7705473"	"1.72033"	"0.91081298"	"Mir29a"	"microRNA 29a"
"10604072"	"0.0396"	"9.08e-05"	"5.7694243"	"1.71874"	"1.17235376"	"Gm32211///Rpl39"	"predicted gene, 32211///ribosomal protein L39"
"10360370"	"0.0396"	"9.12e-05"	"5.7664071"	"1.71447"	"1.29939942"	"BC094916"	"cDNA sequence BC094916"
"10474577"	"0.0396"	"9.12e-05"	"5.7663482"	"1.71438"	"0.69991267"	"Slc12a6///Katnbl1"	"solute carrier family 12, member 6///katanin p80 subunit B like 1"
"10421723"	"0.0396"	"9.22e-05"	"5.7596257"	"1.70486"	"0.77025836"	"Dnajc15"	"DnaJ heat shock protein family (Hsp40) member C15"
"10583242"	"0.04069"	"9.81e-05"	"5.719902"	"1.64846"	"0.93312759"	"Sesn3"	"sestrin 3"
"10427266"	"0.04069"	"1.00e-04"	"5.7064067"	"1.62924"	"1.27280712"	"Gm32211///Rpl39"	"predicted gene, 32211///ribosomal protein L39"
"10378848"	"0.04069"	"1.02e-04"	"5.6971946"	"1.6161"	"0.72741381"	"Hsp90aa1"	"heat shock protein 90, alpha (cytosolic), class A member 1"
"10351873"	"0.04069"	"1.02e-04"	"5.6951854"	"1.61323"	"1.00140443"	"Pyhin1"	"pyrin and HIN domain family, member 1"
"10572727"	"0.04069"	"1.06e-04"	"5.6685285"	"1.57513"	"0.87468529"	"Zfp882///Zfp882"	"zinc finger protein 882///zinc finger protein 882"
"10397277"	"0.04069"	"1.07e-04"	"5.6624411"	"1.56641"	"0.73300989"	"Fcf1"	"FCF1 rRNA processing protein"
"10405587"	"0.04069"	"1.10e-04"	"-5.6449058"	"1.54126"	"-0.69918297"	"Tgfbi"	"transforming growth factor, beta induced"
"10358709"	"0.04069"	"1.11e-04"	"5.6436469"	"1.53945"	"0.6446978"	"Cox7b"	"cytochrome c oxidase subunit VIIb"
"10545417"	"0.04069"	"1.12e-04"	"5.6327528"	"1.5238"	"0.65475938"	"Mat2a"	"methionine adenosyltransferase II, alpha"
"10562720"	"0.04069"	"1.13e-04"	"-5.6271242"	"1.5157"	"-0.7081031"	"Siglece"	"sialic acid binding Ig-like lectin E"
"10410644"	"0.04069"	"1.14e-04"	"5.6268854"	"1.51536"	"0.71885403"	"Zfp72"	"zinc finger protein 72"
"10583347"	"0.04069"	"1.15e-04"	"5.6174811"	"1.50182"	"0.96888935"	"Chordc1"	"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1"
"10585972"	"0.04069"	"1.16e-04"	"5.6136348"	"1.49628"	"1.12559394"	"Myo9a"	"myosin IXa"
"10410756"	"0.04128"	"1.20e-04"	"5.5910956"	"1.46376"	"1.2501189"	"Slf1"	"SMC5-SMC6 complex localization factor 1"
"10457778"	"0.04128"	"1.21e-04"	"5.5857009"	"1.45596"	"0.95119647"	"Gm10551"	"predicted gene 10551"
"10385518"	"0.04128"	"1.23e-04"	"5.5785109"	"1.44557"	"1.05914939"	"Tgtp2///Tgtp1"	"T cell specific GTPase 2///T cell specific GTPase 1"
"10354732"	"0.04176"	"1.31e-04"	"5.534649"	"1.38195"	"0.84291041"	"Hspd1"	"heat shock protein 1 (chaperonin)"
"10599321"	"0.04176"	"1.32e-04"	"5.5342508"	"1.38137"	"0.60199396"	"Zbtb33"	"zinc finger and BTB domain containing 33"
"10503643"	"0.04176"	"1.32e-04"	"5.5298791"	"1.37501"	"0.66398233"	"Ndufaf4"	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 4"
"10540118"	"0.04176"	"1.33e-04"	"5.5255398"	"1.36869"	"0.70265145"	"Lsm3"	"LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated"
"10422760"	"0.04176"	"1.34e-04"	"-5.5246004"	"1.36733"	"-0.77049313"	"Fyb"	"FYN binding protein"
"10498345"	"0.04176"	"1.34e-04"	"5.5222509"	"1.3639"	"0.72333212"	"Gpr171"	"G protein-coupled receptor 171"
"10440393"	"0.04279"	"1.40e-04"	"5.4962831"	"1.32603"	"0.75684554"	"Samsn1"	"SAM domain, SH3 domain and nuclear localization signals, 1"
"10487238"	"0.04279"	"1.42e-04"	"-5.4872986"	"1.31291"	"-0.6984022"	"Hdc"	"histidine decarboxylase"
"10355037"	"0.04279"	"1.49e-04"	"5.4552542"	"1.26597"	"0.61548922"	"Wdr12"	"WD repeat domain 12"
"10534456"	"0.04279"	"1.50e-04"	"5.4508801"	"1.25955"	"0.7683962"	"Hip1"	"huntingtin interacting protein 1"
"10514892"	"0.04279"	"1.50e-04"	"5.4501647"	"1.2585"	"0.65740254"	"Tceanc2"	"transcription elongation factor A (SII) N-terminal and central domain containing 2"
"10447629"	"0.04279"	"1.51e-04"	"5.4476107"	"1.25475"	"0.56189715"	"Tagap1///Tagap"	"T cell activation GTPase activating protein 1///T cell activation Rho GTPase activating protein"
"10489246"	"0.04279"	"1.51e-04"	"-5.4460291"	"1.25243"	"-0.64141878"	"Mafb"	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)"
"10367532"	"0.04279"	"1.52e-04"	"5.4442047"	"1.24975"	"1.41488261"	"Tespa1"	"thymocyte expressed, positive selection associated 1"
"10438017"	"0.04279"	"1.54e-04"	"-5.43566"	"1.23719"	"-0.62159957"	"Fgd4"	"FYVE, RhoGEF and PH domain containing 4"
"10602020"	"0.04279"	"1.55e-04"	"5.4334279"	"1.23391"	"0.78384763"	"Tbc1d8b"	"TBC1 domain family, member 8B"
"10416793"	"0.04324"	"1.60e-04"	"5.4124105"	"1.20295"	"0.75434283"	"Uchl3"	"ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)"
"10405727"	"0.04324"	"1.62e-04"	"5.405111"	"1.19219"	"0.77826136"	"Carnmt1"	"carnosine N-methyltransferase 1"
"10440491"	"0.04324"	"1.62e-04"	"-5.4022569"	"1.18797"	"-0.67683362"	"App"	"amyloid beta (A4) precursor protein"
"10452648"	"0.04324"	"1.67e-04"	"-5.3871293"	"1.16562"	"-0.67287752"	"Emilin2"	"elastin microfibril interfacer 2"
