"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10410506"	"1.44e-12"	"5.79e-17"	"-27.566586"	"28.8214556"	"-2.0532775"	"Rpl9"	"ribosomal protein L9"
"10389229"	"1.56e-12"	"2.28e-16"	"-25.631491"	"27.5464402"	"-2.6200183"	"Rpl9"	"ribosomal protein L9"
"10530194"	"1.56e-12"	"2.60e-16"	"-25.451439"	"27.4221568"	"-2.0532001"	"Rpl9"	"ribosomal protein L9"
"10405890"	"1.56e-12"	"4.05e-16"	"-24.8562"	"27.0040145"	"-2.076116"	"Rpl9"	"ribosomal protein L9"
"10439402"	"1.56e-12"	"4.57e-16"	"-24.697215"	"26.8904021"	"-2.0251553"	"Rpl9"	"ribosomal protein L9"
"10472686"	"1.56e-12"	"5.65e-16"	"-24.417529"	"26.6885125"	"-2.0726594"	"Rpl9"	"ribosomal protein L9"
"10548976"	"1.56e-12"	"5.74e-16"	"-24.396498"	"26.6732261"	"-3.1680906"	"Rpl38"	"ribosomal protein L38"
"10360578"	"1.56e-12"	"5.92e-16"	"-24.355939"	"26.6437034"	"-1.9277566"	"LOC102640295///Gm8580///Gm10548///Gm13213///4931440P22Rik///Rpl29"	"uncharacterized LOC102640295///ribosomal protein L29 pseudogene///ribosomal protein L29 pseudogene///predicted gene 13213///RIKEN cDNA 4931440P22 gene///ribosomal protein L29"
"10382369"	"1.56e-12"	"6.57e-16"	"-24.221202"	"26.5452322"	"-2.706573"	"Rpl38"	"ribosomal protein L38"
"10518356"	"1.56e-12"	"6.94e-16"	"-24.151218"	"26.4938417"	"-1.8543079"	"Gm8580///Gm10548///Gm13213///4931440P22Rik///Rpl29"	"ribosomal protein L29 pseudogene///ribosomal protein L29 pseudogene///predicted gene 13213///RIKEN cDNA 4931440P22 gene///ribosomal protein L29"
"10544812"	"1.56e-12"	"7.25e-16"	"-24.093978"	"26.4516846"	"-3.1154708"	"Rpl38"	"ribosomal protein L38"
"10544855"	"1.56e-12"	"7.52e-16"	"-24.047635"	"26.4174713"	"-1.8509894"	"LOC102640295///Gm8580///Gm10548///Gm13213///4931440P22Rik///Rpl29"	"uncharacterized LOC102640295///ribosomal protein L29 pseudogene///ribosomal protein L29 pseudogene///predicted gene 13213///RIKEN cDNA 4931440P22 gene///ribosomal protein L29"
