"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10485372"	"2.08e-14"	"8.36e-19"	"78.461701"	"30.3534543"	"8.1798029"	"Rag1"	"recombination activating gene 1"
"10485370"	"1.65e-12"	"1.42e-16"	"52.815951"	"27.1884247"	"6.8626799"	"B230118H07Rik"	"RIKEN cDNA B230118H07 gene"
"10450075"	"1.65e-12"	"1.99e-16"	"-51.462827"	"26.9452696"	"-5.2740566"	"H2-K1///LOC547349///5430410E06Rik///H2-L///H2-K1///H2-D1"	"histocompatibility 2, K1, K region///MHC class I family member///RIKEN cDNA 5430410E06 gene///histocompatibility 2, D region locus L///histocompatibility 2, K1, K region///histocompatibility 2, D region locus 1"
"10597323"	"7.33e-12"	"1.18e-15"	"44.863867"	"25.5947459"	"4.9773387"	"Arpp21"	"cyclic AMP-regulated phosphoprotein, 21"
"10501586"	"1.97e-11"	"3.95e-15"	"-40.853491"	"24.6153767"	"-5.6748499"	"S1pr1"	"sphingosine-1-phosphate receptor 1"
"10503196"	"2.27e-11"	"5.46e-15"	"-39.841601"	"24.3458049"	"-4.8785641"	"Chd7"	"chromodomain helicase DNA binding protein 7"
"10548105"	"2.35e-11"	"6.59e-15"	"-39.268222"	"24.1886738"	"-5.3053361"	"Ccnd2"	"cyclin D2"
"10431962"	"3.98e-11"	"1.28e-14"	"37.302457"	"23.6244808"	"4.6960536"	"Endou"	"endonuclease, polyU-specific"
"10494023"	"4.25e-11"	"1.63e-14"	"36.601204"	"23.4131375"	"5.3619783"	"Rorc"	"RAR-related orphan receptor gamma"
"10390763"	"4.25e-11"	"1.71e-14"	"-36.478429"	"23.3755646"	"-4.4511904"	"Ccr7"	"chemokine (C-C motif) receptor 7"
"10362896"	"7.49e-11"	"3.31e-14"	"34.652567"	"22.7957602"	"3.6775946"	"Cd24a"	"CD24a antigen"
"10461605"	"8.00e-11"	"3.85e-14"	"-34.243432"	"22.6602042"	"-5.2217209"	"Ms4a4b"	"membrane-spanning 4-domains, subfamily A, member 4B"
"10498024"	"1.00e-10"	"5.22e-14"	"33.446278"	"22.3898343"	"4.3338048"	"Slc7a11"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11"
"10444780"	"1.15e-10"	"6.45e-14"	"-32.899576"	"22.1994754"	"-3.2175317"	"H2-L///H2-D1///LOC547349///5430410E06Rik///H2-L///H2-K1///H2-D1"	"histocompatibility 2, D region locus L///histocompatibility 2, D region locus 1///MHC class I family member///RIKEN cDNA 5430410E06 gene///histocompatibility 2, D region locus L///histocompatibility 2, K1, K region///histocompatibility 2, D region locus 1"
"10527012"	"1.22e-10"	"7.36e-14"	"-32.565508"	"22.0811161"	"-4.8462904"	"Lfng"	"LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"10503202"	"1.24e-10"	"7.94e-14"	"-32.372015"	"22.0118408"	"-3.2448327"	"Chd7"	"chromodomain helicase DNA binding protein 7"
"10474105"	"1.54e-10"	"1.05e-13"	"31.67475"	"21.7577081"	"5.4707777"	"Rag2"	"recombination activating gene 2"
"10503176"	"1.55e-10"	"1.13e-13"	"-31.49459"	"21.6908777"	"-4.2708363"	"Chd7"	"chromodomain helicase DNA binding protein 7"
"10501063"	"1.55e-10"	"1.18e-13"	"-31.383041"	"21.6492538"	"-4.4745627"	"Cd53"	"CD53 antigen"
"10469322"	"1.72e-10"	"1.38e-13"	"-31.011579"	"21.5092767"	"-3.3828464"	"Vim"	"vimentin"
"10456745"	"1.96e-10"	"1.66e-13"	"-30.572768"	"21.3411596"	"-3.217823"	"Smad7"	"SMAD family member 7"
"10432957"	"1.96e-10"	"1.73e-13"	"-30.472259"	"21.3022243"	"-3.932565"	"Itgb7"	"integrin beta 7"
"10461622"	"1.98e-10"	"1.82e-13"	"-30.34572"	"21.2529751"	"-3.603889"	"Ms4a6b"	"membrane-spanning 4-domains, subfamily A, member 6B"
"10385526"	"2.14e-10"	"2.07e-13"	"-30.053322"	"21.1381822"	"-4.4806587"	"9930111J21Rik1///9930111J21Rik2"	"RIKEN cDNA 9930111J21 gene 1///RIKEN cDNA 9930111J21 gene 2"
"10350337"	"2.68e-10"	"2.71e-13"	"29.423015"	"20.8859208"	"3.9645471"	"A130050O07Rik"	"RIKEN cDNA A130050O07 gene"
"10434778"	"2.68e-10"	"2.79e-13"	"-29.354309"	"20.8580182"	"-4.0520108"	"Rtp4"	"receptor transporter protein 4"
"10547888"	"2.99e-10"	"3.24e-13"	"29.01732"	"20.7199835"	"3.3908196"	"Gpr162"	"G protein-coupled receptor 162"
"10404152"	"3.30e-10"	"3.71e-13"	"-28.7107"	"20.592662"	"-2.9366071"	"Fam65b"	"family with sequence similarity 65, member B"
"10475414"	"4.04e-10"	"4.71e-13"	"-28.184831"	"20.370376"	"-2.7492225"	"B2m"	"beta-2 microglobulin"
"10494271"	"4.34e-10"	"5.22e-13"	"-27.956741"	"20.2723853"	"-3.8243758"	"Ctss"	"cathepsin S"
"10385966"	"4.43e-10"	"5.51e-13"	"-27.841271"	"20.2224074"	"-2.9017896"	"Anxa6"	"annexin A6"
"10385518"	"4.59e-10"	"5.89e-13"	"-27.695502"	"20.158956"	"-4.4235477"	"Tgtp2///Tgtp1"	"T cell specific GTPase 2///T cell specific GTPase 1"
"10463123"	"4.72e-10"	"6.25e-13"	"27.56888"	"20.103511"	"5.0516539"	"Dntt"	"deoxynucleotidyltransferase, terminal"
"10479010"	"4.72e-10"	"6.44e-13"	"27.504753"	"20.0753139"	"3.8319865"	"Spo11"	"SPO11 meiotic protein covalently bound to DSB"
"10598994"	"5.66e-10"	"7.95e-13"	"-27.054278"	"19.874983"	"-2.9042125"	"Atp1b3"	"ATPase, Na+/K+ transporting, beta 3 polypeptide"
"10503218"	"6.45e-10"	"9.32e-13"	"-26.721756"	"19.7245284"	"-3.5299273"	"Chd7"	"chromodomain helicase DNA binding protein 7"
"10574149"	"6.48e-10"	"9.63e-13"	"-26.653743"	"19.6934797"	"-5.0835473"	"Nlrc5"	"NLR family, CARD domain containing 5"
"10538126"	"6.58e-10"	"1.00e-12"	"-26.568218"	"19.6543028"	"-5.1525963"	"Gimap4"	"GTPase, IMAP family member 4"
"10362581"	"6.78e-10"	"1.06e-12"	"26.453054"	"19.6013117"	"3.3598719"	"Tube1"	"epsilon-tubulin 1"
"10427628"	"7.99e-10"	"1.28e-12"	"-26.062566"	"19.4195803"	"-4.8239449"	"Il7r"	"interleukin 7 receptor"
"10422493"	"1.00e-09"	"1.65e-12"	"-25.559453"	"19.1806472"	"-2.923703"	"Gpr18"	"G protein-coupled receptor 18"
"10418729"	"1.00e-09"	"1.69e-12"	"25.510529"	"19.1571187"	"2.9372278"	"Colq"	"collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase"
"10368199"	"1.29e-09"	"2.26e-12"	"24.930046"	"18.8738743"	"3.6307596"	"Myb///Myb"	"myeloblastosis oncogene///myeloblastosis oncogene"
"10432661"	"1.29e-09"	"2.27e-12"	"-24.920134"	"18.8689714"	"-3.0124537"	"Galnt6"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6"
"10565627"	"1.40e-09"	"2.62e-12"	"24.644675"	"18.7318085"	"4.2408282"	"Aqp11"	"aquaporin 11"
"10544588"	"1.40e-09"	"2.69e-12"	"-24.595673"	"18.7072227"	"-5.0746377"	"Gimap3"	"GTPase, IMAP family member 3"
"10444830"	"1.40e-09"	"2.71e-12"	"-24.579605"	"18.6991484"	"-2.6836265"	"Gm11127///Gm38417///Gm8909///H2-T-ps///H2-K2///LOC547349///H2-Q9///H2-Q6///Gm10499///H2-T23///H2-T22///H2-Q8///H2-Q7///H2-Q5///H2-Q4///H2-Q2///H2-Q10///H2-Q1///H2-L///H2-K1///H2-D4///H2-D1///H2-Bl///LOC547349///5430410E06Rik///Gm10499///H2-Q5///H2-L///H2-K1///H2-D1"	"predicted gene 11127///predicted gene, 38417///predicted gene 8909///histocompatibility 2, T region locus, pseudogene///histocompatibility 2, K region locus 2///MHC class I family member///histocompatibility 2, Q region locus 9///histocompatibility 2, Q region locus 6///predicted gene 10499///histocompatibility 2, T region locus 23///histocompatibility 2, T region locus 22///histocompatibility 2, Q region locus 8///histocompatibility 2, Q region locus 7///histocompatibility 2, Q region locus 5///histocompatibility 2, Q region locus 4///histocompatibility 2, Q region locus 2///histocompatibility 2, Q region locus 10///histocompatibility 2, Q region locus 1///histocompatibility 2, D region locus L///histocompatibility 2, K1, K region///histocompatibility 2, D region locus 4///histocompatibility 2, D region locus 1///histocompatibility 2, blastocyst///MHC class I family member///RIKEN cDNA 5430410E06 gene///predicted gene 10499///histocompatibility 2, Q region locus 5///histocompatibility 2, D region locus L///histocompatibility 2, K1, K region///histocompatibility 2, D region locus 1"
"10383200"	"1.40e-09"	"2.73e-12"	"-24.567857"	"18.6932413"	"-3.4038569"	""	""
"10574151"	"1.40e-09"	"2.76e-12"	"-24.544448"	"18.681461"	"-3.3770044"	"Nlrc5"	"NLR family, CARD domain containing 5"
"10503212"	"1.42e-09"	"2.85e-12"	"-24.484019"	"18.6509912"	"-4.0541289"	"Chd7"	"chromodomain helicase DNA binding protein 7"
"10383198"	"1.51e-09"	"3.10e-12"	"-24.324979"	"18.5703834"	"-3.6289895"	""	""
"10364593"	"1.54e-09"	"3.20e-12"	"-24.260159"	"18.5373559"	"-3.3802677"	"Cnn2"	"calponin 2"
"10458314"	"1.54e-09"	"3.27e-12"	"-24.222612"	"18.5181785"	"-3.2623803"	"Tmem173"	"transmembrane protein 173"
"10455238"	"1.56e-09"	"3.38e-12"	"-24.160519"	"18.4863896"	"-2.361952"	"Ndfip1"	"Nedd4 family interacting protein 1"
"10424400"	"1.72e-09"	"3.79e-12"	"-23.940251"	"18.372862"	"-3.0721115"	"Myc"	"myelocytomatosis oncogene"
"10454580"	"1.95e-09"	"4.40e-12"	"-23.661484"	"18.2274633"	"-2.4384443"	"Bin1"	"bridging integrator 1"
"10569102"	"1.95e-09"	"4.47e-12"	"-23.634916"	"18.2135039"	"-3.1978343"	"Irf7"	"interferon regulatory factor 7"
"10551009"	"1.97e-09"	"4.59e-12"	"-23.584517"	"18.186975"	"-3.1957359"	"Tmsb10"	"thymosin, beta 10"
