"Genes","Curated_pathway","Database_ID","Database_pathway_name"
"ABCA7","ABC transporters","KEGG:02010","ABC transporters"
"ABCG4","ABC transporters","KEGG:02010","ABC transporters"
"ABCD1","ABC transporters","KEGG:02010","ABC transporters"
"ABCC12","ABC transporters","KEGG:02010","ABC transporters"
"ABCA1","ABC transporters","KEGG:02010","ABC transporters"
"TAP2","ABC transporters","KEGG:02010","ABC transporters"
"ABCA6","ABC transporters","KEGG:02010","ABC transporters"
"TAP1","ABC transporters","KEGG:02010","ABC transporters"
"ABCA5","ABC transporters","KEGG:02010","ABC transporters"
"ABCB8","ABC transporters","KEGG:02010","ABC transporters"
"ABCD4","ABC transporters","KEGG:02010","ABC transporters"
"ABCA3","ABC transporters","KEGG:02010","ABC transporters"
"ABCB11","ABC transporters","KEGG:02010","ABC transporters"
"ABCD3","ABC transporters","KEGG:02010","ABC transporters"
"ABCA2","ABC transporters","KEGG:02010","ABC transporters"
"ABCC2","ABC transporters","KEGG:02010","ABC transporters"
"ABCC6","ABC transporters","KEGG:02010","ABC transporters"
"ABCC3","ABC transporters","KEGG:02010","ABC transporters"
"ABCC9","ABC transporters","KEGG:02010","ABC transporters"
"ABCG2","ABC transporters","KEGG:02010","ABC transporters"
"ABCC4","ABC transporters","KEGG:02010","ABC transporters"
"ABCC5","ABC transporters","KEGG:02010","ABC transporters"
"ABCA12","ABC transporters","KEGG:02010","ABC transporters"
"ABCG1","ABC transporters","KEGG:02010","ABC transporters"
"ABCB4","ABC transporters","KEGG:02010","ABC transporters"
"CFTR","ABC transporters","KEGG:02010","ABC transporters"
"ABCC1","ABC transporters","KEGG:02010","ABC transporters"
"ABCD2","ABC transporters","KEGG:02010","ABC transporters"
"ABCB6","ABC transporters","KEGG:02010","ABC transporters"
"ABCB7","ABC transporters","KEGG:02010","ABC transporters"
"ABCA4","ABC transporters","KEGG:02010","ABC transporters"
"ABCC8","ABC transporters","KEGG:02010","ABC transporters"
"ABCC10","ABC transporters","KEGG:02010","ABC transporters"
"ABCB10","ABC transporters","KEGG:02010","ABC transporters"
"ABCB9","ABC transporters","KEGG:02010","ABC transporters"
"ABCA13","ABC transporters","KEGG:02010","ABC transporters"
"ABCA9","ABC transporters","KEGG:02010","ABC transporters"
"ABCB5","ABC transporters","KEGG:02010","ABC transporters"
"ABCG5","ABC transporters","KEGG:02010","ABC transporters"
"ABCG8","ABC transporters","KEGG:02010","ABC transporters"
"ACSS2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"GCK","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PGK2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PGK1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PDHB","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PDHA1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PDHA2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PGM2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"TPI1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ACSS1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"FBP1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"HK2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"HK1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"HK3","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ADH4","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PGAM2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ADH5","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PGAM1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDOC","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDH7A1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"LDHAL6B","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PKLR","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ENO1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PKM2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PFKP","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"BPGM","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PCK2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PCK1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDH1B1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDH2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDH3A1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"FBP2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PFKM","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PFKL","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"LDHC","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"GAPDH","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ENO3","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ENO2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ADH7","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"LDHB","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDH1A3","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDH3B1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDH3B2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDH9A1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDH3A2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"GALM","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDOA","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"DLD","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"DLAT","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"ALDOB","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"G6PC2","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"LDHA","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"G6PC","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"PGM1","Glycolysis","KEGG:00010","Glycolysis / Gluconeogenesis"
"CPT1A","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"CPT1C","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACADS","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ALDH1B1","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACADSB","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACADL","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ALDH2","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACADM","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACAT2","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACADVL","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACAT1","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACAA2","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"HADH","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"HADHB","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"HADHA","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ADH7","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACSL6","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ADH4","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ECHS1","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ADH5","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ALDH9A1","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ALDH3A2","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACSL5","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"EHHADH","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"GCDH","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ALDH7A1","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACOX3","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACSL1","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"CPT2","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"CPT1B","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACOX1","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACSL3","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"ACSL4","Fatty acid degradation","KEGG:00071","Fatty acid degradation"
"SEC61A1","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC61A2","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC61B","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC61G","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC62","Protein synthesis","KEGG:04141","Protein processing in ER"
"SEC63","Protein synthesis","KEGG:04141","Protein processing in ER"
"RPN1","Protein synthesis","KEGG:04141","Protein processing in ER"
"RPN2","Protein synthesis","KEGG:04141","Protein processing in ER"
"DAD1","Protein synthesis","KEGG:04141","Protein processing in ER"
"TUSC3","Protein synthesis","KEGG:04141","Protein processing in ER"
"DDOST","Protein synthesis","KEGG:04141","Protein processing in ER"
"STT3A","Protein synthesis","KEGG:04141","Protein processing in ER"
"STT3B","Protein synthesis","KEGG:04141","Protein processing in ER"
"MOGS","Protein synthesis","KEGG:04141","Protein processing in ER"
