"NAME","GSM538201","GSM538202","GSM538203","GSM538382","GSM538383","GSM538384","GSM538415","GSM538416","GSM538417"
"GM10568",17.0909,17.3489,16.4665,14.9898,18.0008,16.6467,32.2411,21.4387,15.9123
"LYPLA1",431.2015,408.2598,331.9817,516.4775,531.9853,448.9976,237.6924,303.8532,409.2292
"TCEA1",810.3735,844.6121,906.4834,691.6768,712.4182,684.0045,635.6455,668.6578,951.5933
"ATP6V1H",236.4256,249.9791,233.2962,238.6163,223.8046,197.1325,153.4182,217.3426,187.3958
"OPRK1",14.0646,14.4037,15.2078,14.6635,11.9609,17.026,19.7425,18.9801,15.3087
"RB1CC1",399.9497,387.526,363.1551,301.5142,343.3366,263.6739,122.0731,98.3959,163.4197
"FAM150A",9.2036,10.3802,11.9267,10.6424,9.9638,8.4135,20.9193,16.5359,10.6624
"ST18",32.2425,37.7647,41.9117,37.4535,37.1372,38.3358,69.1192,58.341,48.041
"PCMTD1",493.4657,519.5323,515.5995,287.76,300.0599,290.7489,134.4255,206.3018,273.1699
"AHCY",376.1794,412.0006,388.6355,548.3268,522.015,428.2653,437.4204,499.3426,480.7934
"RRS1",298.7628,207.691,205.207,254.1769,205.5448,166.3478,246.4159,237.711,293.6705
"ADHFE1",44.1681,44.2468,45.4369,44.5115,44.0653,48.4603,42.0889,42.7197,65.0711
"GM6793",2796.0287,2540.9923,2635.6779,2530.8622,2584.7495,2349.0639,1304.7148,1828.5579,2347.3766
"3110035E14RIK",21.6118,26.5695,24.7893,24.4289,22.6547,26.6321,30.504,27.9137,37.1772
"SGK3",639.9653,659.4524,576.5443,412.3379,466.1042,425.7022,216.3884,302.6434,309.7967
"MCMDC2",45.341,38.9332,30.3705,30.1648,28.6924,32.3722,39.346,37.9556,26.419
"CSPP1",321.8509,289.3443,231.1031,192.179,209.2509,176.0884,125.4968,111.6291,121.9468
"PREX2",17.8781,16.8964,18.8168,17.1183,16.6561,18.4416,25.0173,24.8871,23.9483
"A830018L16RIK",16.9485,17.7191,20.2027,15.0618,19.5506,20.2177,31.0009,18.8702,22.9939
"SULF1",26.7003,27.069,26.1179,26.9913,23.4641,24.9546,33.216,29.5453,28.0407
