GeneSymbol,proB_CLP_BM,proB_FrA_BM,proB_FrBC_BM,preB_FrC_BM,preB_FrD_BM,B_FrE_BM,B_FrF_BM,B_Fo_Sp,preT_ETP_Th,preT_DN2_Th,preT_DN3A_Th,preT_DN3B_Th,T_DN4_Th,T_DP_Th,T_4SP24._Th,T_8SP24._Th,T_4Nve_Sp,T_8Nve_Sp
GM10568,15.6208,17.2005,18.064,18.3324,16.7598,19.0288,16.8022,16.9647,16.4624,17.2687,17.3416,17.8332,17.3372,22.5559,18.6633,15.1361,16.0497,22.2389
LYPLA1,420.518,349.089,458.547,545.434,436.195,325.854,288.215,388.07,442.043,464.657,328.113,450.356,452.268,247.314,386.779,431.833,467.029,309.183
TCEA1,801.624,863.506,1056.05,986.208,948.705,884.831,846.424,852.905,788.367,762.087,579.686,777.125,760.616,616.094,808.596,745.995,649.561,739.532
ATP6V1H,198.577,166.98,255,242.416,236.911,224.805,183.946,239.792,226.415,204.934,151.95,194.764,192.343,148.036,232.308,270.688,213.006,184.188
OPRK1,14.8253,18.0217,15.3176,13.7226,16.2572,17.3243,16.9317,14.5509,15.6498,15.9824,16.803,17.7464,13.571,22.0763,16.0512,14.7142,14.5524,17.9011
RB1CC1,262.653,194.815,294.107,222.942,299.652,228.959,254.23,383.236,194.723,151.497,134.224,95.4357,110.62,228.51,188.173,161.889,291.273,125.208
FAM150A,9.40599,10.3231,10.698,9.41263,10.7412,11.2742,12.7324,10.4447,9.45048,9.64824,10.4428,10.5523,9.32913,16.1554,11.2059,10.9945,9.54991,15.4505
ST18,36.2672,43.6774,37.9787,32.4191,45.2589,41.0426,39.3536,37.0923,43.5167,40.9396,43.0778,36.0446,39.9404,53.2895,38.4387,36.6458,40.1732,57.8622
PCMTD1,204.244,199.311,628.851,474.786,402.93,319.952,402.4,509.402,210.071,266.783,765.671,190.123,186.062,266.407,203.582,182.101,276.098,196.399
AHCY,680.829,496.787,757.333,1671.29,453.117,355.539,354.801,391.993,1339,1830.14,944.555,1992.45,1435.87,283.038,460.933,604.284,488.062,471.794
RRS1,331.049,237.94,404.455,440.349,165.605,229.474,196.768,233.514,281.142,362.306,210.593,534.001,358.027,141.468,253.672,334.545,179.588,258.142
ADHFE1,33.544,41.8366,35.3291,36.3703,39.649,41.3869,38.705,44.6135,36.4491,45.7873,40.2398,48.2576,45.8223,53.8476,44.2968,40.617,46.042,48.9097
HNRNPA3,3799.16,3555.51,4223.25,5370.57,3789.53,2754.43,2263.54,2655.5,2789.31,3588.48,2164.99,3524.69,3810.7,2363,2827.67,3116.64,2349.13,1775.83
