"ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
10410506,1.44e-12,5.79e-17,-27.566586,28.8214556,-2.0532775,"RPL9","ribosomal protein L9"
10548976,1.56e-12,5.74e-16,-24.396498,26.6732261,-3.1680906,"RPL38","ribosomal protein L38"
10360578,1.56e-12,5.92e-16,-24.355939,26.6437034,-1.9277566,"LOC102640295","uncharacterized LOC102640295"
10518356,1.56e-12,6.94e-16,-24.151218,26.4938417,-1.8543079,"GM8580","ribosomal protein L29 pseudogene"
10397699,4.72e-12,5.11e-15,-21.696888,24.5794327,-2.7871046,"GM12191","ribosomal protein L30 pseudogene"
10600324,5.86e-12,7.29e-15,-21.285744,24.2358014,-2.17125,"GM5879","predicted gene 5879"
10358928,5.97e-12,7.81e-15,21.207571,24.169663,2.0916978,"CACNA1E","calcium channel, voltage-dependent, R type, alpha 1E subunit"
10456709,5.97e-12,8.09e-15,-21.167566,24.135717,-1.5048551,"GM6133","60S ribosomal protein L17 pseudogene"
10496735,5.97e-12,8.14e-15,-21.1599,24.1292037,-2.3957405,"GM6525","ribosomal protein L36a pseudogene"
10498024,6.53e-12,9.95e-15,20.931713,23.934188,4.057077,"SLC7A11","solute carrier family 7 (cationic amino acid transporter, y+ system), member 11"
10549375,7.35e-12,1.25e-14,-20.679296,23.7158262,-1.9088835,"GM6654","predicted pseudogene 6654"
10601755,7.35e-12,1.34e-14,-20.596103,23.6432415,-2.3244212,"RPL36A","ribosomal protein L36A"
10535626,7.35e-12,1.36e-14,-20.584141,23.632779,-1.6632502,"GM13213","predicted gene 13213"
10578064,8.85e-12,1.86e-14,-20.236541,23.325948,-1.7465847,"RPL27A","ribosomal protein L27A"
10578613,9.57e-12,2.15e-14,-20.077036,23.1833027,-1.9080515,"LOC100862433","40S ribosomal protein S16"
10429389,1.22e-11,3.07e-14,-19.692399,22.8344196,-1.5782926,"1600029O15RIK","ribosomal protein L17 pseudogene"
10366814,1.34e-11,3.66e-14,-19.506225,22.6630127,-2.5505537,"CDK4","cyclin-dependent kinase 4"
10424400,1.56e-11,4.47e-14,-19.296537,22.4679313,-3.7296104,"MYC","myelocytomatosis oncogene"
10528021,1.57e-11,4.59e-14,-19.268108,22.4413156,-2.1726913,"HSPA8","heat shock protein 8"
10400639,1.75e-11,5.27e-14,-19.124151,22.3059204,-1.90379,"DNAAF2","dynein, axonemal assembly factor 2"
10497918,1.86e-11,5.78e-14,-19.02689,22.2138542,-1.8071985,"CAMKV","CaM kinase-like vesicle-associated"
10426648,1.86e-11,5.85e-14,-19.014301,22.2019023,-2.0296019,"RPL36","ribosomal protein L36"
10443360,2.34e-11,7.6e-14,-18.745437,21.9447125,-1.7305289,"RPL10A","ribosomal protein L10A"
10527649,2.53e-11,8.73e-14,18.604095,21.8080047,1.5758794,"MEDAG","mesenteric estrogen dependent adipogenesis"
10373569,3e-11,1.05e-13,-18.422036,21.6303641,-2.4409262,"RPSA","ribosomal protein SA"
10546538,3.61e-11,1.32e-13,-18.191264,21.4026416,-2.6543712,"SUCLG2","succinate-Coenzyme A ligase, GDP-forming, beta subunit"
10518774,4.03e-11,1.52e-13,-18.047379,21.2591905,-2.3940832,"PARK7","Parkinson disease (autosomal recessive, early onset) 7"
10451110,4.03e-11,1.54e-13,-18.037765,21.2495648,-1.7118593,"HSP90AB1","heat shock protein 90 alpha (cytosolic), class B member 1"
10475965,4.43e-11,1.74e-13,-17.914872,21.1260727,-3.3730188,"POLR1B","polymerase (RNA) I polypeptide B"
10569996,4.75e-11,1.91e-13,-17.827005,21.0372602,-1.8609844,"RPL21","ribosomal protein L21"
10405935,5.53e-11,2.27e-13,-17.656904,20.8640887,-1.3083647,"GM5779","ribosomal protein, large, P0 pseudogene"
10459669,5.53e-11,2.29e-13,-17.649871,20.8568934,-2.6712569,"RPL5","ribosomal protein L5"
10549802,5.97e-11,2.52e-13,-17.553855,20.7583776,-3.1731299,"RPS18","ribosomal protein S18"
10414522,7.86e-11,3.56e-13,-17.224952,20.4168478,-3.1540671,"APEX1","apurinic"
10603702,8.33e-11,3.88e-13,-17.14475,20.3325998,-2.3656513,"LLPH","LLP homolog, long-term synaptic facilitation (Aplysia)"
10524718,1.2e-10,6.29e-13,-16.693965,19.8518259,-1.3542227,"RPLP0","ribosomal protein, large, P0"
10555262,1.48e-10,8.21e-13,16.449447,19.5857726,2.3236072,"XRRA1","X-ray radiation resistance associated 1"
10445360,1.69e-10,9.59e-13,-16.307935,19.4300597,-1.7484973,"SUPT3","suppressor of Ty 3"
10466439,2.04e-10,1.21e-12,-16.101972,19.2011128,-2.2359039,"PEBP1","phosphatidylethanolamine binding protein 1"
10590972,2.39e-10,1.46e-12,-15.933055,19.0112628,-2.7001911,"MIF","macrophage migration inhibitory factor"
10542077,2.72e-10,1.74e-12,-15.779144,18.8366166,-1.4058692,"RPL18","ribosomal protein L18"
10555063,2.85e-10,1.84e-12,-15.727547,18.7777093,-1.7182142,"INTS4","integrator complex subunit 4"
10415282,2.86e-10,1.86e-12,-15.718305,18.7671384,-2.4561883,"PSME1","proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"
10346808,3.19e-10,2.12e-12,-15.604084,18.6360158,-1.8424168,"RPL17","ribosomal protein L17"
10600973,3.64e-10,2.47e-12,-15.472653,18.4840208,-2.4789403,"IGBP1","immunoglobulin (CD79A) binding protein 1"
10547100,4.77e-10,3.33e-12,15.216845,18.1847138,3.0965136,"PLXND1","plexin D1"
10584752,4.89e-10,3.44e-12,-15.189084,18.1519517,-1.8585999,"RPS25","ribosomal protein S25"
10589041,4.99e-10,3.54e-12,-15.163501,18.1217125,-2.5504792,"IMPDH2","inosine 5'-phosphate dehydrogenase 2"
10400030,7.41e-10,5.41e-12,-14.807941,17.6964968,-2.4248812,"BZW2","basic leucine zipper and W2 domains 2"
10465649,7.98e-10,5.86e-12,14.741804,17.6163739,1.4036031,"MARK2","MAP"
10441815,8.17e-10,6.03e-12,-14.718055,17.587523,-2.1229219,"SOD2","superoxide dismutase 2, mitochondrial"
10368928,8.73e-10,6.5e-12,-14.656608,17.5126797,-2.4396289,"RPL41","ribosomal protein L41"
10547068,8.73e-10,6.52e-12,-14.654408,17.5099938,-1.7686744,"RPL32L","ribosomal protein L32-like"
10502205,9.16e-10,6.95e-12,-14.60129,17.4450566,-1.580401,"HADH","hydroxyacyl-Coenzyme A dehydrogenase"
10361882,9.75e-10,7.43e-12,14.546292,17.3775934,1.9465764,"NHSL1","NHS-like 1"
10495111,1.11e-09,8.54e-12,-14.432873,17.2377398,-2.1022114,"WDR77","WD repeat domain 77"
10388018,1.15e-09,8.93e-12,-14.396663,17.1928812,-2.3208844,"DHX33","DEAH (Asp-Glu-Ala-His) box polypeptide 33"
10427083,1.23e-09,9.65e-12,-14.334064,17.1150907,-1.1824392,"EIF4B","eukaryotic translation initiation factor 4B"
10600349,1.23e-09,9.71e-12,-14.328347,17.1079713,-2.3644185,"RPL10","ribosomal protein L10"
10373027,1.23e-09,9.73e-12,-14.327286,17.1066491,-3.4600659,"TSPAN31","tetraspanin 31"
10425018,1.61e-09,1.29e-11,-14.100262,16.8218334,-1.4524158,"RPL8","ribosomal protein L8"
10420860,1.76e-09,1.43e-11,-14.017765,16.7173223,-1.420768,"ELP3","elongator acetyltransferase complex subunit 3"
